Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,10Q,11Q,12Q,Total,Nett
1,"BART LAMBRIEX, FLORIS VAN DE WERKEN",460,NED,3.0,14.0,4.0,10.0,1.0,4.0,2.0,2.0,5.0,7.0,9.0,5.0,21.0,2.0,1.0,(26.0),1.0,-,-,-,-,-,-,-,-,-,-,-,-,118.0,92.0
1,"JOHN GIMSON, ANNA BURNET",2277,,3.0,5.0,1.0,4.0,5.0,(8.0),4.0,2.0,5.0,3.0,7.0,6.0,5.0,1.0,2.0,2.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,69.0,61.0
1,HELENE NOESMOEN,1861,FRA,1.0,1.0,1.0,(2.0),(1.1),1.0,(2.0),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,(0.0),(0.0),-,-,-,-,-,-,-,-,-,-,-,-,17.1,12.0
1,GOYARD NICOLAS,1708,,(12.0),5.0,2.0,1.0,4.0,2.0,-,-,-,-,-,-,-,-,-,-,-,(38.0),1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,(9.0),(0.0),(0.0),83.0,24.0
1,"ODILE VAN AANHOLT, ELISE RUYTER",3780,,1.0,(18.0),2.0,3.0,2.0,7.0,3.0,10.0,9.0,5.0,5.0,2.0,1.0,6.0,13.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,93.0,75.0
2,MATTHEW BARTON,3327,GBR,4.0,3.0,(5.0),5.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,(8.0),3.0,8.0,4.0,2.0,(21.0),5.0,4.0,5.0,2.0,(0.0),(0.0),81.0,47.0
2,"HELENE NAESS, MARIE RONNINGEN",1860,NOR,5.0,3.0,8.0,5.0,1.0,6.0,7.0,11.0,1.0,3.0,(20.0),5.0,14.0,3.0,7.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,103.0,83.0
2,ISLAY WATSON,2024,GBR,(7.0),(8.0),(16.0),1.0,6.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,5.0,2.0,1.0,(0.0),(0.0),-,-,-,-,-,-,-,-,-,-,-,-,66.0,35.0
2,"TIM FISCHER, FABIAN GRAF",4809,GER,1.0,5.0,6.0,7.0,5.0,3.0,6.0,6.0,3.0,5.0,(16.0),7.0,12.0,4.0,5.0,7.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,110.0,94.0
2,"GIANLUIGI UGOLINI, MARIA GIUBILEI",1661,,4.0,6.0,2.0,5.0,(10.0),7.0,3.0,3.0,1.0,7.0,1.0,3.0,7.0,4.0,6.0,9.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,80.0,70.0
3,SASKIA SILLS,4364,,(8.0),3.0,5.0,3.0,5.0,4.0,1.0,6.0,3.0,(8.0),5.0,(39.0),3.0,3.0,8.0,(0.0),(0.0),-,-,-,-,-,-,-,-,-,-,-,-,104.0,49.0
3,LUUC VAN-OPZEELAND,2969,,1.0,2.0,(4.0),2.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,3.0,(80.0),2.0,2.0,(10.0),5.0,6.0,2.0,2.0,3.0,(0.0),(0.0),126.0,32.0
3,"MARTINE GRAEL, KAHENA KUNZE",3243,BRA,10.0,7.0,3.0,6.0,3.0,5.0,2.0,4.0,11.0,11.0,1.0,9.0,3.0,(18.0),11.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,112.0,94.0
3,"FREDERIK RASK, JAKOB PRECHT JENSEN",1559,DEN,4.0,12.0,10.0,1.0,3.0,7.0,9.0,3.0,8.0,10.0,1.0,(23.0),9.0,1.0,9.0,11.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,135.0,112.0
3,"PAUL KOHLHOFF, ALICA STUHLEMMER",3909,,6.0,1.0,6.0,(13.0),3.0,2.0,2.0,5.0,2.0,12.0,9.0,1.0,3.0,9.0,1.0,1.0,7.0,-,-,-,-,-,-,-,-,-,-,-,-,90.0,77.0
4,SEBASTIAN KORDEL,4411,,1.0,(20.0),1.0,1.0,5.0,19.0,-,-,-,-,-,-,-,-,-,-,-,7.0,6.0,(10.0),7.0,3.0,1.0,1.0,10.0,7.0,(14.0),(0.0),(0.0),113.0,69.0
4,"IAN BARROWS, HANS HENKEN",1956,USA,9.0,3.0,12.0,2.0,8.0,6.0,12.0,1.0,1.0,3.0,10.0,10.0,4.0,9.0,13.0,(22.0),5.0,-,-,-,-,-,-,-,-,-,-,-,-,135.0,113.0
4,"RONJA GRONBLOM, VEERA HOKKA",4216,FIN,8.0,2.0,1.0,15.0,9.0,4.0,5.0,1.0,10.0,10.0,19.0,4.0,6.0,8.0,(22.0),5.0,-,-,-,-,-,-,-,-,-,-,-,-,-,134.0,112.0
4,PILAR LAMADRID-TRUEBA,4030,,5.0,14.0,4.0,(16.0),4.0,7.0,5.0,5.0,12.0,(16.0),11.0,(17.0),2.0,5.0,11.0,(0.0),(0.0),-,-,-,-,-,-,-,-,-,-,-,-,134.0,85.0
4,"TIM MOURNIAC, LOU BERTHOMIEU",4811,,1.0,2.0,5.0,(12.0),8.0,4.0,9.0,7.0,4.0,8.0,2.0,4.0,2.0,5.0,5.0,5.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,101.0,89.0
5,"PATRICIA SUAREZ, MARIA CANTERO IZQUIERDO",3892,,7.0,12.0,6.0,10.0,7.0,15.0,6.0,15.0,3.0,6.0,2.0,11.0,5.0,14.0,(20.0),1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,141.0,121.0
5,HUIG-JAN TAK,1941,,3.0,1.0,5.0,(20.0),15.0,6.0,-,-,-,-,-,-,-,-,-,-,-,2.0,2.0,7.0,(44.0),1.0,7.0,6.0,3.0,4.0,(11.0),(0.0),(0.0),137.0,62.0
5,"DOMINIK BUKSAK, SZYMON WIERZBICKI",1157,POL,10.0,2.0,8.0,15.0,1.0,2.0,14.0,1.0,12.0,2.0,2.0,12.0,5.0,15.0,(16.0),9.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,134.0,118.0
5,SHACHAR RESHEF,4441,,(19.0),(16.0),9.0,4.0,2.0,2.0,3.0,2.0,4.0,5.0,2.0,10.0,10.0,4.0,(27.0),(0.0),(0.0),-,-,-,-,-,-,-,-,-,-,-,-,119.0,57.0
5,"SINEM KURTBAY, AKSELI KESKINEN",4506,,10.0,4.0,8.0,1.0,1.0,10.0,(16.0),4.0,3.0,1.0,10.0,8.0,6.0,7.0,8.0,10.0,5.0,-,-,-,-,-,-,-,-,-,-,-,-,117.0,101.0
6,"GEORGIA LEWI, N-LAFRANCE, ANTONIA LEWIN-LAFRANCE",1639,,17.0,8.0,5.0,2.0,8.0,17.0,1.0,12.0,8.0,1.0,12.0,8.0,(19.0),2.0,2.0,9.0,-,-,-,-,-,-,-,-,-,-,-,-,-,140.0,121.0
6,DELPHINE COUSIN,1084,FRA,14.0,7.0,12.0,12.0,8.0,13.0,2.0,12.0,11.0,4.0,(17.0),11.0,(26.0),(73.0),9.0,(0.0),(0.0),-,-,-,-,-,-,-,-,-,-,-,-,231.0,115.0
6,"VITTORIO BISSARO, MAELLE FRASCARI",5061,,2.0,(12.0),7.0,2.0,4.0,1.0,1.0,6.0,7.0,9.0,11.0,11.0,1.0,10.0,3.0,12.0,11.0,-,-,-,-,-,-,-,-,-,-,-,-,121.0,109.0
6,ANDY BROWN,273,,2.0,(4.0),1.0,4.0,2.0,3.0,-,-,-,-,-,-,-,-,-,-,-,1.0,(19.0),(80.0),8.0,4.0,3.0,7.0,16.0,8.0,1.0,(0.0),(0.0),163.0,60.0
6,"ANDREW MOLLERUS, IAN MACDIARMID",260,USA,15.0,8.0,6.0,5.0,11.0,1.0,5.0,11.0,4.0,11.0,6.0,(24.0),11.0,11.0,7.0,3.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,145.0,121.0
7,"MATEO MAJDALANI, EUGENIA BOSCO",3269,,9.0,11.0,(12.0),3.0,9.0,6.0,10.0,1.0,6.0,11.0,5.0,2.0,10.0,8.0,4.0,11.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,122.0,110.0
7,"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",2957,,8.0,2.0,3.0,6.0,3.0,9.0,4.0,7.0,19.0,6.0,5.0,15.0,24.0,(26.0),6.0,4.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,151.0,125.0
7,SAMUEL SILLS,4312,,19.0,19.0,11.0,10.0,(20.0),4.0,-,-,-,-,-,-,-,-,-,-,-,5.0,(19.0),4.0,5.0,(17.0),6.0,7.0,7.0,13.0,10.0,(0.0),(0.0),176.0,120.0
7,LUCIE BELBEOCH,2918,FRA,2.0,5.0,3.0,5.0,(6.9),(6.9),19.0,(6.9),(6.9),(73.0),(73.0),(73.0),12.0,15.0,6.0,(0.0),(0.0),-,-,-,-,-,-,-,-,-,-,-,-,313.6,94.6
7,"ISAURA MAENHAUT, ANOUK GEURTS",2021,BEL,16.0,4.0,16.0,12.0,13.0,2.0,11.0,3.0,(23.0),2.0,6.0,6.0,16.0,4.0,6.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,152.0,129.0
8,"ROBERT DICKSON, SEAN WADDILOVE",4168,IRL,14.0,10.0,1.0,3.0,5.0,1.0,2.0,6.0,13.0,17.0,3.0,(22.0),16.0,3.0,3.0,12.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,147.0,125.0
8,FINN HAWKINS,1472,GBR,2.0,9.0,(30.0),13.0,10.0,7.0,-,-,-,-,-,-,-,-,-,-,-,4.0,5.0,16.0,9.0,5.0,21.0,4.0,(25.0),(25.0),24.0,(0.0),(0.0),209.0,129.0
8,"LAILA VAN DER MEER, BJARNE BOUWER",2665,,5.0,9.0,3.0,11.0,2.0,9.0,11.0,11.0,12.0,5.0,4.0,(14.0),9.0,11.0,13.0,3.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,148.0,134.0
8,HELLE OPPEDAL,1862,,3.0,13.0,2.0,(27.0),13.0,12.0,1.0,(24.0),23.0,7.0,9.0,21.0,(25.0),14.0,5.0,(0.0),(0.0),-,-,-,-,-,-,-,-,-,-,-,-,199.0,123.0
8,"STEPHANIE ROBLE, MAGGIE SHEA",4604,USA,4.0,9.0,9.0,13.0,4.0,8.0,10.0,2.0,5.0,(17.0),3.0,14.0,11.0,9.0,12.0,8.0,-,-,-,-,-,-,-,-,-,-,-,-,-,146.0,129.0
9,LOUIS GIARD,2881,,4.0,3.0,9.0,5.0,6.0,(10.0),-,-,-,-,-,-,-,-,-,-,-,12.0,(13.0),3.0,(19.0),8.0,4.0,10.0,12.0,11.8,12.0,(0.0),(0.0),141.8,99.8
9,"NATACHA VIOLET SAOUM, A-PEDERSEN, MATHIAS BRUUN BORRESKOV",3609,,15.0,10.0,10.0,9.0,11.0,3.0,7.0,9.0,9.0,(16.0),14.0,5.0,4.0,2.0,9.0,6.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,151.0,135.0
