Posição,Nome Competidor,ID Competidor,Nacionalidade,F,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,SQ,10Q,11Q,12Q,13Q,14Q,15Q,16Q,inalQ,Medal RaceQ,SF A Race 1Q,SF A Race 2Q,SF B Race 1Q,SF B Race 2Q,SF B Race 3Q,SF B Race 4Q,inal Race 1Q,inal Race 2Q,inal Race 3Q,Total,Nett
1,"TITA, BANTI",4833,,-,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-,9.0,(12.0),5.0,1.0,1.0,3.0,-,-,2.0,-,-,-,-,-,-,-,-,-,43.0,31.0
1,"OKADA, YOSHIOKA",3793,,-,1.0,4.0,1.0,6.0,3.0,2.0,5.0,1.0,(24.0),-,3.0,14.0,-,-,-,-,-,-,10.0,-,-,-,-,-,-,-,-,-,74.0,50.0
1,MARIA ERDI,3118,HUN,-,5.0,1.0,3.0,7.0,17.0,4.0,22.0,6.0,(49.0),-,4.0,-,-,-,-,-,-,-,6.0,-,-,-,-,-,-,-,-,-,124.0,75.0
1,"LAMBRIEX, VAN DE WERKEN",2671,,-,1.0,4.0,5.0,2.0,1.0,1.0,3.0,5.0,2.0,-,10.0,(13.0),6.0,1.0,1.0,3.0,-,-,18.0,-,-,-,-,-,-,-,-,-,76.0,63.0
1,MAX MAEDER,3362,,-,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,-,4.0,(8.0),2.0,(9.0),3.0,(7.0),2.0,-,-,-,-,-,-,-,-,0.0,2.0,0.0,47.0,23.0
1,LAURIANE NOLOT,2712,FRA,-,(7.0),1.0,1.0,2.0,(28.0),1.0,1.0,1.0,2.0,-,1.0,1.0,1.0,(4.0),4.0,1.0,1.0,-,-,-,-,-,-,-,-,0.0,-,-,57.0,18.0
1,MATT WEARN,3315,AUS,-,11.0,11.0,6.0,5.0,1.0,3.0,2.0,7.0,25.0,-,(65.0),-,-,-,-,-,-,-,12.0,-,-,-,-,-,-,-,-,-,148.0,83.0
1,SHAHAR TIBI,4444,ISR,-,3.0,(10.0),1.0,8.0,5.0,3.0,(11.0),1.0,1.0,1.0,(15.0),4.0,5.0,6.0,1.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,74.0,38.0
1,LUUC VAN OPZEELAND,2968,NED,-,1.0,5.0,1.0,3.0,(6.0),1.0,3.0,(21.0),5.0,1.0,2.0,(12.0),6.0,9.0,4.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,79.0,40.0
1,"BOBECK, NETZLER",604,,-,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,-,2.0,3.0,19.0,(26.0),1.0,9.0,-,-,,-,-,-,-,-,-,-,-,-,74.0,48.0
2,TONI VODISEK,4906,,-,1.0,1.0,1.0,3.0,(4.0),1.0,1.0,2.0,1.0,-,2.0,1.0,1.0,(11.0),4.0,(17.0),3.0,-,-,-,-,-,-,-,-,4.0,3.0,5.0,54.0,22.0
2,"SCHNEITER, DE PLANTA",4384,,-,3.0,4.0,3.0,9.0,7.0,5.0,2.0,1.0,6.0,-,(25.0),9.0,4.0,12.0,5.0,5.0,-,-,16.0,-,-,-,-,-,-,-,-,-,116.0,91.0
2,MICHAEL BECKETT,3441,GBR,-,3.0,1.0,3.0,2.0,(70.0),2.0,5.0,8.0,2.0,-,66.0,-,-,-,-,-,-,-,4.0,-,-,-,-,-,-,-,-,-,166.0,96.0
2,"GIMSON, BURNET",1669,,-,3.0,2.0,2.0,3.0,3.0,1.0,3.0,5.0,5.0,-,1.0,(20.0),4.0,3.0,6.0,4.0,-,-,12.0,-,-,-,-,-,-,-,-,-,77.0,57.0
2,KATY SPYCHAKOV,2516,ISR,-,5.0,2.0,5.0,3.0,(19.0),5.0,(47.0),1.0,7.0,2.0,(28.0),7.0,2.0,1.0,2.0,-,-,2.0,-,-,-,-,-,-,-,-,-,-,134.0,40.0
2,MAUD JAYET,3347,SUI,-,21.0,15.0,(43.0),1.0,1.0,2.0,2.0,7.0,3.0,-,13.0,-,-,-,-,-,-,-,14.0,-,-,-,-,-,-,-,-,-,122.0,79.0
2,SEBASTIAN KORDEL,4411,,-,9.3,3.0,1.0,1.0,4.0,(31.0),(27.0),1.0,1.0,2.0,3.0,6.0,3.0,(19.0),7.0,-,-,2.0,-,-,-,-,-,-,-,-,-,-,116.3,39.3
2,ELEANOR ALDRIDGE,1225,GBR,-,(13.0),(28.0),2.0,2.0,2.0,1.0,2.0,1.0,1.0,-,2.0,1.0,3.0,2.0,2.0,3.0,(7.0),-,-,-,-,-,-,-,-,2.0,-,-,72.0,24.0
2,"XAMMAR HERNANDEZ, BRUGMAN CABOT",5178,,-,7.0,13.0,4.0,4.0,15.0,5.0,(20.0),4.0,3.0,-,8.0,15.0,-,-,-,-,-,-,8.0,-,-,-,-,-,-,-,-,-,106.0,86.0
