Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,F,Q,10,11,12,13,14,15,16,17,1Q,2Q,3Q,4Q,5Q,6Q,7Q,8Q,9Q,SQ,10Q,11Q,12Q,13Q,14Q,15Q,16Q,17Q,18Q,19Q,20Q,SMQ,M/F5Q,Total,Nett
1,"ERWAN FISCHER, CLEMENT PEQUIN",1351,FRA,11.0,1.0,7.0,3.0,1.0,3.0,1.0,2.0,3.0,-,-,18.0,2.0,3.0,3.0,2.0,3.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.0,58.0
1,MATT WEARN,3315,AUS,6.0,1.0,2.0,2.0,1.0,3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,(11.0),1.0,2.0,4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,35.0,24.0
1,"JORDI XAMMAR, NORA BRUGMAN",2316,ESP,3.0,1.0,7.0,8.0,11.0,2.0,13.0,11.0,6.0,-,-,1.0,6.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,69.0,56.0
1,BRUCE KESSLER,667,SUI,10.0,8.0,19.0,9.0,9.0,8.0,8.0,7.0,9.0,-,-,7.0,8.0,6.0,-,-,-,-,-,5.0,1.0,1.0,1.0,5.0,6.0,1.0,31.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,159.0,99.0
1,NICOLO RENNA,3692,ITA,-,-,-,-,-,-,-,-,-,,1.0,-,-,-,-,-,-,-,-,1.0,1.0,(31.0),3.0,(11.0),4.0,2.0,3.0,11.0,-,2.0,1.0,3.0,4.0,(18.0),3.0,1.0,(60.0),8.0,4.0,-,1.0,-,171.0,51.0
1,ANNE MARIE RINDOM,314,DEN,3.0,1.0,1.0,6.0,27.0,7.0,1.0,4.0,14.0,-,-,1.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.0,58.0
1,SHARON KANTOR,4449,ISR,-,-,-,-,-,-,-,-,-,1.0,1.0,-,-,-,-,-,-,-,-,1.0,1.0,(49.0),(19.0),5.0,2.0,2.0,1.0,1.0,1.0,1.0,15.0,19.0,16.0,(27.0),(30.0),3.0,3.0,23.0,5.0,1.0,-,-,224.0,99.0
1,DERIN ATAKAN,1100,TUR,13.0,16.0,12.0,19.0,17.0,12.0,16.0,16.0,5.0,-,-,5.0,9.0,-,-,-,-,-,-,1.0,2.0,2.0,11.0,1.0,3.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,162.0,110.0
1,MAXIMILIAN MAEDER,3380,SGP,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,-,-,1.0,1.0,1.0,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.0,17.0
1,LAURIANE NOLOT,2712,FRA,4.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,-,-,1.0,1.0,-,-,-,-,-,-,26.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.0,20.0
1,"ODILE VAN AANHOLT, ANNETTE DUETZ",3777,NED,1.0,3.0,1.0,3.0,6.0,9.0,8.0,1.0,1.0,-,-,13.0,5.0,3.0,2.0,1.0,17.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.0,63.0
