,Rating
"VERONIKA ZIVNA, KATERINA ZIVNA",1352.7406753539992
"JULIA HENRIKSSON, CAROLINE PETTERSSON",1427.724565519612
"ANGELIKA KOHLENDORFER, LISA FARTHOFER",1429.5497524321381
"MATHILDE LOVADINA, LEA PERNET",1432.1620099420004
"ZOFIA BURSKA, SARA TKADLECOVA",1432.75386528713
"ANNA LUSCHAN, EVA-MARIA SCHIMAK",1441.5050073509283
"HELEN PAIS, HELEN AUSMAN",1441.7260862802561
"DOMINIKA VADUROVA, SARA TKADLECOVA",1445.6620105209602
"MARIA OTTAVIA RAGGIO, PAOLA BERGAMASCHI",1445.9363182182
"CLARA-SOFIA STAMMINGER DE MOURA, MANON PEYRE",1446.472327941939
"MOLLY HIGHFIELD, SANDY CHOI",1448.2457480675478
"PAULA SCHUTZE, LILLE JONAS",1448.292221330557
"CAROLINA HORLBECK, CHARLOTTE HENKEL",1448.4389217394328
"LIVIA NAEF, NELIA PUHZE",1452.316212333356
"COURTNEY REYNOLDS-SMITH, BRIANNA REYNOLDS-SMITH",1452.3511629098193
"HARSHITA TOMAR, SWETA SHERVEGAR",1454.5476885291398
"KATHARINA SCHWACHHOFER, ELENA STOLTZE",1454.661086740149
"KATLIN TAMMISTE, ANNA MARIA SEPP",1455.3965092705096
"JOSEPHINE P. W. FREDERIKSEN, LAURA STEENSTRUP ZEEBERG",1455.4578899963399
"LUCY WILMOT, ERIKA REINEKE",1456.8498654033167
"MADELEINE ZIELINSKA, NADIA ZIELINSKA",1457.2460885529204
"VICTORIA PAYNE, ALICE MASTERMAN",1460.9043154601404
"ELIN SEVEDAG, KLARA JOHANSSON",1461.3211811087233
"SIRRE KRONLOF, SELMA VALJUS",1461.4839953135306
"MEGAN BRICKWOOD, ELEANOR ALDRIDGE",1463.3038013130708
"RUFINA TAN, CONNIE RIVERRA TSEN",1463.7176202522983
"ELEANOR KEERS, JESSICA JOBSON",1463.722235501056
"SAKI MATSUNAE, YURI SAITO",1463.9506650014062
"MARLIES SCHOUTEN, MAUD LODEWIJK",1464.3924989217965
"LUCIA TAMANI, BIANCA TAMANI",1464.8674834309393
"DIANA TUDELA BALLON, ADRIANA BARRON VELAOCHAGA",1465.836735359588
"DIANA TUDELA, MARIA PIA VAN OORDT",1466.4808466510044
"ARIANNA GARISTO, VIRGINIA GARISTO",1466.6867006477191
"ARANTZA GUMUCIO, BEGONA GUMUCIO",1466.8524458593017
"MARIJA ANDELA DE MICHELI VITTURI, MIHAELA ZJENA DE MICHELI VITTURI",1466.919763248159
"CHLOE FISHER, ELEANOR GRIMSHAW",1468.8445461663832
"KELLY COLE, RACHEL ELLIE GLENN",1469.0334899618385
"NATSUMI ANDO, FENJA VALENTIEN",1469.6030910420861
