,Rating
"DOMINIK BUKSAK, SZYMON WIERZBICKI",(-0.26823644299007027-0.3637331047927188j)
"BLAIR TUKE, PETER BURLING",(-0.26823644299007027+0.3637331047927188j)
"EDOARDO VALLETTA, FRANCESCO PADOVANI",0j
"PEDRO COSTA, JOAO BOLINA",0j
"MAXIMILIAN STINGELE, LUKAS SCHAPER",0j
"JESPER BAHR, FYNN KAUFHOLD",0j
"PIOTR SZLACHCIC, LUKASZ WLOCH",0j
"OSCAR SILEN, ARTHUR THERMAN",0j
"FREDERIK MELSON, CARL EMIL BAAD NIELSEN",0j
"MINGLIANG DING, WENWEI ZHANG",0j
"EDVIN GIPPERTH, DENNIS FONSECA KARLSSON",0j
"EVAN SJOSTEDT, GARRETT BROWN",0j
"WILLIAM STAPLES, THOMAS STAPLES",0j
"FIN ARMSTRONG, EWAN GRIBBIN",0j
"RODOLFO PIRES, GONCALO PIRES",0j
"MARIUS WESTERLIND, OLLE ARONSSON",0j
"JOONOH JIN, MINGYU JEONG",0j
"TOMI OIKKONEN, RISTO PESOLA",0j
"MAX MARCOUR, DOMINIC FRITZE",0j
"EDVIN GIPPERTH, N/A",0j
"YAM WIRTHEIM, MAOR ABU",0j
"MALTHE EBDRUP, SEBASTIAN WRIGHT OLSEN",0j
"OTTO HENRY, FLYNN TWOMEY",0j
"LIAM WALZ, ABIE GRIGGS",0j
"MICHAEL SABOURIN, ANDREW PERSON",0j
"MERIK REGANULT, LOUIS RAYNAL",0j
"KJELL HASCHEN, IVEN ANTON FROMM",0j
"BEN CRIPTON, RAFAEL PEDRO",0j
"STIJN GAST, OLAF GANZEVLES",0j
"SIMON HEINDL, FYNN KAUFHOLD",0j
"DAVID AMES, PJ BUHLER",0j
"EETU KOTIRANTA, TOM WENDT",0j
"CARL NIELSEN, MATHIAS SLETTEN",0j
"FREDERIKJUST MELSON, ANDERS BIGUM JOHANSEN",0j
"HARRY MELGES IV, WILLIAM ROWE",0j
"MATTHEW GRAHAM, ALEXANDER HUME",0j
"MORITZ DORAU, RIKO ROCKENBAUCH",0j
"JOSSE BONATZ, CARL-CHRISTIAN BARTH",0j
"YI NIAN KOH, JEN-E TAN",0j
"VALENTIN JELL, PATRICK RUESS",0j
"ALEXANDER HEINZEMANN, CLIFTON KARTNER",0j
"MARTIN MIKKOLA, MARKUS IHAMUOTILA",0j
"NAEL GWENDAL, GAUTIER GUEVEL",0j
"TERUAKI SHIMAKURA, MINAKI ENDO",0j
"JAKOB PORTHUN, MALTE JACOBS",0j
"JUAN EMIGDIO BEDIA, VICTOR PEREZ",0j
"YI NIAN KOH, RIJI WONG",0j
"VICTOR SILEN, OLIVER SILEN",0j
"CHARLIE HIBBEN, NICOLAS MULLER",0j
"SHINTARO KAMISONODA, TERUAKI SHIMAKURA",0j
