,Rating
"ODILE VAN AANHOLT, NICOLE VAN DER VELDEN",(-0.06612958296191968-0.12444690714803629j)
"JO ALEH, MOLLY MEECH",(-0.06612958296191968+0.12444690714803629j)
"JOHANNE SCHMIDT, ANDREA SCHMIDT",(-0.053327333321723805-0.040911533928270086j)
"KLARA WESTER, REBECCA NETZLER",(-0.053327333321723805+0.040911533928270086j)
"RAGNA AGERUP, MAIA AGERUP",(-0.03618540250236746-0.030643090703997858j)
"JENA MAI HANSEN, KATJA SALSKOV-IVERSEN",(-0.03618540250236746+0.030643090703997858j)
"ODILE VAN AANHOLT, ELISE RUYTER",(-0.03161938880329425-0.0035537000444464443j)
"VILMA BOBECK, REBECCA NETZLER",(-0.03161938880329425+0.0035537000444464443j)
"VICTORIA TRAVASCIO, MARIA SOL BRANZ",(-0.03137043850736059-0.019118004608515867j)
"JULIA GROSS, HANNA KLINGA",(-0.03137043850736059+0.019118004608515867j)
"AUDE COMPAN, SARAH STEYAERT",(-0.022177158169064893-0.005862127283283771j)
"ALEXANDRA TEN HOVE, MARIAH MILLEN",(-0.022177158169064893+0.005862127283283771j)
"ANNA YAMAZAKI, SENA TAKANO",(-0.016470235715536533-0.05183935252837063j)
"HELENE NAESS, MARIE RONNINGEN",(-0.016470235715536533+0.05183935252837063j)
"SOPHIE WEGUELIN, SOPHIE AINSWORTH",(-0.015130892716343141-0.01042637185327567j)
"OLIVIA PRICE, EVIE HASELDINE",(-0.015130892716343141+0.01042637185327567j)
"MARTINE GRAEL, KAHENA KUNZE",(-0.011416460356032271+0j)
"TANJA FRANK, LORENA ABICHT",(-0.0057814845037415675-0.0412994379895994j)
"CARLA MUNTE, MARTA MUNTE",(-0.0057814845037415675+0.0412994379895994j)
"ANIKA LORENZ, VICTORIA JURCZOK",(-0.005159345026311459-0.029515072343625423j)
"ANNEMIEK BEKKERING, ANNETTE DUETZ",(-0.005159345026311459+0.029515072343625423j)
"ODILE VAN AANHOLT, MARIEKE JONGENS",(-0.004289445815955486-0.012438203856382621j)
"CHARLOTTE DOBSON, SASKIA TIDEY",(-0.004289445815955486+0.012438203856382621j)
"TINA LUTZ, SUSANN BEUCKE",(-0.001855812834967568-0.008439613482498894j)
"ALEXANDRA MALONEY, MOLLY MEECH",(-0.001855812834967568+0.008439613482498894j)
"SAKI MATSUNAE, SAYOKO HARADA",0j
"YINGQIAN WANG, XIAOYA SU",0j
"VARSHA GAUTHAM, AISHWARYA CHEZHIYAN",0j
"MARCELINA KORSZON, ZUZANNA MROZ",0j
"DOMINIKA VADUROVA, SIMONA BOROSOVA",0j
"JOSEPHINE P. W. FREDERIKSEN, LAURA STEENSTRUP ZEEBERG",0j
"ERI FUKASAWA, NORIKO OKUMA",0j
"RUFINA TAN, CONNIE RIVERRA TSEN",0j
"NATSUMI ANDO, FENJA VALENTIEN",0j
"PAULA VAN WIERINGEN, ELENA BARRIO GARCIA",0j
"EKTA YADAV, SHAILA CHARLES",0j
"BELEN TAVELLA, TRINIDAD SILVA",0j
"FENJA VALENTIEN, BERIT BELLIN",0j
"ZOYA NOVIKOVA, DIANA SABIROVA",0j
"RONJA GRONBLOM, SARA EHRNROOTH",0j
"ANNA LUSCHAN, JOHANNA DAUM",0j
"SAKI MATSUNAE, YURI SAITO",0j
"MARTINA CASTAGNA, LUCIA MIANI",0j
"COURTNEY REYNOLDS-SMITH, BRIANNA REYNOLDS-SMITH",0j
"MIHAELA ZJENA DE MICHELI VITTURI, MARIJA ANDELA DE MICHELI VITTURI",0j
"ALICIA FRAS, CLARISSE BAISSAC",0j
"RONJA LUNDBERG, PERNILLA LINDNER",0j
"ANASTASIIA SHCHEGLOVA, MARGARITA KAMAEVA",0j
"CHLOE FISHER, LAURA THOMSON",0j
"AUDREY STAPLES, MARION LAFRANCE-BERGER",0j
"EMMA MEILHAT, CHLOE SALOU",0j
"EMILIE BOUCHET, JULIA OLLIVIER",0j
"RONJA LUNDBERG, HANNA JOHNSSON",0j
"VARSHA GAUTHAM, SWETA SHERVEGAR",0j
"ZOFIA BURSKA, SARA TKADLECOVA",0j
"DEWI COUVERT, SHANNEN MARCK",0j
"JULIA HENRIKSSON, KLARA JOHANSSON",0j
"KATE MACGREGOR, KIRSTIE URWIN",0j
"ODILE VAN AANHOLT, PHILIPINE VAN AANHOLT",0j
"REBEKKA JOHANNESEN, SILJE CERUP-SIMONSEN",0j
"MARIANNE DE VREESE, SHANA WITTOCK",0j
"MADELEINE MCLEAY, NATASHA BRYANT",0j
"VICTORIA PAYNE, ALICE MASTERMAN",0j
"ELIN SEVEDAG, KLARA JOHANSSON",0j
"ALICE MOSS, EBBA BERNTSSON",0j
"ERIN RAFUSE, MILLEN MARIAH",0j
"ANN-KRISTIN WEDEMEYER, PIA SOPHIE WEDEMEYER",0j
"SARAH ROECK, LEA TESSA EINBRODT",0j
"MINA FERGUSON, DERVLA DUGGAN",0j
"HANNAH STEADMAN, GABRIELLE RIZIKA",0j
"KATE MACGREGOR, STEPHANIE ORTON",0j
"CATHERINE BARTELHEIMER, DANIELA BARTELHEIMER",0j
"ISABELLE FELLOWS, ALICE MASTERMAN",0j
"ANNA YAMAZAKI, N/A",0j
"VICTORIA SCHULTHEIS, ANTONIA SCHULTHEIS",0j
"FRANCESCA BERGAMO, ALICE SINNO",0j
"REBEKKA JOHANNESEN, IBEN NIELSBY CHRISTENSEN",0j
"ANNE SCHWARZ, MARTINA SCHWARZ",0j
"DEBBIE CAPOZZI, MAGGIE SHEA",0j
"JULIA HENRIKSSON, CAROLINE PETTERSSON",0j
"CLARA SCHEIWILLER, VIOLETTE LEMERCIER",0j
"FLORINE BRAMERVAER, EMMA SIEWERS",0j
"ARIANNA GARISTO, VIRGINIA GARISTO",0j
"MAYUMI ROLLER, AGUSTINA BARBUTO",0j
"WILLEMIJN OFFERMAN, EMMA SIEWERS",0j
"HELEN PAIS, HELEN AUSMAN",0j
"ELEANOR KEERS, JESSICA JOBSON",0j
"KATE SHANER, CHARLOTTE MACK",0j
"GIULIA GENESIO, FRANCESCA VOLPI",0j
"KATHARINA SCHWACHHOFER, ELENA STOLTZE",0j
"SOPHIE STEINLEIN, JILL PALAND",0j
"DIANA TUDELA BALLON, ADRIANA BARRON VELAOCHAGA",0j
"BRICE YRIEIX, ALBANE DUBOIS",0j
"MARLIES SCHOUTEN, MAUD LODEWIJK",0j
"ANTONIA SCHULTHEIS, VICTORIA SCHULTHEIS",0j
"LISA MARIA RAUSCH, LILLE JONAS",0j
"TATE HOWELL, ADRIANNA BAIRD",0j
"HELENA WOLFF, LAURA ZEEBERG",0j
"SIRRE KRONLOF, SELMA VALJUS",0j
"SOPHIE MOSEGAARD, FIONA SCHARER",0j
"KATRINE SCHMIDT, ELLEN NIELSEN",0j
"MERLE LOUWINGER, JULIA VAN DER VAART",0j
"KLARA UTTERSTROM, AMANDA LJUNGGREN",0j
"KAMONCHANOK KLAHAN, NICHAPA WAIWAI",0j
"HUIJIA YU, YE JIN",0j
"KATE SHANER, KATHLEEN LOVE",0j
"MENGMENG ZHANG, XIAOYA SU",0j
"ANASTASIA VORONKOVA, OLGA KNIPOVICH",0j
"GUO FAN, ZHOU YAN",0j
"YANG YIN, SHI SHIQING",0j
"MARINA TARAN, ANGELINA MARKOVA",0j
"LAURA HARDING, LAURA THOMSON",0j
"HE XIAN, YU XUEBIN",0j
"CRYSTAL SUN, OLIVIA HOBBS",0j
"CHLOE FISHER, ELEANOR GRIMSHAW",0j
"MARIA PASQUALI COLUZZI, GIORGIA BERTUZZI",0j
"VICTORIA LIKSANOVA, DIANA SABIROVA",0j
"ELISE DE RUIJTER, QUINTEN BRAMERVAER",0j
"SHASHA CHEN, NANA HU",0j
"TINA LUTZ, LOTTA WIEMERS",0j
"JANA GERMANI, GIORGIA BERTUZZI",0j
"INGA-MARIE HOFMANN, CATHERINE BARTELHEIMER",0j
"MAELLE FRASCARI, SVEVA CARRARO",0j
"PAULA VAN WIERINGEN MASSANET, CLAUDIA SOBRAL LUSQUINOS",0j
"JOSEPHINE P W FREDERIKSEN, LAURA STEENSTRUP ZEEBERG",0j
"SAKI MATSUNAE, ERI HATAYAMA",0j
"NEUS BALLESTER, CARLOTA GARCIA",0j
"MARIJA ANDELA DE MICHELI-VITTURI, MIHAELA ZJENA DE MICHELI-VITTURI",0j
"MARIA SOL BRANZ CRESPO, JULIA PANTIN",0j
"ELEANOR KEERS, FAYE CHATTERTON",0j
"CHEN SHASHA, WANG MENGTING",0j
"PARIS HENKEN, ANNA TOBIAS",0j
"WANG YINGQIAN, XIAOYA SU",0j
"ALICIA FRAS ELENA, BARRIO GARCIA",0j
"MARU SCHEEL, FREYA FEILCKE",0j
"HU XIAOYU, SHAN MENGYUAN",0j
"MARLA BERGMANN, HANNA WILLE",0j
"GEORGIA LEWIN-LAFRANCE, ANTONIA LEWIN-LAFRANCE",0j
"MANON PEYRE CLARA-SOFIA, STAMMINGER DE MOURA",0j
"JULIA GROSS, SARAH AYTON",0j
"ALICE MOSS, AMANDA LJUNGGREN",0j
"SILVIA SICOURI, ALICE SINNO",0j
"ANASTASIIA MOGILNAIA, YANA STOKOLESOVA",0j
"RINKO GOTO, MANASE ICHIHASHI",0j
"PAULA VAN WIERINGEN MASSANET, JORIEN JULIA HIN",0j
"JASMIN MAY GALBRAITH, CHLOE FISHER",0j
"EBBA BERNTSSON, KLARA UTTERSTROM",0j
"KATE MACGREGOR, MARY ROOK",0j
"MADDALENA DI SALVO, WINGCHI SANDY CHOI",0j
"PAULA SCHUTZE, LILLE JONAS",0j
"SVEA KARSENBARG, ELISE DE RUIJTER",0j
"SAAR TAMIR, NOYA BAR AM",0j
"ERIN MC ILWAINE, ELLIE CUNNANE",0j
"KATHARINA SCHWACHHOFER, ADRIANA BAIRD",0j
"INGA-MARIE HOFMANN, ALISA ENGELMANN",0j
"KELLY COLE, RACHEL ELLIE GLENN",0j
"CARLOTA HERNANDEZ GARCIA, MARIA TERESA ALONSO GONZALEZ-SOLLA",0j
"LUCIA TAMANI, BIANCA TAMANI",0j
"CLAUDIA SOBRAL LUSQUINOS, CARLOTA GARCIA FERNANDEZ",0j
"VERA TER HORST, JORIEN HIN",0j
"KATRINE BENDIX KROGH, CLARA ROSKJAER MOGELTOFT",0j
"SOPHIE STEINLEIN, BENTE BATZING",0j
"MARGHERITA PORRO, MATILDA DISTEFANO",0j
"ISABELLE FELLOWS, NICOLA BONIFACE",0j
"ODILE VAN AANHOLT, CECILE JANMAAT",0j
"LILY RICHARDSON, MATILDA RICHARDSON",0j
"DIANA TUDELA, MARIA PIA VAN OORDT",0j
"GIULIETTA LANG, STERRE VAN WEGEN",0j
