,Rating
CYRILL KNECHT,1296.9859515482287
MARTIN ARUJA,1341.2960877957912
CVINAR ALEC,1342.3724040123511
PRIKRYL BENJAMIN,1348.665402904726
CLEMENS KUEBBER,1349.0058103608458
JUAN IGNACIO PEREZ,1352.865436660748
VALERIO CASSANMAGNAGO,1356.2869868241871
MALCOLM BENN SMITH,1358.8831464747473
STEPAN NOVOTNY,1363.2656028358092
JOSHUA HIGGINS,1368.0942341888501
KOOSER BO AARON,1368.4182295826738
JANULIONIS RADVILAS,1371.1621962976192
JIRI HALOUZKA,1374.5441070899303
JUSTIN NORTON,1374.789225342056
JOSE BARCELO SOTERAS,1378.280124666312
JUAN ANDREU,1380.8558719349269
PARRY PHILIP MARCUS,1381.1623703054543
JEREMY MOUTOUT,1383.497388561039
ANDEL MICHAL,1385.126871807604
GERARDO BENITEZ,1388.8390914331146
DUTTA UPAMANYU,1389.7709822381455
JAKOB LEJBOLLE,1392.5267047325233
FONT REYERO POL,1392.9651713967926
KUSS LENNART,1394.2341780197278
SHUSUKE TAKEUCHI,1395.1217919012897
AO HIGUCHI,1395.7770734728824
NORMAN STRUTHERS,1397.1372810326852
ANDREAS KRABBE-CHRISTENSEN,1397.5561706240778
FLORES MARTIN GUILLERMO,1397.5748162280452
PAUL KRONEGGER,1398.647211635604
ARTHUR BAUDET,1399.5973545677448
GONZALVEZ FONS JORGE,1400.1967320854417
JACK HOPKINS,1400.9056368239146
DINC MEHMET DURAN,1401.1877604042954
GOROSTEGUI VICTOR,1401.4756559662062
JANAHI ABDULLA,1402.0855426268727
PAUL VERON,1404.0261924935307
MARIOS KARADIMAS,1406.2401534794458
CAMERON PIMENTEL,1409.1905561667825
FREDRIK WESTMAN,1409.8050172562862
EDOARDO LIBRI,1411.2588839241762
VAN ROOMEN TIMO,1411.5449552158232
BANJAC NIKOLA,1411.6385383605875
VEJAS STRELCIUNAS,1411.708503419534
JAKUB HALOUZKA,1414.0300209208508
ANDRES LAGE,1414.7247085887614
ADAM OZ,1415.1601126111293
PATRIK MELIS,1416.087583599494
BADAWY ALY,1417.0975487962587
MATEO MALDONADO,1417.6665932085307
DIEGO PELETEIRO HERRERO,1418.0118820767161
OREL LIAM,1418.3906178758082
HIMMEL JIRI,1419.2032644703024
CHRISTOPHER MARSH,1419.2157070973333
NIKOLA CHURKOSKI,1419.4492653647653
RICARDS ZVILNA,1420.439544823334
BOSSI JEREMY,1420.6435461522185
GEORG PHILIP BUNK LAURITSEN,1421.388308931783
ARFAN LORANDEL BOUHAMED,1421.7183735887177
SURKOV DAVID,1421.9962894388743
DANIEL SELF,1422.2869336607228
RAGAB AHMED,1422.870037681682
RICARDO SEGUEL LACAMARA,1423.312752467106
JULIAN SOTO,1423.4841945154672
HAMZA AL ALI,1423.5280298974324
WALEED AL SHARSHANI,1423.679506926793
KAZUSHI MIYATA,1423.9633125418068
CIRO BASILE,1424.206415577435
BLAKE JAMIE,1424.3948144978776
GABRIEL SANZ-AGERO,1424.7841101022132
MIGLIACCIO LORENZO,1425.1902703739584
PABLO BERTRAN,1425.2314276802797
MIQUEL SITGES NICOLAU,1425.5745930947132
GOVINDEN RODNEY,1425.6903299789285
IGOR LES,1426.051843261365
JAVIER CASALINS DONOSO,1426.3744550555825
LEE WONN KYE,1426.7681813148383
FORREST WACHHOLZ,1426.9937111610307
DORUK DEMIRCAN,1427.2816409629186
TOUS CLOTS XAVI,1428.0193177956419
SAINI MOHIT,1428.1584687375519
KITAMURA YUICHIRO,1429.2078551440127
HAMDI SLIMANI,1429.6107805257282
ZHUKALIN IVAN,1429.652851200543
YUVALI ALI FUAT,1429.9435059855414
MONCADA SANCHEZ MIGUEL,1430.1782757804128
ERONI LEILUA,1431.0113451328177
TADEUS SAMORODNY WITOLD,1431.1912304959417
STANISLAS PICARD,1431.2242966888416
GEORG NOLLERT,1431.4328002703012
SAIDUKOV DENYS,1431.5070380119485
LUCAS BUENO,1431.6906204196168
IAN ELLIOTT,1432.6430034507582
GERALD WILLIAMS,1433.2607660222345
BENOIT LEFEVERE,1433.4037616505227
BRUCE LIAM,1433.8969896262117
ANDRES CLOOS,1434.2277725565602
TRETYAKOV DMITRY,1434.462730210444
JOSE VICENTE GUTIERREZ,1435.2956888040574
SIGURD TVEIT,1435.4738093041378
KEN FUJIMOTO,1435.578053942607
MARK WONG,1435.6652768600939
FLORIAN PAQUAY,1435.7078377311493
WILL SARGENT,1436.5999664639821
GITESH NAIN,1436.700316465419
DIDHAM PAUL,1436.8655640565744
FERNANDEZ FERNANDEZ SOCRATES,1436.9350735320445
VASZI MIKULAS,1436.9364081580136
MARCOS ALTARRIBA,1436.9802196380087
TOMAS VARELA,1437.062276779682
LUKE DEEGAN,1437.9272752422726
THAD LETTSOME,1438.6302166020018
AUGUST HANEVIK,1438.7590179334131
FREDERIKSEN KENNETH,1438.8611131912012
HUANG YANG,1439.0658320574532
ANDERS LINDEMARK,1439.7063560637503
VALERIY KUDRYASHOV,1440.0050860086997
JUNKERS KARLIS,1440.0746178788477
CLAUDIO NATALE,1440.8011386064368
ANSTEY LUKE,1441.5016925264933
MINJE LEE,1441.7053564085222
PAUL CASTAGNEDOLI,1442.0654548725186
LAVENANT FRANK,1442.5542211608893
FLOWER BENJAMIN-TIMOTHY,1442.886916401566
MURU MATTI,1443.029560404693
MAS VINES BORJA,1443.2496932219203
JAMES STEWART,1443.7899693330342
GASTON CRUZ TOLON,1444.1195492802838
IVO TODOROV,1444.39547552239
ZAMIT LOUKIANOS,1445.088497934157
ENRIQUE FELIU,1445.1101575981527
ANDREY QUINTERO,1445.2534925258433
HYEONSU YOON,1446.2072006734886
SVERRE LANGAAS-HOLT,1446.2237051791806
ADOLFO VIRGILI PASQUAL DEL RIQUELME,1446.6239361558726
ARTHUR FARLEY,1446.6394955546818
KIRILL EVFIMYEVSKIY,1446.9569983405956
FOGUET RAMIRO,1447.0233681366717
ARTURO MITNIK,1447.1881091398375
LEONARD STOCK,1447.478391379166
GOLUBIC BOZIDAR,1447.9199316700285
ANASTASIADIS DIMITRIOS,1448.5885595923155
ARTIUKH NAZAR,1448.637010163796
JENS J KAASTAD ORJAVIK,1449.027589399988
TINUS STROMME,1449.0357248116195
MARCUS MAGNUSSON,1449.491116203719
WOLGRAM KAI,1449.5617336553182
HEEGAARD MAGNUS,1450.0582333220905
MAXIMILIAN MUELLER,1450.0676354155291
PENEV MARTIN,1450.0810969057484
KAPTAN GUNEY,1450.2032292264564
PATRICK DOEPPING,1450.432641655946
AMATO JOSHUA,1450.5559884262393
STEFANO CAIAFA,1450.5855581965727
ZALESKI MAREK,1450.6729123409496
WONG TOMMY HAUNTING,1450.729374261688
JULIA FORTEZA JORDI,1450.8129853240173
FRACASSI ALESSANDRO,1450.9290208922428
GEIR SUNDE,1450.998862576599
SPONHOLZ FELIX,1451.3022570829557
JAMES GOLDEN,1451.335324699978
RUDOLF VOGEL,1451.3816528461164
D'URSEL FELIX,1451.4005152012855
HAGELIN URBAN,1451.4160732744883
JOHANNES HIORT,1451.515151515152
MLADENOV HRISTO,1451.5736342191813
ANDREAS KRABBE CHRISTENSEN,1451.6768590254644
MICHAEL SCARDAVILLE,1451.722896464721
JAGOBA HUERCANOS MACHIMBARRENA,1451.9408912432518
RINCKE JAKOB,1452.071656140883
SKYDSGAARD GUSTAV,1452.0747383127896
NIKOLOV DANIEL,1452.0783249301173
SHERIF MANSOUR,1452.2526021582466
ELIMAR BITTAR,1452.3884855355864
TSOTRAS ANTONIS,1452.4862999383226
ARTHUR BARRUE,1452.4881201120993
TOBIAS NIGGL,1452.5666425860195
DIMITRIOU GEORGE,1452.6422536167
JUAN FRANCISCO ZARATE,1452.7205199692908
OLIVER MORGENSTERN,1452.7294736766783
KJOPSNES GUDLEIK,1452.7427970804806
ANNUS TAVO,1452.8469848008206
BO JEONG,1452.9134463983783
FILCHEV IVO,1453.0661715326141
MALO WESSELY,1453.0778259441497
ZACHEE WAYAG,1453.1474472607583
AUSTIN ROSS,1453.3152357924691
MARIO PLOMER QUIROGA,1453.3701254957116
VALENTINO LUCA,1453.4959490997107
MICHAEL MCNEILL,1453.5184249430572
ALNEBECK EMIL,1453.541063053105
ROBERT KREILAUS,1453.6138657810004
RALF LUBBE,1453.8220083716426
MERCER BENNASAR MATEU,1453.8617658118217
ALFONSO FERNANDEZ,1453.8827413784052
GABRIELE BESOZZI,1453.9955079013125
MORTEN D LIE,1454.029165606902
TAMM AKSEL,1454.0850789596757
CLEMENS HORSTMANN,1454.0931788129637
MATTEO BERTACCHI,1454.1239314157554
ALEXIS GAYET,1454.145572542038
YORITOMO UEDA,1454.1513363354625
TIM FELBER,1454.1666666666658
JOAN TUDELA PLA,1454.2605306625162
GONZALEZ ARRIA DAVID ENRIQUE,1454.2873317098215
GABRIEL MARTIN,1454.2942668459568
JUAN VIDELA,1454.4154352235282
MARCELO FREZZA,1454.420838377726
LELO MANUEL,1454.4715219093825
MICHAEL MEI,1454.5066528461164
HARTMUT DREXEL,1454.545454545455
RAMDAS WEICHERT,1454.545454545455
BOBOTAS CHRIS,1454.558708846047
DIMITRIOS ANASTASIADIS,1454.618035496052
CHIAPPE ANDREA,1454.6253373714776
MARINO DAVIDE,1454.7229086317577
VANGELOV DIMITAR,1454.7273315526336
MATHIOT DEAN,1454.7562198992732
CLAAS HEISE,1454.7813864040288
CARLOS MUNIZ,1454.8310876370656
MARCIA STEFANO,1454.8689625105249
ANTONIO CARLOS B. DEFIGUEIREDO,1454.8884855355864
GIRTS TIMROTS,1455.0
DANI CARDONA,1455.0368175563426
RENE VAN RIJN,1455.0562297980546
EL-ZEINY OMAR,1455.1600967297663
VALLESI CLAUDIO,1455.2985528133893
SPYROS PROVELEGIOS,1455.3533296136989
BRAUNE HANNES,1455.4273608388708
MARINI MARCO,1455.4822446038186
GRANADEIRO ANDRE,1455.694856088055
VINCENT PETER,1455.70404956215
MAURICIO RODRIGUEZ,1455.723944779923
LINDSTEN ERIK,1455.7798690232544
NICOLINI PIETRO,1455.8361872219914
SCHAEFFERLING NICO,1455.8998749248112
MARIN MANDIC,1456.0363242278427
