,Rating
"VERONIKA ZIVNA, KATERINA ZIVNA",1245.4322592230722
"JULIA HENRIKSSON, CAROLINE PETTERSSON",1347.8820022452146
"ZOFIA BURSKA, SARA TKADLECOVA",1364.4640918728408
"MATHILDE LOVADINA, LEA PERNET",1376.632139582471
"ANGELIKA KOHLENDORFER, LISA FARTHOFER",1380.8659374809151
"HELEN PAIS, HELEN AUSMAN",1382.3643083009474
"ANNA LUSCHAN, EVA-MARIA SCHIMAK",1383.0984443493958
"PAULA SCHUTZE, LILLE JONAS",1383.7325238317885
"MOLLY HIGHFIELD, SANDY CHOI",1394.0439355726496
"MARIA OTTAVIA RAGGIO, PAOLA BERGAMASCHI",1394.841840035952
"CLARA-SOFIA STAMMINGER DE MOURA, MANON PEYRE",1398.7577166994467
"HARSHITA TOMAR, SWETA SHERVEGAR",1399.7270123252783
"COURTNEY REYNOLDS-SMITH, BRIANNA REYNOLDS-SMITH",1401.493792041705
"LIVIA NAEF, NELIA PUHZE",1403.9300625425587
"KATHARINA SCHWACHHOFER, ELENA STOLTZE",1404.8840281726573
"DOMINIKA VADUROVA, SARA TKADLECOVA",1406.6631047026897
"JOSEPHINE P. W. FREDERIKSEN, LAURA STEENSTRUP ZEEBERG",1407.369783128012
"VICTORIA PAYNE, ALICE MASTERMAN",1410.9163894127753
"CAROLINA HORLBECK, CHARLOTTE HENKEL",1411.2515760227204
"LUCY WILMOT, ERIKA REINEKE",1414.2220901140158
"ELIN SEVEDAG, KLARA JOHANSSON",1414.4266498296886
"RUFINA TAN, CONNIE RIVERRA TSEN",1415.8110733584322
"KATLIN TAMMISTE, ANNA MARIA SEPP",1416.460886957193
"LUCIA TAMANI, BIANCA TAMANI",1418.3455356526206
"ARIANNA GARISTO, VIRGINIA GARISTO",1421.179049646714
"DIANA TUDELA BALLON, ADRIANA BARRON VELAOCHAGA",1421.6378873797205
"MARLIES SCHOUTEN, MAUD LODEWIJK",1421.6943813945384
"DIANA TUDELA, MARIA PIA VAN OORDT",1423.7694172426034
"SIRRE KRONLOF, SELMA VALJUS",1424.23584544723
"SAKI MATSUNAE, YURI SAITO",1424.6415996348978
"MADELEINE ZIELINSKA, NADIA ZIELINSKA",1424.8555413242782
"ELEANOR KEERS, JESSICA JOBSON",1426.5337907032908
"KELLY COLE, RACHEL ELLIE GLENN",1427.2524823823085
"ARANTZA GUMUCIO, BEGONA GUMUCIO",1427.7632748895903
"CHARLOTTE HEIJSTEK, JESKE KISTERS",1430.0838639234864
"ANASTASIIA MOGILNAIA, YANA STOKOLESOVA",1430.851784737757
"CHLOE FISHER, ELEANOR GRIMSHAW",1430.9529906864436
"MEGAN BRICKWOOD, ELEANOR ALDRIDGE",1431.8232598301086
"EMILY DELLENBAUGH, ELIZABETH BARRY",1432.457165489012
"NATSUMI ANDO, FENJA VALENTIEN",1432.6162727540523
"GIULIA GENESIO, FRANCESCA VOLPI",1432.8510350809229
"CLARA SCHEIWILLER, VIOLETTE LEMERCIER",1433.0751040973844
"MARIJA ANDELA DE MICHELI VITTURI, MIHAELA ZJENA DE MICHELI VITTURI",1433.2576133303498
"FRANCESCA BERGAMO, JANA GERMANI",1435.9256902268792
"LAURA HARDING, LAURA THOMSON",1436.9988335385701
"CATHERINE BARTELHEIMER, DANIELA BARTELHEIMER",1437.422269779156
"CRYSTAL SUN, OLIVIA HOBBS",1437.8437450389793
"MARCELINA KORSZON, ZUZANNA MROZ",1439.0145465095293
"HANNAH BRISTOW, EMILY COVELL",1439.5156058210937
"SAYOKO HARADA, SERA NAGAMATSU",1443.9902282911328
"KATRINE BENDIX KROGH, CHRISTINA ANDERSEN",1444.318336745023
"JASMIN MAY GALBRAITH, CHLOE FISHER",1445.142237170878
"NADINE BOEHM, LENA WEISSKICHEL",1445.4776413875436
"SAKI MATSUNAE, SAYOKO HARADA",1446.7651139467764
"ERIN BERRY, INGRID MERRY",1450.022332516144
"HE XIAN, YU XUEBIN",1450.62808009554
"HANNAH MILLS, ALAIN SIGN",1450.657914832848
"JESKE KISTERS, JOSCA HUMMEL",1450.7785590406043
"ENIA NINCEVIC, MARINA DUJMOVIC",1451.0254261722828
"ANASTASIA VORONKOVA, OLGA KNIPOVICH",1451.916000208257
"DEBBIE CAPOZZI, MAGGIE SHEA",1452.37039905461
"VICTORIA LIKSANOVA, DIANA SABIROVA",1452.772431660103
"EKTA YADAV, SHAILA CHARLES",1452.909278172185
"BRICE YRIEIX, ALBANE DUBOIS",1453.1512151479658
"JOSEFINE NOJGAARD, ESTHER BOJSEN-MOLLER",1454.073605620312
"ALICE MOSS, EBBA BERNTSSON",1454.120393266859
"ARIELLE MORGAN, HEATHER MYATT",1454.36839492131
"LILY RICHARDSON, MATILDA RICHARDSON",1454.7429489024898
"LINOR BEREZIN, MAX WOOD",1454.780069367899
"ANASTASIA SHCHEGLOVA, LIUDMILA DMITRIEVA",1454.824133493008
"VARSHA GAUTHAM, AISHWARYA CHEZHIYAN",1455.1820054449124
"SHASHA CHEN, NANA HU",1455.2102923940602
"YINGQIAN WANG, XIAOYA SU",1455.297227208898
"VERA TER HORST, JORIEN HIN",1455.3539975284402
"ANNE SCHWARZ, MARTINA SCHWARZ",1455.3744913581036
"KATE MACGREGOR, KIRSTIE URWIN",1455.4128441977318
"ANN KRISTIN WEDEMEYER, LEONIE MEYER",1455.4753244532476
"ZOYA NOVIKOVA, DIANA SABIROVA",1455.847158265364
"GUO FAN, ZHOU YAN",1456.082666874924
"JOSEFINE NOJGAARD , ESTHER BOJSEN-MOLLER",1456.6623732952376
"FENJA VALENTIEN, BERIT BELLIN",1456.6988167539619
"MAYUMI ROLLER, KAYLA MCCOMB",1456.8414803786784
"LAURA SCHOFEGGER, ANNA BOUSTANI",1456.983143189483
"RINKO GOTO, MANASE ICHIHASHI",1457.0781354594747
"EKTA YADAV, AISHWARYA CHEZHIYAN",1457.281781738405
"ERI FUKASAWA, NORIKO OKUMA",1457.45473271764
"MARTINA CASTAGNA, LUCIA MIANI",1457.5405037721998
"GIULIETTA LANG, STERRE VAN WEGEN",1457.600091759633
"CLAUDIA SOBRAL LUSQUINOS, CARLOTA GARCIA FERNANDEZ",1458.1402837309306
"YANG YIN, SHI SHIQING",1458.1660002082574
"ELEANOR KEERS, FAYE CHATTERTON",1458.177837065508
"SARAH ROECK, LEA TESSA EINBRODT",1458.3156678286919
"CARLOTA HERNANDEZ GARCIA, MARIA TERESA ALONSO GONZALEZ-SOLLA",1458.4422098752345
"GRISELDA KHNG, OLIVIA CHEN",1458.5042793937548
"TATE HOWELL, ADRIANNA BAIRD",1458.5130821299415
"MANASE ICHIHASHI, RINKO GOTO",1458.623157608963
"FEMKE VAN DEN BERG, EMMA SIEWERS",1458.7969332535565
"JULIA HENRIKSSON, KLARA JOHANSSON",1458.8378048959069
"KAMILLE VILSTRUP, EMMELIE REED RASMUSSEN",1459.0286631882045
"KATHARINA SCHWACHHOFER, ADRIANA BAIRD",1459.6031839811537
"MARINA GARAU, CARLOTA GARCIA",1459.7257029374741
"PAULA VAN WIERINGEN MASSANET, JORIEN JULIA HIN",1459.8069503975971
"EMILIE BOUCHET, JULIA OLLIVIER",1459.8397408476194
"JULIA GROSS, SARAH AYTON",1460.2940617270863
"EBBA BERNTSSON, KLARA UTTERSTROM",1460.5264113215435
"MAELLE FRASCARI, SVEVA CARRARO",1460.5839419226886
"MARGHERITA PORRO, SVEVA CARRARO",1461.4271303192195
"SOPHIE MOSEGAARD, FIONA SCHARER",1461.6988167539619
"DOMINIKA VADUROVA, SIMONA BOROSOVA",1461.7958229211358
"BELEN TAVELLA, TRINIDAD SILVA",1462.0001872630946
"HAYLEE OUTTERIDGE, NINA CURTIS",1462.1360300384736
