,Rating
"PAVLOS KAGIALIS, IOANNIS ORFANOS",1413.494610188422
"VICTOR SILEN, CHRISTOFFER SILEN",1427.3721897095309
"KYOUNGDUK KIM, SANGWOO BAE",1438.1235435405683
"DON WHITCRAFT, DYLAN WHITCRAFT",1438.8935283311264
"MAX HAENSSLER, FRED HAENSSLER",1440.701891764431
"HUGO FEDRIGUCCI, VIRGIL AUBRIOT",1445.6944863017538
"THOMAS STAPLES, WILLIAM STAPLES",1445.9741999572432
"MARK HASSETT, OISIN O'DRISCOLL",1447.6706734239754
"PHILIPP ROYLA, TOM HEINRICH",1447.7544272293278
"GANAPATHY KELAPANDA, VARUN THAKKAR",1449.3687046477323
"SEAN DONNELLY, TADGH DONNELLY",1454.3762619360043
"MUSAB AL HADI, WALEED AL KINDI",1454.387132889284
"NILS CARSTENSEN, JAN FRIGGE",1454.5076034569856
"MARTIN WIZNER, JAIME WIZNER",1455.4491013992179
"LEVI SLAP, MAX SLAP",1455.5063498158245
"REED LORIMER, CASEY CABOT",1455.658444332965
"ANDER BELAUSTEGUIGOITIA, DANEL BELAUSTEGUIGOITIA",1456.4851055884737
"LOUIS CHAMBET, ENZO LOBRY",1456.7730963604506
"MORITZ DORAU, RIKO ROCKENBAUCH",1456.9687962395276
"KJELL HASCHEN, IVEN ANTON FROMM",1457.2195061177463
"DYLAN JONES, JONATHAN KELLY",1457.4032129460654
"MARTIN MIKKOLA, MARKUS IHAMUOTILA",1457.831252974523
"JAMES OLSSON, HENRIK ERIKSSON",1457.970026689034
"RYAN LITTLECHILD, JACK HILDEBRAND",1458.2540454372183
"SAMUEL CURTIS, BENJAMIN CLEGG",1460.055686388934
"EDOARDO CAMPOLI, LORENZO CIANCHI",1460.2809411901355
"PEDRO COSTA, JOAO BOLINA",1461.2037284022601
"YAM WIRTHEIM, MAOR ABU",1461.8490379036068
"KLAES MEIER-ANDERSEN, CARL EMIL BAAD NIELSEN",1462.6328931069456
"PRINCE NOBLE, MANU FRANCIS",1462.9436671568458
"AHMED AL HASANI, ABDULRAHMAN AL MASHARI",1463.2789440987858
"RODOLFO PIRES, GONCALO PIRES",1463.6782963675394
"AKIRA SAKAI, RUSSELL AYLSWORTH",1464.9770923024666
"NICLAS LEHMANN, NIKLAS HABERL",1465.0078200637424
"KENNISH MALO, MARTIN ANATOLE",1465.5168389667415
"PABLO GARCIA PORTELA, MARCOS FERNANDEZ FUERTES",1465.7849983825101
"JUUSO ROIHU, HENRI ROIHU",1466.2877331606871
"JAN MARCINIAK, ROBERT JAROCKI",1466.4255089571402
"BRIJRAJ VERMA, PANKAJ KUMAR",1467.5042523642496
"JENS-CHRISTIAN DEHN-TOFTEHOJ, MADS FUGLBJERG",1467.586942420168
"MAXIMILIAN STINGELE, LUKAS SCHAPER",1467.6271721874384
"PANAGIOTIS KAMBOURIDIS, STYLIANOS NOUTSOS",1467.8325668525772
"CASEY LAW, JACK DINGEMANS",1467.9973697630217
"JOONOH JIN, MINGYU JEONG",1468.0776886571643
"MUSAB AL HADI, YANN ROCHERIEUX",1468.2260505484296
"HUW EDWARDS, ROWAN EDWARDS",1468.254375063797
"TOMMASO CIAGLIA, STEFANO DEZULIAN",1468.2850885434168
"ANAND THAKUR, SATYAM RANGAD",1468.2933549340858
"CHRISTOPHER WILLIFORD, DUNCAN WILLIFORD",1468.4254548501917
"JAKOB PORTHUN, MALTE JACOBS",1468.9277384273832
"FREDRIK BERGSTROM, AXEL MUNKBY",1469.0943250011921
"PETROS KONSTANTINIDIS, VAGELIS DOLIANITIS",1469.224880680719
"CARL EMIL SLOTH, SIMON CHRISTOFFERSEN",1469.37432336627
"VALENTIN MULLER, MORITZ FIEBIG",1470.3530135894603
"RYAN WOOD, ANDREW WOOD",1470.6085978521369
"RICARDO ALVES, TIAGO ALVES",1471.0163796566253
