,Rating
CYRILL KNECHT,1393.2548028623444
CVINAR ALEC,1400.291524848816
MALCOLM BENN SMITH,1413.784907732131
CLEMENS KUEBBER,1415.7123551530867
MARTIN ARUJA,1418.6425776967287
JOSHUA HIGGINS,1423.71259274887
JUAN IGNACIO PEREZ,1424.0259374065838
JUSTIN NORTON,1425.580817752552
STEPAN NOVOTNY,1427.1158124813633
PRIKRYL BENJAMIN,1427.1655902339915
JANAHI ABDULLA,1427.933763991763
VALERIO CASSANMAGNAGO,1428.5471884020694
JANULIONIS RADVILAS,1432.8796526014712
JEREMY MOUTOUT,1434.63844325827
NORMAN STRUTHERS,1434.8691467067342
KOOSER BO AARON,1438.1291705839556
JAKUB HALOUZKA,1440.4486963310048
JIRI HALOUZKA,1441.9861062840525
FLORES MARTIN GUILLERMO,1442.0472853600154
ANDREAS KRABBE-CHRISTENSEN,1442.8053544376658
DUTTA UPAMANYU,1443.823929001749
AO HIGUCHI,1444.7998192115313
GERARDO BENITEZ,1444.9158366235015
VEJAS STRELCIUNAS,1444.979835873214
JOSE BARCELO SOTERAS,1446.6982799062655
KUSS LENNART,1447.020208653845
GOROSTEGUI VICTOR,1447.1604994846016
JUAN ANDREU,1447.7907609817823
ANDEL MICHAL,1448.3202654849108
PARRY PHILIP MARCUS,1448.3443500702074
DANIEL SELF,1449.244679475374
DINC MEHMET DURAN,1450.0234354027564
JAKOB LEJBOLLE,1450.6662803101087
JACK HOPKINS,1450.9081479384515
FONT REYERO POL,1450.9597024506772
SHUSUKE TAKEUCHI,1451.1622453031684
GONZALVEZ FONS JORGE,1451.7014111042836
FREDRIK WESTMAN,1452.1186406619486
PAUL KRONEGGER,1453.2519267235846
FORREST WACHHOLZ,1453.447549613578
BANJAC NIKOLA,1453.933245442485
LUKE DEEGAN,1454.4733996731982
PAUL VERON,1454.6825052754054
ARTHUR BAUDET,1454.9366607448978
MARIOS KARADIMAS,1455.8005684364039
EDOARDO LIBRI,1455.977087493402
MATEO MALDONADO,1456.0733295599773
FLOWER BENJAMIN-TIMOTHY,1456.1540344483553
CAMERON PIMENTEL,1456.589091427055
OREL LIAM,1456.6634595305388
GABRIEL SANZ-AGERO,1456.6675109588439
IGOR LES,1457.2618697262885
RICARDO SEGUEL LACAMARA,1457.537519719259
BRUCE LIAM,1458.3046403754738
VAN ROOMEN TIMO,1458.789180219506
MARIO PLOMER QUIROGA,1459.1916602053627
LEE WONN KYE,1460.144950784841
KITAMURA YUICHIRO,1460.3589262011349
FREDERIKSEN KENNETH,1460.5656526178861
BADAWY ALY,1461.3367141735732
ANDRES LAGE,1461.3594904922472
DIEGO PELETEIRO HERRERO,1461.630292180374
GEORG PHILIP BUNK LAURITSEN,1462.0849606175027
CHRISTOPHER MARSH,1462.2600435207064
ADAM OZ,1462.655179218541
PATRIK MELIS,1463.5993802906557
SAINI MOHIT,1464.0930137635312
CIRO BASILE,1464.1245538688243
ANDRES CLOOS,1465.0318060812458
ARFAN LORANDEL BOUHAMED,1465.25095472683
