,Rating
"JAMES PETERS, FYNN STERRITT",1.6861321916075855e-13
"ANDRES BARRIO GARCIA, FRAN NUNEZ TORRES",7.434303976618182e-09
"ARRAN HOLMAN, JOSE MANUEL RUIZ IBANEZ",7.434303976618182e-09
"DOUGLAS LEUNG, AUGUSTIN CLOT",1.2357980553184298e-08
"CASEY LAW, JACK DINGEMANS",1.2357980553184298e-08
"VICTOR SILEN, OLIVER SILEN",2.5579771065478805e-08
"YI NIAN KOH, RIJI WONG",2.5579771065478805e-08
"STYLIANOS SOTIRIOU, DIMITRIOS BENAKIS",2.9209594785079238e-08
"CHARLIE HIBBEN, NICOLAS MULLER",3.792979864173991e-08
"MARTIN MIKKOLA, MARKUS IHAMUOTILA",2.9282278450426937e-06
"MARCEL MARCINIAK, PATRYK ROZAK",2.9282278450426937e-06
"NAEL GWENDAL, GAUTIER GUEVEL",3.4955455578859603e-06
"TERUAKI SHIMAKURA, MINAKI ENDO",3.4955455578859603e-06
"CAILEN ROCHFORD, SAM BACON",3.6867547608339605e-06
"SHINTARO KAMISONODA, TERUAKI SHIMAKURA",3.6867547608339605e-06
"EMIL KJAER, CARL LAURITS SCHOUW NIELSEN",3.888757241211119e-06
"MERIK REGNAULT, ARISTIDE GASQUET",3.888757241211119e-06
"CORNE JANSSEN, WIEBRAND DE VOS",4.471139875750265e-06
"LEON SEVERENS, LUKAS HESSE",4.471139875750265e-06
"TYTUS BUTOWSKI, BORYS PODUMIS",7.926518313086954e-05
"GUSTAVO ABDULKLECH, NICOLAS BERNAL",7.926518313086954e-05
"CONRAD KONITZER, ANTONIO TORRADO MARTINEZ",7.975966546722225e-05
"HONG WEI, LV HONGMING",7.975966546722225e-05
"ELLIOTT WELLS BILLY, VENNIS-OZANNE",7.989607487000418e-05
ANDY MARTINSKIFF CHICK TAM,9.249992202221023e-05
LIVIA NAEFMIRJAM ABEGGLEN,9.249992202221023e-05
TOBIAS SPRANGERFELIX MEGGENDORFER,9.306994129747014e-05
"KJELL HASCHEN, IVEN FROMM",9.306994129747014e-05
"DING MINGLIANG, ZHANG WENWEI",0.00010747899128007767
"SHINGEN FURUYA, AKIRA TAKAYANAGI",0.00011063724232250201
"ARIE MOFFAT, HUNTER HOY",0.00011063724232250201
"CORENTIN GOULON, TIMOTHEE DEPERY",0.00011581745278078569
"CAMPBELL STANTON, WILL SHAPLAND",0.00011581745278078569
"SAKAI AKIRA, AYLSWORTH RUSSELL",0.0002505549899084062
"JAN PERNARCIC, GIOVANNI SANDRINI",0.0002507981109878067
"MALTHE EBDRUP, CLEMENT AASHOLM-BRADLEY",0.0002507981109878067
"DUNCAN GREGOR, FREDDIE LONSDALE",0.0002565555368988144
"TERUAKI SHIMAKURA, KAMISONODA SHINTARO SEIJI",0.0002565555368988144
"MALO KENNISH, ANATOLE MARTIN",0.00025974950371151324
"THEO REVIL, YANN JAUVIN",0.00025974950371151324
"MATEUSZ GWOZDZ, LUKASZ MACHOWSKI",0.00026012644225787795
"WEN ZAIDING, LIU TIAN",0.000268989734255993
"YANNICK LEFEBVRE, YOUENN BERTIN",0.000268989734255993
"MINGLIANG DING, WENWEI ZHANG",0.00044076668683358
"HAYDEN BROWN, MACKENZIE BIRD",0.00046754469047061706
"NIKITA USHKOV, KIRILL BOBOSHKO",0.00046754469047061706
"ANDRES BARRIO, ANTONIO TORRADO MARTINEZ",0.00046873971839611915
"JOEL TURNER, LEWIS BRAKE",0.00046873971839611915
"BENJAMIN GREZ AHRENS, EXEQUIEL GREZ AHRENS",0.00046931215686575785
"STYLIANOS SOTIRIOU, ALFONSO PANAGIOTIDIS",0.00046931215686575785
"LUCAS RUAL, EMILE AMOROS",0.00047165011232308096
"MAX STINGELE, LINOV SCHEEL",0.00047165011232308096
ALEXANDER HUBERDANIEL WIMMER,0.0004951474519961401
BENEDIKT NAGELJOHANNA BEICHL,0.0004951726967718707
"ANDRE REGUERO, ANDRE GUARAGNA",0.0004982782350867128
"GUSTAV AASHOLM-BRADLEY, FREDERIK RAGAN MELBYE",0.0004982782350867128
"TOM BURTON, MAX PAUL",0.0005237511589336339
"HANS HENKEN, IAN BARROWS",0.0005237511589336339
CARL EMIL SLOTHSIMON CHRISTOFFERSEN,0.0005486129571569192
FABIAN SCHREINERLAURA SCHREINER,0.0005492521346341125
"IAN BARROWS, HANS HENKEN",0.0005562460986553945
"HERNAN UMPIERRE, FERNANDO DIZ",0.0005562460986553945
"DAVID GILMOUR, LEWIS BRAKE",0.00055865662828708
"ZAIDING WEN, TIAN LIU",0.00055865662828708
"JAKOB MEGGENDORFER, ANDREAS SPRANGER",0.0005770414918847891
"JONAS WARRER, CHRISTIAN PETER STEPHENSEN LUBECK",0.0006134300106128345
"JIM COLLEY, SHAUN CONNOR",0.0006134300106128345
PABLO RUEGGELINUS ABICHT,0.0006490447829678907
"WILL PHILLIPS, SAM PHILLIPS",0.000658065204733352
"RYAN WOOD, ANDREW WOOD",0.0006771554753058229
"NOAH LYONS, JOHN MICHEL",0.0006771554753058229
"UBERTO CRIVELLI VISCONTI, GIANMARCO TOGNI",0.0006893334279809279
"BART LAMBRIEX, PIM VAN VUGT",0.0006893334279809279
"LORENZO PEZZILLI, TOBIA TORRONI",0.0006993802692303514
SARAH ROECKJULIAN GABRIEL,0.0007763495903443803
MICKEY MARTINARNE BOHM,0.0007763495903443803
MISCHA VON RUTI,0.000777680437014811
NICKLAS HOJEGAARDVICTOR LOMHOLT,0.0007922246991682849
BERTRAM RADICHJONATHAN WEIMANN,0.0007922246991682849
"JOHN FERGUSON, ARTHUR FERGUSON",0.0008535829128380484
"MASCIA GIANMARCO, CORDINI PIETRO",0.0008535829128380484
MALTHE EBDRUPCLEMENT AASHOLM-BRADLEY,0.0009230952178909472
LOKE IDRISS KISELAURITZ SCHMIDT,0.0009230952178909472
"OLIVER MANTON, BILLY GOODFELLOW",0.0009388296212727461
"JOHN PINK, STUART BITHELL",0.0009388296212727461
KRISTIAN PRAESTMARCUS LANGAGERGAARD,0.0009729882608637249
DANIEL NYBORGNIKOLAJ HOFFMANN BUHL,0.0009729882608637249
"ERIK HEIL, THOMAS PLOESSEL",0.0009738399813775901
"KEVIN FISCHER, NOE DELPECH",0.001096263388181575
"UBERTO CRIVELLI VISCONTI, N/A",0.001096263388181575
"NICO DELLE - KARTH, NIKOLAUS RESCH",0.001129486829801684
"BENJAMIN BILDSTEIN, DAVID HUSSL",0.001129486829801684
"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",0.0011585063251531758
"LUKASZ PRZYBYTEK, JACEK PIASECKI",0.0011585063251531758
"DANE WILSON, SCOTT EWING",0.0012117921089602102
"MAXIMILIANO AGNESE, NEVIN SNOW",0.0012117921089602102
"DYLAN JONES, EDWARD COLEMAN",0.0014685206135303752
"UBERTO CRIVELLI VISCONTI, LEONARDO CHISTE",0.0014685206135303752
"MARCO ANESSI PE', FRANCESCO PIETRO TIRA",0.0014940922362280474
"TOM WALKER, MAX SWEENY-TODD",0.0014940922362280474
"DYLAN FLETCHER, STUART BITHELL",0.0016222203011262452
"CLEMENT PEQUIN, ERWAN FISCHER",0.0016222203011262452
"JOSE PEDRO CHIFFLET, FEDERICO RADOVITZKY",0.0017181848055197457
"DAVE EVANS, ED POWYS",0.0017181848055197457
"LUCA DUBBINI, ROBERTO DUBBINI",0.0017272500570305908
"VILLE KORHONEN, EDVARD BREMER",0.0017272500570305908
"JOSHUA RICHNER, NILO SCHARER",0.0017713920333705618
MISCHA VON RUTIMIRJAM ABEGGLEN,0.0017863026317463356
STEFAN SCHNEIDMADELLUKAS MEIER,0.0017863026317463356
"DANTE BIANCHI, THOMAS LOW-BEER",0.0018580538141447604
"MIKOLAJ STANIUL, JAKUB SZTORCH",0.0018580538141447604
"FEDERICO ALONSO TELLECHEA, ARTURO ALONSO TELLECHEA",0.0018601964878119384
"JOSH POREBSKI, TRENT RIPPEY",0.0018601964878119384
TIM WITTICHYANIK SCHMID,0.0018978905871182357
"MARCO GRAEL, GABRIEL BORGES",0.002054812417485275
"JONAS WARRER, MARCUS LANGAGERGAARD",0.002054812417485275
"ROBERT SCHEIDT, GABRIEL BORGES",0.0020684451842386525
"MAXIME BACHELIN, ARNO DE PLANTA",0.0020684451842386525
"KEVIN FISCHER, YANN JAUVIN",0.0021998083129647523
"UBERTO CRIVELLI VISCONTI, GIULIO CALABRO",0.0021998083129647523
"XIANG JIAN, LI DIANJI",0.0022674706256573516
"NARENDRA SINGH, SAKTHIVEL SEKAR",0.002351761015261559
"CARLOS PAZ BLANCO, ANTON PAZ",0.0023581822017897346
"JAMES PETERS, RHOS HAWES",0.0023581822017897346
NICOLAS KUTTERJOHANNES VOIGT,0.0026657827236152938
"DIEGO BOTIN, FLORIAN TRITTEL PAUL",0.0026931291114603915
"RYAN SEATON, MATT MCGOVERN",0.0026931291114603915
"ALEXANDER HEINZEMANN, JUSTIN BARNES",0.002816378542301919
"JUUSO ROIHU, HENRI ROIHU",0.002816378542301919
"TOMASZ JANUSZEWSKI, JACEK NOWAK",0.002903715279949785
"JONAS WARRER, JAKOB PRECHT JENSEN",0.002903715279949785
"NIL MAS I ROMERO, SANTIAGO ALEGRE",0.0029053067848769367
"JASPER STEFFENS, TOM LENNART BRAUCKMANN",0.0029053067848769367
"CORENTIN GOULON, YOUENN BERTIN",0.0029375594578151545
"SANTIAGO SILVEIRA, PHILIPP UMPIERRE",0.0029375594578151545
"CHRISTIAAN GRIFFEJOEN, THOMAS SNOEK",0.0029652813789224023
"LENNART KUSS, LUCA LEIDHOLDT",0.0029652813789224023
"HONG WEI, ZHANG TAO",0.0029934549240890184
"CRAIG KEENAN, GAVIN NINNES",0.0029934549240890184
"GIUSEPPE ANGILELLA, PIETRO ZUCCHETTI",0.003161758679717089
"MATTEO BARISON, NICOLA TORCHIO",0.003161758679717089
"JOAKIM SALSKOV-IVERSEN, MARCUS BAY",0.0031928329482321894
"STEVEN HARDEE, TAYLOR HASSON",0.0031928329482321894
"DOMINIK BUKSAK, SZYMON WIERZBICKI",0.0032014614109262527
"PAVEL KALINCHEV, PAVEL KARACHOV",0.0032705775606362178
"LOGAN DUNNING BECK, JACK SIMPSON",0.0032705775606362178
