,Rating
"WANG YINGQIAN, XIAOYA SU",6.47438039694135e-16
"DEWI COUVERT, SHANNEN MARCK",0.004586537140778295
"JULIA HENRIKSSON, KLARA JOHANSSON",0.004586537140778295
"ANNA YAMAZAKI, N/A",0.005332862187954104
"ISABELLE FELLOWS, ALICE MASTERMAN",0.005332862187954104
"JOHANNE SCHMIDT, ANDREA SCHMIDT",0.0053656139002558195
"JULIA GROSS, HANNA KLINGA",0.0053656139002558195
"KAMONCHANOK KLAHAN, NICHAPA WAIWAI",0.005601270667456473
"DOMINIKA VADUROVA, SARA TKADLECOVA",0.006050499275221355
"WILLEMIJN OFFERMAN, CECILE JANMAAT",0.006050499275221355
"HELEN PAIS, HELEN AUSMAN",0.006102062374277337
"SAKI MATSUNAE, SAYOKO HARADA",0.006102062374277337
"ENIA NINCEVIC, MARINA DUJMOVIC",0.006282426225363977
"JULIA GROSS, CECILE JANMAAT",0.006282426225363977
"VILMA BOBECK, EBBA BERNTSSON",0.006926847106343803
"SOPHIE STEINLEIN, MARIE THUSGAARD",0.006926847106343803
"TIMMA FLANAGAN, JEAN-MATTHIEU BOLLAND",0.007150411192470884
"ODILE VAN AANHOLT, NICOLE VAN DER VELDEN",0.007150411192470884
"VICTORIA SCHULTHEIS, ANTONIA SCHULTHEIS",0.007344121939691235
"MARU SCHEEL, FREYA FEILCKE",0.007421761961033793
"HU XIAOYU, SHAN MENGYUAN",0.007421761961033793
"MADDALENA DI SALVO, WINGCHI SANDY CHOI",0.007533567627465305
"PAULA SCHUTZE, LILLE JONAS",0.007533567627465305
"PAULA VAN WIERINGEN MASSANET, JORIEN JULIA HIN",0.007567780553230962
"JASMIN MAY GALBRAITH, CHLOE FISHER",0.007567780553230962
"ARIANNA GARISTO, VIRGINIA GARISTO",0.007569592979322111
"FLORINE BRAMERVAER, EMMA SIEWERS",0.007569592979322111
"GUO FAN, ZHOU YAN",0.00860133429983706
"ALICIA FRAS SAMSON, ELENA BARRIO GARCIA",0.008700788959990198
"HARSHITA TOMAR, SWETA SHERVEGAR",0.008700788959990198
"COURTNEY REYNOLDS-SMITH, BRIANNA REYNOLDS-SMITH",0.008730081952737887
"KATE MACGREGOR, KIRSTIE URWIN",0.008730081952737887
"EMMA MEILHAT, CHLOE SALOU",0.009555637892593134
"AUDREY STAPLES, MARION LAFRANCE-BERGER",0.009555637892593134
"HANNAH MILLS, ALAIN SIGN",0.009929134651431236
"MATHILDE LOVADINA, LEA PERNET",0.009929134651431236
"CATHERINE BARTELHEIMER, DANIELA BARTELHEIMER",0.010622043923688944
"KATE MACGREGOR, STEPHANIE ORTON",0.010622043923688944
"JULE GORGE, LOTTA GORGE",0.010803995531516829
"CECILE JANMAAT, SHANNEN MAXIME MARCK",0.010803995531516829
"TESS LLOYD, JAIME RYAN",0.010892765757013924
"SINEM KURTBAY, SILJA KANERVA",0.010892765757013924
"MAYUMI ROLLER, KAYLA MCCOMB",0.010940953646759581
"ANASTASIA GUSEVA, IANA STOKOLESOVA",0.010940953646759581
"ELISE DE RUIJTER, QUINTEN BRAMERVAER",0.011142097557580024
"ELEANOR KEERS, FAYE CHATTERTON",0.011142097557580024
"OTTAVIA MARIA RAGGIO, PAOLA BERGAMASCHI",0.01156856857179498
"HELENA SCUTT, PARIS HENKEN",0.01156856857179498
"ANNA LUSCHAN, JOHANNA DAUM",0.011686168688148072
"RONJA GRONBLOM, SARA EHRNROOTH",0.011686168688148072
"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",0.011949495429636366
"CHARLOTTE DOBSON, SASKIA TIDEY",0.011949495429636366
"PATRICIA SUAREZ, MARIA TERESA ALONSO",0.012101160374955627
"MADELEINE ZIELINSKA, NADIA ZIELINSKA",0.012101160374955627
"NINA KEIJZER, CLAIRE BLOM",0.012423343369941725
"ALEKSANDRA MELZACKA, KINGA LOBODA",0.012423343369941725
"DIANA TUDELA BALLON, ADRIANA BARRON VELAOCHAGA",0.013143429015418111
"KATHARINA SCHWACHHOFER, ELENA STOLTZE",0.013143429015418111
"ZOYA NOVIKOVA, DIANA SABIROVA",0.013449724222678348
"FENJA VALENTIEN, BERIT BELLIN",0.013449724222678348
"LAURA HARDING, LAURA THOMSON",0.01350837127744288
"HE XIAN, YU XUEBIN",0.01350837127744288
"PARIS HENKEN, ANNA TOBIAS",0.013509880841827325
"SAAR TAMIR, NOYA BAR AM",0.013926142549164716
"SVEA KARSENBARG, ELISE DE RUIJTER",0.013926142549164716
"ELEANOR KEERS, SOPHIE AINSWORTH",0.014613854196103495
"XIAOYU HU, XUEBIN YU",0.014613854196103495
"CZAPSKA GABRIELA, RAJCHERT HANNA /",0.01500514475910498
"ERIN BERRY, INGRID MERRY",0.01500514475910498
"ODILE VAN AANHOLT, PHILIPINE VAN AANHOLT",0.015321518138799452
"MADELEINE MCLEAY, NATASHA BRYANT",0.015321518138799452
"VICTORIA PAYNE, ALICE MASTERMAN",0.015342727733790133
"ELEANOR KEERS, JESSICA JOBSON",0.015342727733790133
"TINA LUTZ, SUSANN BEUCKE",0.015967440214834802
"STEPHANIE ROBLE, MAGGIE SHEA",0.015967440214834802
"VICTORIA LIKSANOVA, DIANA SABIROVA",0.01609258760842374
"MARIA PASQUALI COLUZZI, GIORGIA BERTUZZI",0.016104215236266522
"CHLOE FISHER, ELEANOR GRIMSHAW",0.016104215236266522
"CRYSTAL SUN, OLIVIA HOBBS",0.016115844125196722
"QUINLAN WILSON, ROMAIN SCREVE",0.01653909450040514
"CHARLOTTE DOBSON, SOPHIE AINSWORTH",0.01653909450040514
"ALLISON SURRETTE, MAX FLINN",0.01665756027106359
"ELENA CHRISTINE STOFFERS, LEONIE MEYER",0.01665756027106359
"ODILE VAN AANHOLT, MARIEKE JONGENS",0.016684900182392375
"KIMBERLY LIM, CECILIA LOW",0.016684900182392375
"SIRRE KRONLOF, SELMA VALJUS",0.01697736597569341
"HELENA WOLFF, LAURA ZEEBERG",0.01697736597569341
"REBEKKA JOHANNESEN, SILJE CERUP-SIMONSEN",0.017668490865051383
"MIHAELA ZJENA DE MICHELI VITTURI, MARIJA ANDELA DE MICHELI VITTURI",0.017668490865051383
"ALICIA FRAS ELENA, BARRIO GARCIA",0.017868456179157024
"TINA LUTZ, LOTTA WIEMERS",0.018270487983941455
"SHASHA CHEN, NANA HU",0.018270487983941455
"FREYA BLACK, SASKIA TIDEY",0.018917316137382803
"PATRICIA SUAREZ, MARIA CANTERO",0.018917316137382803
"MARIANNE DE VREESE, SHANA WITTOCK",0.018964811769863414
"MARTINA CASTAGNA, LUCIA MIANI",0.018964811769863414
"MAELLE FRASCARI, SVEVA CARRARO",0.019257736336226548
"ERIN MC ILWAINE, ELLIE CUNNANE",0.019432254853402567
"KATHARINA SCHWACHHOFER, ADRIANA BAIRD",0.019432254853402567
"ANASTASIIA SHCHEGLOVA, MARGARITA KAMAEVA",0.019803229155375985
"CHLOE FISHER, LAURA THOMSON",0.019803229155375985
"TESS LLOYD, CAITLIN ELKS",0.019894558179113585
"ALBANE DUBOIS, LILI SEBESI",0.019894558179113585
"SAKI MATSUNAE, ERI HATAYAMA",0.019913272710294735
"SARAH STEYAERT, CHARLINE PICON",0.02017082214016094
"SOFIA GIUNCHIGLIA, GIULIA SCHIO",0.02017082214016094
"ANN KRISTIN WEDEMEYER, LEONIE MEYER",0.020293235263168303
"SVEA KARSENBARG, CECILE JANMAAT",0.020293235263168303
"AURA MIQUEL MOLONS, NURIA MIRO",0.020294550718963977
"GABRIELA CZAPSKA, HANNA RAJCHERT",0.020294550718963977
"GEORGIA LEWIN-LAFRANCE, ANTONIA LEWIN-LAFRANCE",0.020441262432522294
"MARLA BERGMANN, HANNA WILLE",0.020441262432522294
"SILVIA SICOURI, MARIA VITTORIA MARCHESINI",0.020519213504338486
"GWENDAL LAMAY, KIM HOLSTE",0.020519213504338486
"CECILIA JONSSON, JULIA GROSS",0.02074326005492298
"CHIKA HATAE, HIROKA ITAKURA",0.02074326005492298
"PATRICIA SUAREZ, NICOLE VAN DER VELDEN",0.02075462260910888
"KATRINE BENDIX KROGH, LINE JUST EMSVANG",0.02075462260910888
"HUIJIA YU, YE JIN",0.02120731668324034
"KATE SHANER, KATHLEEN LOVE",0.02120731668324034
"NADINE BOEHM, LENA WEISSKICHEL",0.021488666975979304
"JOSEFINE NOJGAARD, ESTHER BOJSEN-MOLLER",0.021488666975979304
"MARIJA ANDELA DE MICHELI-VITTURI, MIHAELA ZJENA DE MICHELI-VITTURI",0.02174629838712072
