,Rating
RODRIGO LUZ,1.2046942335549424e-08
EVE MCMAHON,1.2046942335549424e-08
NICK GRAEL,1.5653182074749933e-08
CHLOE MARTIN,1.5653182074749933e-08
MAYA PILNIK,1.599070887573928e-08
FACUNDO MAC GOWAN,4.0352575813182464e-08
ISADORA DAL RI,4.0352575813182464e-08
VERSTRAELEN ELINE,6.01849588545229e-08
ANTONIO ABREU CUNHA BONITO,6.01849588545229e-08
MARLENA BERZINS,6.991592326621957e-08
MARIA JOSE PONCELL,1.098580534705534e-07
EDY BRANZ,1.1007581797331129e-07
FELIPE ALVES TELES REVOREDO LIMA,1.5168916212899018e-07
ISABELLA MAEGLI AGUERO,1.5168916212899018e-07
FAKIDI ATHANASIA,1.5541606605752674e-07
ANA MONCADA SANCHEZ,1.5541606605752674e-07
SANTIAGO GUINAND,1.637906842745276e-07
ERICA PARTANEN,2.004476495062024e-07
MOHAMAD LATIF NUR ALIA AMERA,2.004476495062024e-07
MOLLY SACKER,2.0591394587445046e-07
LAURA SCHEWE,2.0591394587445046e-07
KYM AHRENS,2.1923353222383887e-07
MAGDALENA KWASNA,2.803915068576782e-07
BOWSKILL BRENDA,2.803915068576782e-07
ISABEL HERNANDEZ PENA,2.988744622428208e-07
HANNA KOBA,2.988744622428208e-07
AUGUSTO MOREIRA,3.787342989129369e-07
TOMAS BODETTO,3.8537568626806046e-07
GRAVELY CLARA,3.8537568626806046e-07
FRITZ BOHLKE,3.925007436081132e-07
KIM PLETIKOS,3.9861313378368195e-07
PIA KUHLMANN,3.9861313378368195e-07
MARIA ASHIDA,4.5454715162898665e-07
MARTHE ENGER EIDE,4.5454715162898665e-07
OETLING RAMIREZ ELENA,5.465466359782251e-07
JULIA CARREIRAO,5.465466359782251e-07
TOMAS PAGLINI,5.813662165927038e-07
CORALIE VITTECOQ,5.813662165927038e-07
PHILIPINE VAN AANHOLT,7.277812090054155e-07
HUGHES HADDON,7.277812090054155e-07
IGNACIO FRIAS,8.148058209135516e-07
ALINA SHAPOVALOVA,8.148058209135516e-07
TOMAS IBARBOURE,8.345736257283299e-07
PROVELENGIOU AMALIA,8.345736257283299e-07
ALEXANDER DE BIE,1.189074255721323e-06
JOEP GOTTGENS,1.189074255721323e-06
TODOROVA YOANA,1.307892127576653e-06
HYEWON JUNG,1.3094043947943568e-06
JUAN BARTOLOME CHA VACCARI,1.3094043947943568e-06
VITOR BAHIA,1.3739327082603031e-06
MIN GU,1.3739327082603031e-06
ALESSIA PALANTI,1.555554047185795e-06
AGNESE CAIAFA,1.555554047185795e-06
ASHLEY STODDART,1.9251380043809825e-06
JULIAN MARIA DUARTE ARGERICH,1.9251380043809825e-06
ZOE THOMSON,1.9486827002612203e-06
HANNAH SNELLGROVE,1.9486827002612203e-06
LIN PLETIKOS,2.6019752861334134e-06
ISABEL BUSCH,2.6019752861334134e-06
FISCHER LINA KRISTIN,3.1433130061104285e-06
RODRIGUEZ MARTIN BARBARA,3.1433130061104285e-06
OHRNELL JENNIFER,3.810954956274262e-06
WANG YAJIE,3.810954956274262e-06
RADULIC MAILYS,4.191204096986613e-06
CORNELIUS BRACHT,4.457303984913962e-06
ANGELINA PUKROPSKI,4.457303984913962e-06
MOHDMAD LATIF NUR SHAZRIN,4.921710304563053e-06
SARA CARMO,4.921710304563053e-06
BOUCKAERT LAURA,5.1952099910918185e-06
LLAMAS VALLESPIR GEMMA,5.1952099910918185e-06
CARLOS PALOMBO,5.905771245715394e-06
RHEANNA PAVEY,5.905771245715394e-06
ANNA VASILIEVA,6.111538625124921e-06
MARINA ESCUDERO NEGRON,6.111538625124921e-06
BROOKE WILSON,7.24328920251909e-06
PERELLO MARGA,7.24328920251909e-06
SCHIMAK EVA-MARIA,7.77688610834495e-06
VALENCIC ALENKA,7.77688610834495e-06
SHAI KAKON,8.330736056955823e-06
ANA MONCADA,8.330736056955823e-06
FLORIDIA JOYCE,8.334236166180431e-06
IHAB MARIAM,8.367716939750546e-06
KALISOVA LENKA,8.367716939750546e-06
MATTHEW CHASSOT,8.481658299479577e-06
