,Rating
"MAX STINGELE, LINOV SCHEEL",8.120738710739297e-13
"ERWAN FISCHER, VIRGIL AUBRIOT",1.6168759151128163e-09
"JOSSE BONATZ, CARL-CHRISTIAN BARTH",2.2711728901889735e-09
"YI NIAN KOH, JEN-E TAN",2.2711728901889735e-09
"EDOARDO CAMPOLI, LORENZO CIANCHI",2.3084591651559633e-09
"MATTIAS COUTTS, HENRY HASLETT",2.3084591651559633e-09
"DYLAN JONES, JONATHAN KELLY",4.922691810519003e-09
"ALEXANDER BRORSSON, OSCAR ANDERSSON",4.922691810519003e-09
"SIMONE FERRARESE, VALERIO GALATI",1.4349787471928421e-08
"GWENDAL NAEL, PEQUIN CLEMENT",1.4349787471928421e-08
"SAKAI AKIRA, AYLSWORTH RUSSELL",4.9246218694221724e-05
"THEO REVIL, YANN JAUVIN",5.144819816677094e-05
"MALO KENNISH, ANATOLE MARTIN",5.144819816677094e-05
"YANNICK LEFEBVRE, YOUENN BERTIN",5.360871789945955e-05
"WEN ZAIDING, LIU TIAN",5.360871789945955e-05
"CHARLIE HIBBEN, NICOLAS MULLER",7.397906327856454e-05
"VICTOR SILEN, OLIVER SILEN",7.397906327856454e-05
"STYLIANOS SOTIRIOU, DIMITRIOS BENAKIS",7.59592936586546e-05
"CAILEN ROCHFORD, SAM BACON",7.616173538142012e-05
"SHINTARO KAMISONODA, TERUAKI SHIMAKURA",7.616173538142012e-05
"CARL EMIL SLOTH, ANDREAS HOFFMANN-PETERSEN",7.641858212542208e-05
"JOAKIM SALSKOV-IVERSEN, ANDERS JOHANSEN",7.641858212542208e-05
"MUSAB AL HADI, WALEED AL KINDI",7.912279855110348e-05
"DYLAN FLETCHER-SCOTT, RHOS HAWES",7.912279855110348e-05
"DANIIL USACHEV, LEONID PUSHEV",0.00019840990916538076
"JACK LEWIS, BILLY VENNIS-OZANNE",0.00019840990916538076
"YI NIAN KOH, RIJI WONG",0.00021700575458193596
"IAN BARROWS, HANS HENKEN",0.00023778715956412783
"HERNAN UMPIERRE, FERNANDO DIZ",0.00023778715956412783
"LUCAS RUAL, EMILE AMOROS",0.0002837036876609352
"ELLIOTT WELLS BILLY, VENNIS-OZANNE",0.0003724994238199563
"CAMPBELL STANTON, WILL SHAPLAND",0.0003764419576526984
"CORENTIN GOULON, TIMOTHEE DEPERY",0.0003764419576526984
"ARIE MOFFAT, HUNTER HOY",0.0003810009050479887
"GUSTAVO ABDULKLECH, NICOLAS BERNAL",0.0003810009050479887
PABLO RUEGGELINUS ABICHT,0.00040315925832296447
"JONAS WARRER, CHRISTIAN PETER STEPHENSEN LUBECK",0.0005494673261378291
"JIM COLLEY, SHAUN CONNOR",0.0005494673261378291
"KOSTIS KAZANTZIS, ANGELOS BOUMPOURAS",0.000585206094394035
"TELIS ATHANASOPOULOS YOGO, GEORGE TSOULFAS",0.000585206094394035
"WILL PHILLIPS, SAM PHILLIPS",0.0006808734225823899
TIM WITTICHYANIK SCHMID,0.000711498883364814
NICOLAS KUTTERJOHANNES VOIGT,0.000711498883364814
"DAVE EVANS, ED POWYS",0.0007338681758561464
"JOSE PEDRO CHIFFLET, FEDERICO RADOVITZKY",0.0007338681758561464
"NICLAS LEHMANN, NIKLAS HABERL",0.0007366087929088314
"DOLF HENDRIKSEN, JORN SWART",0.0007366087929088314
BERTRAM RADICHJONATHAN WEIMANN,0.0007727145531027423
MALTHE EBDRUPCLEMENT AASHOLM-BRADLEY,0.0007918374918300644
LOKE IDRISS KISELAURITZ SCHMIDT,0.0008507777884043888
"JUSTUS SCHMIDT, MAX BOEHME",0.0008922997549275139
"ANDREW MOLLERUS, IAN MACDIARMID",0.0008922997549275139
"DAVID GILMOUR, JOEL TURNER",0.0009228558658037684
"DON WHITCRAFT, DYLAN WHITCRAFT",0.0009228558658037684
CARL EMIL SLOTHSIMON CHRISTOFFERSEN,0.0009386115801921709
KRISTIAN PRAESTMARCUS LANGAGERGAARD,0.0009386115801921709
"SEBASTIEN SCHNEITER, LUCIEN CUJEAN",0.000953518695236153
GUSTAV AASHOLM BRADLEYFREDERIK RAGAN MELBYE,0.0009942667674652762
JENS-CHRISTIAN DEHN-TOFTEHOJMADS FUGLBJERG,0.0009942667674652762
STEFAN SCHNEIDMADELLUKAS MEIER,0.0010064936384211924
MISCHA VON RUTIMIRJAM ABEGGLEN,0.0010064936384211924
"CONRAD KONITZER, ANTONIO TORRADO MARTINEZ",0.0011096292462325073
"HONG WEI, LV HONGMING",0.0011146561269261724
"SHINGEN FURUYA, AKIRA TAKAYANAGI",0.0011146561269261724
"TYTUS BUTOWSKI, BORYS PODUMIS",0.001121664961524869
"DING MINGLIANG, ZHANG WENWEI",0.001121664961524869
NICKLAS HOJEGAARDVICTOR LOMHOLT,0.0011228178270904399
"LOGAN BECK, OSCAR GUNN",0.0011709438912917377
"BART LAMBRIEX, FLORIS VAN DE WERKEN",0.0011709438912917377
"LUKASZ PRZYBYTEK, JACEK PIASECKI",0.0011877333052025783
"LUKASZ PRZYBYTEK, PAWEL KOLODZINSKI",0.0011877333052025783
FABIAN SCHREINERLAURA SCHREINER,0.0012577573792625985
DANIEL NYBORGNIKOLAJ HOFFMANN BUHL,0.0012577573792625985
"ERIK HEIL, THOMAS PLOESSEL",0.0012584938467742693
