,Rating
"JOSEFINE NOJGAARD , ESTHER BOJSEN-MOLLER",9.097486486326592e-16
"SAKI MATSUNAE, YURI SAITO",0.0015631754751135002
"RUFINA TAN, CONNIE RIVERRA TSEN",0.0015631754751135002
"LISA MARIA RAUSCH, LILLE JONAS",0.002277464794936458
"TATE HOWELL, ADRIANNA BAIRD",0.002277464794936458
"MATHILDE LOVADINA, AUDE COMPAN",0.0042990985190835855
"SOPHIE WEGUELIN, ANNA BURNET",0.0042990985190835855
"CRYSTAL SUN, OLIVIA HOBBS",0.004379789069633511
"HE XIAN, YU XUEBIN",0.004379789069633511
"SOPHIE MOSEGAARD, FIONA SCHARER",0.0049938055989340166
"BRICE YRIEIX, ALBANE DUBOIS",0.0049938055989340166
"NINA KEIJZER, CLAIRE BLOM",0.005641247916715319
"ALEKSANDRA MELZACKA, KINGA LOBODA",0.005641247916715319
"EBBA BERNTSSON, KLARA UTTERSTROM",0.005718050956445201
"MARIANNE DE VREESE, SHANA WITTOCK",0.006011406873289132
"MIHAELA ZJENA DE MICHELI VITTURI, MARIJA ANDELA DE MICHELI VITTURI",0.006011406873289132
"LENA SIEMANN, JILL PALAND",0.006044602472984888
"ANASTASIA SHCHEGLOVA, LIUDMILA DMITRIEVA",0.006059915728944006
"MINA FERGUSON, MADDY MCLEAY",0.006059915728944006
"HANNAH BRISTOW, EMILY COVELL",0.006075182140741683
"ODILE VAN AANHOLT, CECILE JANMAAT",0.006090604244091566
"ISABELLE FELLOWS, NICOLA BONIFACE",0.006090604244091566
"KATRINE SCHMIDT, ELLEN NIELSEN",0.006295316535114514
"MARLIES SCHOUTEN, MAUD LODEWIJK",0.006295316535114514
"LAURA HARDING, ANNIE WILMOT",0.0074944222341467095
"VAN AANHOLT ODILE, SIEWERS EMMA",0.0074944222341467095
"ALICIA FRAS, CLARISSE BAISSAC",0.007803086739386858
"RONJA LUNDBERG, PERNILLA LINDNER",0.007803086739386858
"HAYLEE OUTTERIDGE, NINA CURTIS",0.00794094697652568
"LARA GRANIER, RIOU AMELIE",0.00794094697652568
"LIVIA NAEF, NELIA PUHZE",0.007977491866423317
"DEWI COUVERT, JUDITH ENGBERTS",0.007977491866423317
"KATLIN TAMMISTE, ANNA MARIA SEPP",0.008024673923676055
"WILLEMIJN OFFERMAN, JUDITH ENGBERTS",0.008024673923676055
"CHIKA HATAE, HIROKA ITAKURA",0.0082740303346184
"CECILIA JONSSON, JULIA GROSS",0.0082740303346184
"MATHILDE LOVADINA, LEA PERNET",0.008811757264468494
"HANNAH MILLS, ALAIN SIGN",0.008811757264468494
"ODILE VAN AANHOLT, MARIEKE JONGENS",0.008984847764771358
"KIMBERLY LIM, CECILIA LOW",0.008984847764771358
"GUO FAN, ZHOU YAN",0.00914498253874097
"YANG YIN, SHI SHIQING",0.00914498253874097
"MERLE LOUWINGER, JULIA VAN DER VAART",0.009311826792348531
"MADDALENA DI SALVO, WINGCHI SANDY CHOI",0.009311826792348531
"KATHARINA SCHWACHHOFER, ELENA STOLTZE",0.009316118797499686
"GIULIA GENESIO, FRANCESCA VOLPI",0.009316118797499686
"LAURA SCHOFEGGER, LISA FARTHOFER",0.009723167801678341
"WILLEMIJN OFFERMAN, ELISE RUYTER",0.009723167801678341
"MARTINA CASTAGNA, LUCIA MIANI",0.01015138391846256
"EKTA YADAV, SHAILA CHARLES",0.01015138391846256
"LINOR BEREZIN, MAX WOOD",0.01119460356424036
"KATRINE BENDIX KROGH, LAURA STEENSTRUP ZEEBERG",0.01119460356424036
"KATE MACGREGOR, MARY ROOK",0.011255890501422366
"YANNIS NAUDY, MARTIN GUEZ",0.011380479537125367
"JESKE KISTERS, JOSCA HUMMEL",0.011380479537125367
"MISAKI TANAKA, SERA NAGAMATSU",0.011718010003655462
"CLARA-SOFIA STAMMINGER DE MOURA, MANON PEYRE",0.011718010003655462
"MARGHERITA PORRO, SVEVA CARRARO",0.01179454605834978
"MATHILDE LOVADINA, ALBANE DUBOIS",0.01179454605834978
"ELISE DE RUIJTER, QUINTEN BRAMERVAER",0.011833220450030801
"VICTORIA LIKSANOVA, DIANA SABIROVA",0.011833220450030801
"MARIA PASQUALI COLUZZI, GIORGIA BERTUZZI",0.011967147745262696
"CHLOE FISHER, ELEANOR GRIMSHAW",0.011967147745262696
"PAULA VAN WIERINGEN MASSANET, CLAUDIA SOBRAL LUSQUINOS",0.012020018245229486
"MAELLE FRASCARI, SVEVA CARRARO",0.012020018245229486
"MARIJA ANDELA DE MICHELI VITTURI, MIHAELA ZJENA DE MICHELI VITTURI",0.012133029480200808
"ARIELLE MORGAN, HEATHER MYATT",0.012133029480200808
"JO ALEH, MOLLY MEECH",0.012168145724779235
"ANTONIA LEWIN LAFRANCE, GEORGIA LEWIN LAFRANCE",0.012168145724779235
"DIANA TUDELA, MARIA PIA VAN OORDT",0.012237079589028277
"LILY RICHARDSON, MATILDA RICHARDSON",0.012237079589028277
"ELEANOR KEERS, FAYE CHATTERTON",0.01274379494998385
"ALICE MOSS, AMANDA LJUNGGREN",0.01274379494998385
"DIANA TUDELA BALLON, ADRIANA BARRON VELAOCHAGA",0.012820329509805137
"NATSUMI ANDO, FENJA VALENTIEN",0.013108959404535471
"PAULA VAN WIERINGEN, ELENA BARRIO GARCIA",0.013108959404535471
"MEGAN BRICKWOOD, STEPHANIE ORTON",0.013908943391088644
"VILMA BOBECK, MALIN TENGSTROM",0.013908943391088644
"SILVIA SICOURI, ALICE SINNO",0.01395841748431522
"SOPHIE STEINLEIN, BENTE BATZING",0.01395841748431522
"MARIA SOL BRANZ, CECILIA CARRANZA SAROLI",0.014383865506380752
"CHARLOTTE DOBSON, SASKIA TIDEY",0.014383865506380752
"FRANCESCA BERGAMO, ALICE SINNO",0.014637213033419815
"REBEKKA JOHANNESEN, IBEN NIELSBY CHRISTENSEN",0.014637213033419815
"SOPHIE WEGUELIN, SOPHIE AINSWORTH",0.014678321496812669
"VICTORIA TRAVASCIO, MARIA SOL BRANZ",0.014678321496812669
"HU XIAOYU, SHAN MENGYUAN",0.014805545578995761
"SILVIA SICOURI, MARIA VITTORIA MARCHESINI",0.014922304541879521
"GWENDAL LAMAY, KIM HOLSTE",0.014922304541879521
"INGA-MARIE HOFMANN, CATHERINE BARTELHEIMER",0.01493881873271849
"KELLY COLE, RACHEL ELLIE GLENN",0.014989751477931692
