,Rating
GEORGIA KATSOULI,2.0809019288968338e-08
EVE MCMAHON,2.428414646457827e-08
RODRIGO LUZ,2.428414646457827e-08
LOVISA KARLSSON,2.814379067090971e-08
LUCAS MOMES RUIZ,2.814379067090971e-08
AGUSTIN GONZALEZ VILLALBA,4.279173656790531e-08
GUSTAVO KIESSLING,4.279173656790531e-08
PAULINA CZUBACHOWSKA,9.751562518553849e-08
ANJA VON ALLMEN,1.0086409801939398e-07
MATEO VIDAL,1.0086409801939398e-07
LUANA BRUNA SILVA,1.5560131391870725e-07
FERNANDO ROCHA,1.559139869445705e-07
ALAN WILLY,1.7403896946789852e-07
FRANCESCA CLAPCICH,1.7403896946789852e-07
NICOLAS CASSESE,1.97782716074283e-07
MARINA GAMA,1.97782716074283e-07
ANDREA ALDANA,2.413977738385592e-07
DANTE VOLKER,2.850183326601486e-07
LINDA HENSEL,2.850183326601486e-07
FELIPE BLAS ALFARO,2.931235995952078e-07
DEWEY MAURA,2.931235995952078e-07
AGNESE CAIAFA,4.1927115370431374e-07
ALESSIA PALANTI,4.1927115370431374e-07
OETLING RAMIREZ ELENA,4.884919465936485e-07
JULIA CARREIRAO,4.884919465936485e-07
MARIA ASHIDA,4.985909729250506e-07
TALLURI MATILDA,4.985909729250506e-07
ANDELA DE MICHELI VITTURI,5.127195475634187e-07
LUIS ANDRE CASTRO,5.127195475634187e-07
MAGDALENA KWASNA,5.140852221843489e-07
BOWSKILL BRENDA,5.140852221843489e-07
AGUSTIN SAGUIER,5.253529312019942e-07
FEDERICO SIEBERT FRANCAVILLA,5.81831991619319e-07
KUMANAN NETHRA,5.81831991619319e-07
WANNES VAN LAER,7.928292932487405e-07
LAURA BO VOSS,7.928292932487405e-07
PETEH TEA,8.280070950301705e-07
ELVIN CHLOE,8.280070950301705e-07
JOAQUIM DUARTE ARGERICH,8.496027875605855e-07
PIERO CASTANEDA,8.496027875605855e-07
ANNABELLE RENNIE-YOUNGER,1.092336636101865e-06
PALOMA SCHMIDT GUTIERREZ,1.6891213624376298e-06
JUAN DIEGO RISSO,1.6891213624376298e-06
DIXON IONA,1.967302962219754e-06
SANTIAGO GUINAND,2.0277898213799287e-06
FRASCARI MAELLE,2.0277898213799287e-06
LILIENTHAL MIA MARIN,2.09442353127493e-06
VICTORIA CASTANO,2.09442353127493e-06
POVALL GEORGINA,2.2994477836214373e-06
AKKERMAN MIRTHE,2.2994477836214373e-06
PAIGE RAILEY,2.797575117440432e-06
MAXIME JONKER,2.797575117440432e-06
PEDRO WIEGAND,3.248336806561163e-06
ZYUZINA EKATERINA,3.248336806561163e-06
JULES COCK,3.3535932126951454e-06
FELIX D URSEL,3.3535932126951454e-06
CARLY BROUSSARD,3.696607098211266e-06
FLORENCE ALLAN,4.064980266126108e-06
DEISY NHAQUILE,4.064980266126108e-06
SHANA BURGER,4.431032491611315e-06
JONAS BARRAUD,4.431032491611315e-06
ERNESTO ELENTER,4.481307777356687e-06
JIA KIM,4.481307777356687e-06
LIHUEL GOMEZ LACCHINI,5.806990814041896e-06
ANTONIO MACHADO,6.0638551191239e-06
ULISES GOMEZ LACCHINI,6.0638551191239e-06
JUELL-BERGAN NANNA SOFIE,6.746047799125363e-06
UTHEIM UNA BRYHNI,6.746047799125363e-06
PIERRE VANDECLEE,6.983031774032441e-06
LAURA BOUCKAERT,6.983031774032441e-06
LU WEIYI,7.252137472955759e-06
SOPHIA REINEKE,7.252137472955759e-06
SANTINO LEIBIK,7.369500794028192e-06
MALIK BRETT,7.369500794028192e-06
THORBEN FILLMANN,7.734785648445744e-06
TIMO LAUKHARDT,7.734785648445744e-06
AMELIE ELSTNER,7.890649518119074e-06
MULLER JULIA MAGDALEIN,7.890649518119074e-06
RAFAEL TRINDADE,9.46801883524476e-06
VAISHNAVI VEERAVAMSHAMA,9.46801883524476e-06
CELINE REEGEN,1.0271271604636262e-05
FEDERICO FIERLI,1.0271271604636262e-05
KIM PLETIKOS,1.0443891351478683e-05
TOMAS ELIAS,1.0653112020535624e-05
GESA PAPENTHIN,1.0653112020535624e-05
HOLTZ JOSEPHINE,1.0665777432651481e-05
AVERY BALDWIN,1.0665777432651481e-05
TODOROVA STANISLAVA,1.1344770356387849e-05
PILAR IESS FALCON,1.1344770356387849e-05
DIRMA EISENGA,1.2625675568466235e-05
AGNES BOMER,1.2625675568466235e-05
JACQUES PERRET,1.3215991285348775e-05
IAN RAWET,1.3215991285348775e-05
MILLERET PERINE,1.3401968765120335e-05
SOPHIA MORGAN,1.3401968765120335e-05
AQUILINA LACEY,1.3886612885921138e-05
ROSE-LEE NUMA,1.3886612885921138e-05
FELIPE WENZEL,1.4163457767437314e-05
CHRISTINA SAKELLARIS,1.4163457767437314e-05
KYM AHRENS,1.4830014603259352e-05
JEANETTE SCHLOSSER,1.4830014603259352e-05
HEEGAARD JOSEPHINE,1.4886171151000605e-05
MARENDIC PETRA,1.4886171151000605e-05
ROGER TORRES,1.548409098539249e-05
HAJI-MICHAEL ANYA,1.548409098539249e-05
LINE-ANNELIEK PAHLER,1.5817453822978327e-05
RICARDO GIESSLER,1.5817453822978327e-05
IAN STEIGUBER,1.699572209937887e-05
JESSICA HERRMANN,1.699572209937887e-05
ANNA-KATHARINA SCHMOLZER SCHMOLZER,1.7417183979506085e-05
MARCELO FREZZA,1.762684286041986e-05
DIANA MARKOVA,1.762684286041986e-05
SELINA EBERLE,1.783922721965721e-05
SILVIA GOEBEL,1.783922721965721e-05
JULIA BUSSELBERG,1.811395650279871e-05
PERNELLE MICHON,1.811395650279871e-05
AMELIE RIOU,1.901912176726607e-05
MARIE BOLOU,1.901912176726607e-05
ALEJANDRA VEGA,1.9509746584256798e-05
TOM STRUVE,2.1185474092265217e-05
NICLAS PERBAND,2.1185474092265217e-05
MILDA EIDUKEVICIUTE,2.222376750057103e-05
SANTIAGO TOKER,2.222376750057103e-05
HELIO ARAUJO,2.4350244854829167e-05
KEYLA DARANI HERNANDEZ OVIEDO,2.4350244854829167e-05
MARIA ELENI KALAKONA,2.4582378525734726e-05
BEATA DOKOUPILOVA,2.4582378525734726e-05
IJBEN MARISSA,2.4943202952134063e-05
LENA HAVERLAND,2.4943202952134063e-05
JOAO PEDRO OLIVEIRA,2.5357315369066895e-05
BAUZA ROIG AINA,2.5357315369066895e-05
ARGYRO KOURAVELOU,2.6378463022657878e-05
ELISA HARTENBERGER,2.6378463022657878e-05
ZELIC ANA,2.6846837990863404e-05
ALBERTO VARILLAS,2.6846837990863404e-05
MARTHE ENGER EIDE,2.755659302302955e-05
LUKOYANOVA ALEXANDRA,2.7681353504497594e-05
ALGRA ANNEMIJN,2.7681353504497594e-05
JESSE MO METT,2.8555673298599488e-05
MORTEN BEN BORCHARDT,2.8555673298599488e-05
LUISE JOHN,2.860385266248255e-05
JAN PUTZIER,2.860385266248255e-05
MATTI RODRIAN,3.0387141630797265e-05
MORITZ LUTKE NOTARP,3.0387141630797265e-05
LILLY MAY NIEZABITOWSKA,3.2045967508649716e-05
LUCAS VIDELA,3.241054086185539e-05
FRANCISCO MAROTTA,3.241054086185539e-05
STEFANO PENDOLA,3.256473868253662e-05
COLLINGRIDGE DAISY,3.256473868253662e-05
EMILS MIKUS BASKEVICS,3.317782303609917e-05
SARONA ALIDA CAUNE,3.317782303609917e-05
SILVIA ZENNARO,3.4420947876039675e-05
XU LIJIA,3.4420947876039675e-05
JOANA ALVES LOURENCO,3.46469191900493e-05
BAUDET LEONIE,3.46469191900493e-05
SANTOS BARBERO,3.60339120211659e-05
FILIPE TORRES,3.60339120211659e-05
JARI MUSSBACH,3.714103982881586e-05
JESSICA WEBER,3.714103982881586e-05
BENJAMIN GALVAN,3.7206515800089105e-05
ARIEL ZERPA,3.7206515800089105e-05
SOREN HAMPEL,3.725609535385999e-05
LASSE WEIGT,3.739470787107546e-05
SEBASTIAN RODE,3.739470787107546e-05
CHEN PIN-CHIEH,3.962826803874778e-05
ISABELLA BOYD,3.962826803874778e-05
MARIA CRISTINA BOABAID,4.138031392799454e-05
SANDRA LULI,4.138031392799454e-05
TOMAS BODETTO,4.202886677335539e-05
GRAVELY CLARA,4.202886677335539e-05
SARAH GUNNI SCHIERUP,4.208602130044159e-05
ANNA MUNCH,4.208602130044159e-05
HENRIK PETERS,4.2849253208903195e-05
JUSTUS FRIEDRICH LOECK,4.2849253208903195e-05
TONI SCHMIDT,4.28943171911072e-05
MARC MESSERLI,4.28943171911072e-05
LARS KREILAUS,4.380325194437949e-05
LOTTA GISSELMANN,4.380325194437949e-05
ALCIR CACHAPUZ,4.427824351851999e-05
STEPHANIE DEVAUX-LOVELL,4.427824351851999e-05
CELINE THERESE HERUD,4.4734999328896004e-05
ANA CAROLINA ROTH,4.4734999328896004e-05
WEISSKICHEL LENA MARIE,4.5663011576995405e-05
TODOROVA YOANA,4.5663011576995405e-05
CLAUDINE TATIBOUET,4.6525613761711355e-05
MARTIJN VAN DIJK,4.6525613761711355e-05
MORITZ FISCHER,4.928462705764739e-05
LEON PFAFF,4.928462705764739e-05
PETRA MASTELIC,4.984064850076651e-05
MARIA VLACHOU,4.984064850076651e-05
ALISE SANTORUM,5.0052789563948817e-05
ANDRIANI GEORGIOU,5.0052789563948817e-05
HANNE BIRKELAND,5.050161027074912e-05
EMIL SCHONING-OLSEN,5.050161027074912e-05
