,Rating
GINTARE SCHEIDT,(-0.1764284710491303-0.12285153214868083j)
VASILEIA KARACHALIOU,(-0.1764284710491303+0.12285153214868083j)
MAUD JAYET,(-0.12232713828814291-0.10363293302180977j)
LUCIA FALASCA,(-0.12232713828814291+0.10363293302180977j)
CHIARA BENINI FLORIANI,(-0.09600186483594242-0.025409226352871614j)
SANTIAGO PACHECO,(-0.09600186483594242+0.025409226352871614j)
HANNAH SNELLGROVE,(-0.06841048228723036-0.12636186610198735j)
OLSSON JOSEFIN,(-0.06841048228723036+0.12636186610198735j)
ANNE-MARIE RINDOM,(-0.0450056133551623-0.05135934926614766j)
SARAH DOUGLAS,(-0.0450056133551623+0.05135934926614766j)
MATILDA NICHOLLS,(-0.027646962462458742-0.03423698983149548j)
LOUISE CERVERA,(-0.027646962462458742+0.03423698983149548j)
BAS BLOKZIJL,0j
ANAIS WIENEN,0j
BART MEYNENDONCKX,0j
YUYA LONFILS,0j
ERIN COWLEY,0j
ISABELLE DOMPAS,0j
BO MOERKERKE,0j
JULE-JOHANNA BLANK,0j
JOEP GOTTGENS,0j
ALEXANDER DE BIE,0j
MAARTEN BOOT,0j
JULES COCK,0j
FELIX D URSEL,0j
THORSTEN WYK,0j
LAURA BOUCKAERT,0j
PETER KOLOSKE,0j
JACQUELINE RECKZIEGEL,0j
JOSHUA BAIER,0j
CHRISTOPH VON WOEDTKE,0j
LENNART SEEBURG,0j
JENS BRELLE,0j
JUERGEN LEMKE,0j
WOLFGANG FUSS,0j
BIRGIT RIEMANN,0j
RUDOLF FREUND,0j
UWE CLAASEN,0j
ALEXANDRA BEHRENS,0j
PIETER HUIZER,0j
ALEXANDRE FRISSEN,0j
VICTOR CAMBIER,0j
PIERRE VANDECLEE,0j
BORIS DE WILDE,0j
CARL AMEND,0j
MAX STIFF,0j
SHEILA MARTINEZ,0j
ASCENSION ROCA DE TOGORES,0j
HELENA WOLFF,0j
CHRISTINA MARIA MENI,0j
PERINE MILLERET,0j
KATRINA MICALLEF,0j
HERMIONIE GHICAS,0j
PETRA MARENDIC,0j
MIRANDA PAPADAKI,0j
MARIA LILI ZAMIT,0j
JONATHAN BRINKMANN,0j
BERTHOLD OELZE,0j
PHILIPP VAN HUSEN,0j
SEBASTIAN RODE,0j
PIETER VAN LAER,0j
LASSE WEIGT,0j
NICO HEISE,0j
GUIDO BRUCH,0j
MAX HEISE,0j
CONSTANTIN ENGELKE,0j
ANDREA BUSCHMANN,0j
ANN-SOPHIE HEINRICH,0j
MALIN KORNICH,0j
MAX SCHWARTING,0j
MORITZ HARTMER,0j
FRANZ LASCH,0j
HIDDE SCHRAFFORDT,0j
ANDERS BULTYNCK,0j
MAX FRANK,0j
BRECHT ZWAENEPOEL,0j
FRANK STORCK,0j
VICTOR HENSEL,0j
LEON PFAFF,0j
DAVID BUCHLER,0j
SZULC LAURA,0j
MENDOZA CABEZAS ISABELLA,0j
PAPENTHIN GESA,0j
WOLFF HELENA,0j
CASTRO NUNEZ ADRIANA,0j
WILSON BROOKE,0j
ELSTNER AMELIE,0j
SITGES NICOLAU MIRIAM,0j
PILNIK MAYA,0j
TOWNSEND DRU,0j
SODERBERG MIKAELA,0j
SERRANO CASTRO MARINA,0j
FRIIS JENSEN ANNELIE,0j
PERES LUISA,0j
TUZUN ECE,0j
ANG JANIA,0j
ERKAN ZULAL ALEV,0j
BOCKL JOHANNA,0j
OPSTAELE CANNELLE,0j
GASKELL-BROWN HANNA,0j
VIDMAR LANA,0j
ANDERSEN PUK,0j
HALD LISA MARIA,0j
KILMARTIN SOPHIE,0j
KLAEBOE MIA,0j
ABREU GARCIA INES,0j
EDWARDS SAMANTHA,0j
DERYCKERE AUDREY,0j
CORREA PONS MARIA ALEJANDRA,0j
RASZKA DOMINIKA,0j
ADAN LLEDO CLAUDIA,0j
SOBCZAK KLARA,0j
ESCUDERO AMAYA,0j
LENA MARIE FISCHER,0j
GEORG GRAW,0j
FELIX MINEUR,0j
YELYZAVETA VYNOHRADOVA,0j
MORITZ FISCHER,0j
JESSICA HERRMANN,0j
IAN STEIGUBER,0j
MALIK BRETT,0j
SANTINO LEIBIK,0j
LUISE JOHN,0j
JAN PUTZIER,0j
MARC MESSERLI,0j
TONI SCHMIDT,0j
EMILIA BAYER,0j
SIMON STRACKOW,0j
ARTHUR FROMM,0j
JESSICA WEBER,0j
SOREN HAMPEL,0j
ANNA-KATHARINA SCHMOLZER SCHMOLZER,0j
HENRIETTE SCHADE,0j
MATTIVI EMMA,0j
ARSENI MARIA VITTORIA,0j
SAVELLI SARA,0j
MARTINEZ MARIA,0j
NIEZABITOWSKA LILLY MAY,0j
MARENDIC PETRA,0j
HEEGAARD JOSEPHINE,0j
ALGRA ANNEMIJN,0j
LUKOYANOVA ALEXANDRA,0j
LUBAC THEA,0j
JARI MUSSBACH,0j
ALENKA VALENCIC,0j
REBECCA MANTEL,0j
ANA MONCADA,0j
MIRAS LEUNG IRENE,0j
MERITXELL SITGES NICOLAU,0j
YANA BELOZEROVA,0j
CHELLI VALENTINA,0j
JONSSON HANNA,0j
DARDOURI MALEK,0j
AYA EL-ZEINY,0j
RICCI LUCREZIA LUNA,0j
FENG CHENG LING,0j
EGAO SUNAGA,0j
VALKEVICH ANASTASIYA,0j
PARODI NINA,0j
NAOKO KEMMOKU,0j
KIRANA WARDOJO,0j
INI BEATRICE,0j
NATALIA ARIZA SANCHEZ-BARRIGA,0j
MOEKA SUZUKI,0j
BOUCKAERT LAURA,0j
LLAMAS VALLESPIR GEMMA,0j
MIREYA BIBILONI,0j
MOLLY HIGHFIELD,0j
KALISOVA LENKA,0j
IHAB MARIAM,0j
KAYNAR PINAR,0j
VELASCO STAMMINGER SOFIA,0j
ANNE MARIE RINDOM,0j
LINE FLEM HOEST,0j
JOSEFIN OLSSON,0j
MARIT BOUWMEESTER,0j
KELLY COLE,0j
GEORGE AULICH,0j
ANNA OMURA,0j
GREGOR VANESSA,0j
SEGNINI NICOL,0j
MARIANA GUZMAN,0j
KARINA JANGAZOVA,0j
ADELE AUCHTERLONIE,0j
MAMAN DANIELLE,0j
ROMINA DE IULIO,0j
SIBONI CARLOTTA,0j
EMIRI KOYA,0j
LUCY EDE,0j
MARGARITA IESS FALCON,0j
PORTOLOU VARVARA,0j
GUILLERMO VIRGINIA,0j
KYO MARUTA,0j
JULIA FRANCIS,0j
ELYSE AINSWORTH,0j
NELLE LEENDERS,0j
RODRIGUEZ MARTIN BARBARA,0j
AINA GARAU,0j
MIRZAI ELLA,0j
ELENA ADAN LLEDO,0j
NANAMI OHTA,0j
ROSE-LEE NUMA,0j
AQUILINA LACEY,0j
PENARRUBIA RAMOS MARTA,0j
GUARAGNA NICOL,0j
HULDA LILJA HANNESDOTTIR,0j
PATRA_XD_CIA RAULINO,0j
JULIE ERHARDSEN,0j
CHEN PIN-CHIEH,0j
ISABELLA BOYD,0j
FISCHER LINA KRISTIN,0j
CASEY IMENEO,0j
MIRTHE AKKERMAN,0j
PERNELLE MICHON,0j
TATIANI BOUGIATIOTI,0j
ELISA HARTENBERGER,0j
ARGYRO KOURAVELOU,0j
KLEOPATRA ANASTASSIOU,0j
MARGA PERELLO,0j
LILLY MAY NIEZABITOWSKA,0j
ANDRIANI GEORGIOU,0j
ALISE SANTORUM,0j
MAYA PILNIK,0j
MARINA SERRANO CASTRO,0j
BEATA DOKOUPILOVA,0j
MARIA ELENI KALAKONA,0j
PETRA MASTELIC,0j
MARIA VLACHOU,0j
VARVARA PORTOLOU,0j
MIA MARIN LILIENTHAL,0j
NICOL SEGNINI,0j
ESTERE KUMPINA,0j
GAYA DATIASHVILI,0j
ELISAVET ILIOPOULOU,0j
SAMANTHA EDWARDS,0j
CHARLOTTE VIDELO,0j
GEORGIA KATSOULI,0j
LARA MERTEN,0j
IRIS SINGLETON,0j
TAMM ELISA,0j
CANNELLE OPSTAELE,0j
ANASTASIA KASKANTAMI,0j
LUCY DAVIS,0j
SHAI KAKON,0j
KRISTINA BOJA,0j
URSULA BALAS,0j
ZOFIA WOJCIK,0j
NUR SHAZRIN MOHAMAD LATIF,0j
JULIA BUSSELBERG,0j
DAISY COLLINGRIDGE,0j
LUCIANA CARDOZO,0j
GABRIELLA KIDD,0j
ELENA OETLING RAMIREZ,0j
CAROLINA ALBANO,0j
NETHRA KUMANAN,0j
MATILDA TALLURI,0j
ROOS WIND,0j
WIKTORIA GOLEBIOWSKA,0j
CLARA GRAVELY,0j
CRISTINA PUJOL BAJO,0j
GIORGIA DELLA VALLE,0j
CAGLA DONERTAS,0j
CARLOTTA RIZZARDI,0j
PIA CONRADI,0j
JOSEPHINE HEEGAARD,0j
ASCENSION ROCA DE TOGORES BENABENT,0j
YUMIKO TOMBE,0j
CRISTINA CASTELLANOS,0j
MARIA JOSE PONCEL MAURIN,0j
SANDRA LULIC,0j
OKYANUS ARIKAN,0j
SOFIIA NAUMENKO,0j
LINDA DOKOUPILOVA,0j
HONOKA MIURA,0j
ANNA VASILIEVA,0j
MARINA ESCUDERO NEGRON,0j
MARIELA MORAGA,0j
TEA PETEH,0j
CATERINA ROMERO,0j
WINTHER ANA EMILIE,0j
HATLOY MARINA,0j
UTHEIM UNA BRYHNI,0j
COLLIN FINLEY RIEHL,0j
UTE NOACK,0j
MAURICE HORRAS,0j
VIESTURS SIMSONS,0j
RIHARDS PLAVINS,0j
PAULA LAIPNIECE,0j
RICARDS MUCINS,0j
EMILS AMSILS,0j
SARONA ALIDA CAUNE,0j
EMILS MIKUS BASKEVICS,0j
JEKABS CODARS,0j
MARTA LIVA RUPENHEITE,0j
MAX STRUVE,0j
ANTON THONFELD,0j
VINCENT THOMAS,0j
LARISSA UHDE,0j
LEVIAN BUSCHER,0j
FINN PETZOLD,0j
LENA ABENDROTH,0j
ARNDT KLINGENBURG,0j
FINN BICKERT,0j
SEBASTIAN LAPPE,0j
LAURA BRUCH,0j
KLAUS SCHULTE,0j
VICTORIA LAPPE,0j
PHYLLIS-SOLVEIG VOGT,0j
ALEXANDER ROTHHOFT,0j
NILS FLORYZAK,0j
