,Rating
"VERONIKA ZIVNA, KATERINA ZIVNA",1459.3141367206042
"ALEXANDRA MALONEY, MOLLY MEECH",1468.5892681425053
"PARIS HENKEN, ANNA TOBIAS",1472.3872631891736
"ANNEMIEK BEKKERING, ANNETTE DUETZ",1474.0901375402009
"JOHANNE SCHMIDT, ANDREA SCHMIDT",1476.9626048231614
"JULIA HENRIKSSON, CAROLINE PETTERSSON",1483.4030247661879
"ZOFIA BURSKA, SARA TKADLECOVA",1484.7174857758487
"SARAH STEYAERT, AUDE COMPAN",1485.7948229271115
"STEPHANIE ROBLE, MAGGIE SHEA",1486.202726780913
"MATHILDE LOVADINA, LEA PERNET",1486.3188502666783
"GRISELDA KHNG, OLIVIA CHEN",1487.1528209804303
"ANNA LUSCHAN, EVA-, MARIA SCHIMAK",1487.6491614626236
"KLARA WESTER, REBECCA NETZLER",1488.0284848672259
"LAURA HARDING, LAURA THOMSON",1488.2965801039913
"CRYSTAL SUN, OLIVIA HOBBS",1488.4326787642872
"KATJA SALSKOV-IVERSEN, JENA HANSEN",1488.4576314820224
"HELEN PAIS, HELEN AUSMAN",1488.5123957009705
"ELIN SEVEDAG, KLARA JOHANSSON",1489.4495792896612
"SIRRE KRONLOF, SELMA VALJUS",1490.066646353459
"ECHEGOYEN DOMINGUEZ, BARCELO MARTIN",1490.1724137931012
"TINA LUTZ, LOTTA WIEMERS",1490.3261800350542
"MOLLY MEECH, ALEX MALONEY",1490.4305459893267
"ALEXANDRA MALONEY, OLIVIA HOBBS",1490.4790913508614
"VICTORIA TRAVASCIO, SOL BRANZ",1490.5121765852653
"ANDERSEN, EDLAND",1490.5172413793082
"MAGGIE SHEA, STEPHANIE ROBLE",1490.559471625683
"SOPHIE WEGUELIN, SOPHIE AISWORTH",1490.7499293220035
"ELENA CHRISTINE STOFFERS, LEONIE MEYER",1490.7692307692341
"DOMINIKA VADUROVA, SARA TKADLECOVA",1490.7914104228762
"ROBLE, SHEA",1490.8620689655152
"GALEN RICHARDSON, AIDAN CHIU",1490.9439861861151
"SHASHA CHEN, NANA HU",1491.1679142901835
"ANASTASIA SHCHEGLOVA, LIUDMILA DMITRIEVA",1491.1823514991588
"ANGELIKA KOHLENDORFER, LISA FARTHOFER",1491.1855141160204
"ALEH, MEECH",1491.2068965517221
"KIMBERLY MIN LIM, RUI QI CECILIA LOW",1491.2638793226602
"HARSHITA TOMAR, SWETA SHERVEGAR",1491.267402074407
"ALEX MALONEY, MOLLY MEECH",1491.2820512820545
"ANOUK GEURTS, ISAURA MAENHAUT",1491.359471625683
"FRANCESCA CLAPCICH, GIULIA CONTI",1491.4363570275468
"ARANTZA GUMUCIO, BEGONA GUMUCIO",1491.465685938779
"ODILE VAN AANHOLT, MARIEKE JONGENS",1491.5156848324923
"LILY RICHARDSON, MATILDA RICHARDSON",1491.5473076866197
"LIVIA NAEF, NELIA PUHZE",1491.5510178654094
"TER HORST, HIN",1491.551724137929
"TAMARA ECHEGOYEN, PAULA BARCELO",1491.641458127675
"ZOYA NOVIKOVA, DIANA SABIROVA",1491.7553474248348
"CECILIA CARRANZA SAROLI, MARIA SOL BRANZ",1491.759471625683
"PAULA SCHUTZE, LILLE JONAS",1491.8330219723339
"LARA GRANIER, AMELIE RIOU",1491.8569681523718
"ICHIHASHI, GOTO",1491.896551724136
"CHARLOTTE HENKEL, CAROLINA HORLBECK",1492.0647332460503
"CECILIA JONSSON, JULIA GROSS",1492.0972126559936
"GIULIETTA LANG, STERRE VAN WEGEN",1492.118736258048
"CHLOE FISHER, ELEANOR GRIMSHAW",1492.1515208475607
"MENGYUAN SHAN, XIAOYU HU",1492.1594716256832
"LUCIA TAMANI, BIANCA TAMANI",1492.1823514991593
"TUDELA BALLON, BARRON VELAOCHAGA",1492.241379310343
"LISA ORN, HANNA KLINGA",1492.307692307695
"KAMILLE VILSTRUP, EMMELIE REED RASMUSSEN",1492.4044505437623
"MARIA SOL BRANZ,  CARRANZA SAROLI",1492.40612237217
