,Rating
HERMANN TOMASGAARD,1470.189550539843
FILLAH KARIM,1476.296928634326
LUDVIG LINDQVIST,1476.8380133824999
MATTEO PAULON,1477.6820653336652
AGUSTIN VIDAL INCATASCIATO,1478.1185835202662
ILIJA MARKOVIC,1480.422817859528
BOS DUKO,1480.9683667386255
ANDREAS SCHRETZENMAYER,1482.3446300684288
KAZUMASA SEGAWA,1482.6730316830533
NICHOLAS HEINER,1482.7326982476052
MAOR BEN HAROSH,1482.7404899822445
ANDY MALONEY,1482.7758368751274
MATIAS DYCK,1483.5228775604003
AGUSTIN VIDAL,1483.662595904865
JUAN PABLO CARDOZO,1483.6790341668982
ZENO GREGORIN,1483.8537672907644
NICO NAUJOCK,1483.9125538037158
DIMITRIS PAPADIMITRIOU,1483.919872603261
BEN FLOWER,1484.1578581151737
SAGIE GLANTZ,1484.4683168302574
MALINOWSKI PIOTR,1484.556324712065
ALEXANDRE KOWALSKI,1484.6258735034476
JACOB FARREN-PRICE,1484.9470790696373
LUKE CASHMORE,1484.985682960753
THORALF WOLFENSTETTER,1484.987246401873
PAUL HAMEETEMAN,1485.0843671071352
JOAQUIN BLANCO,1485.149393572117
CESARE BARABINO,1485.508044379968
WILLEM WIERSEMA,1485.6846315597581
LEO BOUCHER,1485.7129439676169
YOSHIHIRO SUZUKI,1485.7531450420106
MATIAS DYCK CORDOVA,1485.9134675690257
MARKOVIC ILIJA,1485.922212349566
THEO PEYRE,1485.9807491337058
AXEL HOLDERBEKE,1486.0457955310183
KHAIRULNIZAM MOHD AFENDY,1486.2460801081302
THOMAS VAN OFWEGEN,1486.3281663792516
FREDERIKSEN KENNETH,1486.4252249115023
RYAN ANDERSON,1486.4254582125686
CHEVRIER LUC,1486.7747535939918
JUST VAN AANHOLT,1486.8213213668776
BARTH JUSTIN,1486.8890713567725
LEO BARRETO HASCHKE,1487.06096159524
LOIC QUEYROUX,1487.2468970784919
ARTIUKH NAZAR,1487.2690484702973
FARREN-PRICE JACOB,1487.3773903603865
ANDERSON RYAN,1487.509300312573
KRASODOMSKI MICHAL,1487.655294174393
VAN OFWEGEN THOMAS,1487.812528071608
BERKAY ABAY,1488.0350950554275
JANSEN LARS,1488.1524370692848
NICO SCHAFFERLING,1488.2368752703194
ALEKSI TAPPER,1488.262848121887
JUHASZ JAMES,1488.5602778490306
JUSTIN BARTH,1488.6005892861613
MARCO GALLO,1488.6157831097937
GAUTHIER VERHULST,1488.9373392207183
PEDRO LUIS FERNANDEZ GAMBOA,1488.9927086463142
LOURENCO MATEUS,1489.0788178901746
