,Rating
ELENA SANDERA,1459.616736479201
MANON BERGER,1470.0710596337424
MARSHA SHAHRIN,1476.7728023572195
LORENA ABICHT,1477.0462229036111
LINDA OPRANDI,1478.2119836620057
AIKATERINI DIVARI,1479.7215074786077
HELENA WANSER,1479.8390215175443
DANAE PONTIFEX,1481.379335780056
MARINA CHEROUVEIM,1481.442195254023
SARA SZENTIVANYI,1481.7450037088456
MIKI YAMABE,1481.754960432873
CRISTINA ORTIZ VIVAS,1482.0614217548607
ELIF ERCAN,1483.743914088322
LENA HAVERLAND,1483.8414436261064
DILARA URALP PALOMBO,1484.0524358040875
MERVE VATAN,1484.403184624986
AYSE-ZEYNEP TURKOGLU,1485.6481435238293
LINA ERZEN,1485.7868908234445
SOFIA HAMALAINEN,1486.8461682536015
LUCY KENYON,1486.9914942100738
FIANNE VAN DEN BRULE,1487.0520152288245
SOFIE HAMMEKEN,1487.1440601322035
JUNNA WATANABE,1487.1465889017468
NATASA LAPPA,1487.9853610910257
PILAR LAMADRID TRUEBA,1488.2647513108152
JULIA GOMEZ ROA,1488.4212274755625
INES BOUCHET,1489.3224789834603
ONISHI FUJIKO,1490.0286946096141
SZENTIVANYI SARA,1490.1258072709995
FARRAH HALL,1490.1293550511732
KEIJU OKADA,1490.1470588235231
MARIANA AGUILAR CHAVEZ PEON,1490.189876459676
B LINDSAY,1490.3786007745698
KATYA IDA COELHO,1490.4171491869486
VITA HEATHCOTE HEATHCOTE,1490.4411764705821
REBECCA HELLER,1490.644421914221
NADIA JABLONSKI,1490.7180147825488
ELENA BERTA,1490.7352941176412
BUSE TUNC,1490.7573862183683
KRISTYNA CHALUPNIKOVA,1490.818472123692
EMMA VIKTORIA MILLEND,1490.9280678449502
GELLY SKARLATOU,1491.0294117647002
"MACIEJ SCHMIDT, POLA PANA",1491.0294117647002
RINA NIIJIMA,1491.0449491722572
YAMABE MIKI,1491.0989673687664
BARBARA WINAU,1491.1784388499475
GHISLAINE VAN-EMPEL,1491.2735703381045
LILA BONDOIS,1491.2774771790646
AMELIE WEHRLE,1491.3235294117592
CECILIA HASLUND ORESKOV,1491.3262400960389
LUISA GANDOLPHO,1491.6176470588182
EMILIA KOSTI,1491.726915381312
STELLA BILGER,1491.7807855505841
ANNA-HELMI HAAVISTO,1491.82912589366
PAUL PORTHUN,1491.9117647058772
CHIARA FERRETTI,1491.9516344824358
MARGARIDA-GIL MORAIS,1492.1069036714377
MAX KELLER,1492.2058823529362
ANNA WEIS,1492.2353310051294
SARA CHOLNOKY,1492.3471640665114
GOMEZ ROA JULIA,1492.4415967446844
YAN ZHENG,1492.462603732402
JOANNA CYMERMAN,1492.4999999999952
"BETTINE WRIGLEY, MARTIN HARRIS",1492.7941176470542
SIRI KASKEALA,1492.8505108869306
FIANNE VAN-DEN-BRULE,1492.9402370047712
MILLIE IRISH,1493.0882352941132
YUKI SUNAGA,1493.113852651441
BRUNA MARTINELLI,1493.3311513306855
BRUNA MARTINELLI CESARIO DE MELLO,1493.3716946414927
ASHLEE DAUNT,1493.3823529411723
WATANABE JUNNA,1493.5989673687652
MATISSE PACAUD,1493.6764705882313
FIONA WYLDE,1493.6764705882313
CATHARINA SCHAAFF,1493.9705882352903
JUSTINE LEMETEYER,1494.125807271001
EMA SAMARIJA,1494.2647058823493
CRISTINA ORTIZ-VIVAS,1494.3291258936604
SAMANTHA COSTIN,1494.5084235138074
DILARA URALP,1494.5588235294083
UMA CHOUHAN,1494.5588235294083
POLA WAWRZYNIAK,1494.64826369592
JULIANE ADELSSEN,1494.8529411764673
TUULI PETAJA-SIREN,1494.967912534159
BRYN MULLER,1495.0846656257552
PALMA ?ARGO,1495.0977018981673
IULIIA KAVALERCHIK,1495.1470588235263
SOPHIE JACKSON,1495.1470588235263
JANA SLIVOVA,1495.1624592269939
SOPHIA MEYER,1495.388965165738
REAMONN THEINER,1495.4411764705853
KACPER PASZEK,1495.7352941176443
DEMITA VEGA DE LILLE,1495.8100177973172
AIMEE BRIGHT,1495.871694641492
BRIANNA ORAMS,1495.9009666494364
NEUS BALLESTER,1496.0294117647034
DANICKA SAILER,1496.0989673687645
JENNA GIBSON,1496.3235294117624
YEHOR SAMARIN,1496.3235294117624
CAROLA COLASANTO,1496.4460165049093
BELEN TAVELLA,1496.6176470588214
THERESA LOFFLER,1496.9117647058804
MEGUMI KOMINE,1497.0665330651573
LINOY GEVA,1497.1836809087447
JOHANNA HJERTBERG,1497.1921968624563
"RAVINDRA KUMAR VERMA, SHRADDHA SHARMA",1497.2058823529394
ANNA KHVORIKOVA,1497.226102734994
ODA STOKSTAD-BADHOLT,1497.3846814492165
LUCIE BELBEOCH,1497.4576113337644
JOHANN EMMER,1497.4999999999984
DEMITA VEGA,1497.6593071968955
BRUNA MARTINELLI MELLO,1497.7047546394233
NAVEE THAMSOONTORN,1497.7941176470574
RAFAL POGORZELSKI,1498.0882352941164
INGRID PUUSTA,1498.1913147147827
WAI-YAN NGAI,1498.21801478255
ZOFIA NOCETI-KLEPACKA,1498.2832862828861
HEDVIG LILJEGREN,1498.3823529411754
MERVE VATAN VATAN,1498.4684884150217
BRUNA MELLO,1498.4957925603278
KAROLINA LIPINSKA,1498.6764705882345
DEREK SCOTT,1498.6764705882345
YUNXIU LU,1498.6932075161455
SUNAGA YUKI,1498.7108135385586
KRISTYNA PINOSOVA,1498.7509089098514
JIE DU,1498.9179266172694
LAURA PUKROPSKI,1498.9705882352935
MAYA GYSLER,1499.019780496247
JENNIE ROBERTS,1499.1580986515598
NOY DRIHAN,1499.1784388499502
ROSA DONNER,1499.2647058823525
JULIANA DUQUE,1499.5588235294115
EMILY HALL,1499.6140329157913
ANDREA TORRES FULLANA,1499.7733381504484
TUVA OPPEDAL,1499.7744635337558
ZHENG YAN,1499.8168030217641
AGNIESZKA PAWLOWSKA,1499.8529411764705
SOFIA RENNA,1499.8637805834608
SIMON DIESCH,1500.1470588235295
ANNA SAGULENKO,1500.1624592269945
RENNA SOFIA,1500.2662412240115
ZOFIA KORSAK,1500.4411764705885
NELA SADILKOVA,1500.5669037044802
LAERKE BUHL-HANSEN,1500.673720054595
PILAR LAMADRID-TRUEBA,1500.7180147825502
JULIA JACOBSEN,1500.7352941176475
MIKA KAFRI,1500.7352941176475
MA KWAN CHING,1500.8716946414918
SHACHAR RESHEF,1500.947477077912
"DEFNE TULCALI, EFE DANISMEND",1501.0294117647065
LINA EREN,1501.165117628506
MANCHON BLANCA,1501.2837020078457
MUHAMMAD FAUZI KAMAN SHAH,1501.3235294117655
