,Rating
"DON WHITCRAFT, DYLAN WHITCRAFT",1450.2893811682395
"NILS CARSTENSEN, JAN FRIGGE",1456.0410256682474
"DYLAN JONES, JONATHAN KELLY",1458.3261726813653
"JOHN PINK, STUART BITHELL",1462.7397785983599
"LEVI SLAP, MAX SLAP",1465.751264143217
"STUART BITHELL, JOHN PINK",1466.067153272334
"FYNN STERRITT, JAMES PETERS",1467.1736375193443
"VICTOR SILEN, CHRISTOFFER SILEN",1468.995186051854
"ALAIN SIGN, DYLAN FLETCHER",1469.8949881385977
"MUSAB AL HADI, YANN ROCHERIEUX",1470.9498397107031
"LEWIS ANDERSON, REECE CAULFIELD",1472.1657193578558
"SAM MORGAN, PAT MORGAN",1472.8851131869867
"REED LORIMER, CASEY CABOT",1473.6329747454377
"RYAN LITTLECHILD, JACK HILDEBRAND",1474.1231915653648
"ENZO LOBRY, LOUIS RAYNAL",1474.1255856982964
"PETROS KONSTANTINIDIS, VAGELIS DOLIANITIS",1474.3301012743232
"DYLAN FLETCHE, R-SCOTT, STUART BITHELL",1474.5424297438778
"MUSAB AL HADI, WALEED AL KINDI",1475.8325819789618
"THOMAS STAPLES, WILLIAM STAPLES",1477.1154144826635
"AHMED AL HASANI, ABDULRAHMAN AL MASHARI",1477.4765019013857
"JUHO KOTIRANTA, ROBIN BERNER",1477.645138677721
"HUGO FEDRIGUCCI, VIRGIL AUBRIOT",1478.2495837813701
"CAMPBELL STANTON, WILL SHAPLAND",1478.9352675041584
"KURT HANSEN, HARRY MORTON",1479.3626973184569
"RYAN WOOD, ANDREW WOOD",1479.7028150783974
"BARROWS, HENKEN",1480.2409638554127
"PPIRAZSYEBCYKTIE, KJ,A CLEUKKSSZ",1480.3278688524597
"JONAS WARRER, CHRISTIAN PETER STEPHENSEN LUBECK",1480.3418430558188
"GANAPATHY KELAPANDA CHENGAPPA, VARUN ASHOK THAKKAR",1480.4414246887598
"OSCAR GUNN, LOGAN DUNNING-BECK",1480.4452197316039
"TOM PELSMAEKERS, YANNICK LEFEBVRE",1480.5039164488066
"DE VOS, JANSSEN",1480.7228915662563
"CRAIG KEENAN, GAVIN NINNES",1480.8508188471317
"ZAIDING WEN, TIAN LIU",1480.8851289747097
"JAKOB
SSATZZTAS ONAIRUWCLFH,I ,SMJIAGKKODUTAABJN S/ KKS",1480.9836065573777
"MIKOLAJ STANIUL, JAKUB SZTORCH",1480.9978779272517
"ERWAN FISCHER, YOUENN BERTIN",1481.0007752871595
"MARCEL MARCINIAK, PATRYK ROZAK",1481.1902627004738
"KIM, BAE",1481.2048192771
"JONAS WARRER, JAKOB PRECHT JENSEN",1481.21657409778
"DENIS SHCHEGLOV, PAVEL KARACHOV",1481.2529642877623
"MATHIAS BERTHET, JEPPE NILSEN",1481.3016397425233
"JIAN XIANG, DAOKUN DENG",1481.3053643016772
"PAVLOS KAGIALIS, IOANNIS ORFANOS",1481.406574672495
"HENRY LLOYD WILLIAMS, WILL ALLOWAY",1481.4529541669299
"MAOR ABU, YAM WIRTHEIM",1481.5563308427152
"DYLAN JANUS, CONOR HAY",1481.5699765896732
"WERKEN
PRRAESCK,H TF RJEEDNERSIKEN,",1481.6393442622957
"BACON, ROCHFORD",1481.6867469879435
"PHILLIP LYNGBEK, LAURITS JENSEN",1481.718080566832
"NATHAN HOUSBERG, MALCOLM LAMPHERE",1481.9150033721528
"RODOLFO PIRES, GONCALO PIRES",1482.0085097224855
"UBERTO CRIVELLI VISCONTI, LEONARDO CHISTE",1482.0193741299258
"WILLIAM BRIDGE, JOSHUA SLOMAN",1482.0827971024935
"MIN GYU JEONG, JOONOH JIN",1482.1118863982708
"SHIMAKURA, KAMISONODA",1482.168674698787
"MARTIN MIKKOLA, MARKUS IHAMUOTILA",1482.1831968459016
"NARENDRA SINGH, SAKTHIVEL SEKAR",1482.2144552107682
"FABIAN SCHREINER, LAURA SCHREINER",1482.2222222222226
"NICKLAS HOJEGAARD, VICTOR LOMHOLT",1482.2222222222226
"EVAN SJOSTEDT, GARRETT BROWN",1482.2844979902886
"LEHMANN, NICLAS / HABERL, NIKLAS",1482.2950819672137
"XIN WANG, TIANYU QI",1482.4604796795054
"JOHN COOLEY, THOMAS CUNICH",1482.5134570041362
"TELIS ATHANASOPOULOS YOGO, GEORGE TSOULFAS",1482.5453824998006
"LUKAS KAMMERER, PAUL EBENBICHLER",1482.5919623231687
"HAYDEN BROWN, MACKENZIE BIRD",1482.5956176153138
"BENJI DANIEL, ALEX BURGER",1482.597762168887
