,Rating
"CRAIG KEENAN, GAVIN NINNES",964.6359236340958
"JIAN XIANG, DAOKUN DENG",982.1859208965382
"KEVIN FISCHER, JAUVIN YANN",1003.2990600336152
"NARENDRA SINGH, SAKTHIVEL SEKAR",1016.2077487177538
"BRIJRAJ VERMA, PANKAJ KUMAR",1032.7152592171067
"RODOLFO PIRES, GONCALO PIRES",1048.1607234403898
"BEN PATERSON, SEAN PATERSON",1048.9104700308312
"JONAS WARRER, JAKOB PRECHT JENSEN",1058.667475482791
"SANDIP JAIN, MUNNA PANDIT",1080.431272255834
"RUAL LUCAS, AMOROS EMILE, CLUB",1098.2700233800447
"HAENSSLER MAX, HAENSSLER FRED",1099.998109241116
"FISCHER KEVIN, JAUVIN YANN, BESSE",1100.3137478360081
"PPIRAZSYEBCYKTIE, KJ,A CLEUKKSSZ",1110.1234579660502
"STUART BITHELL, JOHN PINK",1110.23066809196
"KJELL HASCHEN, IVEN FROMM",1110.9375544052086
"BARROWS, HENKEN",1116.091014694535
"WESTBERG HANNES, TBC, ROYAL",1122.3958663978888
"SYLVAN CARL, ANJEMARK MARCUS",1123.1665287740382
"ANDRE REGUERO, ANDRE GUARAGNA",1125.641791201732
"XIN WANG, CHAO XIANG",1125.7760038156023
"HENRY LLOYD WILLIAMS, WILL ALLOWAY",1126.2269080652113
"LEWIS ANDERSON, REECE CAULFIELD",1131.0742112477187
"MATTEO PILATI, FRANCESCO RUBAGOTTI",1132.8779842209094
"RYAN SEATON ,  MATT MCGOVERN",1133.6228325786115
GARCIA PORTELA FERNANDEZ FUERTES,1134.2777403625478
"DE VOS, JANSSEN",1135.0383239667008
"JAKOB_x000D_
SSATZZTAS ONAIRUWCLFH,I ,SMJIAGKKODUTAABJN S/ KKS",1135.2080237935663
"NATHAN HOUSBERG, MALCOLM LAMPHERE",1136.4763044387912
"TOM PELSMAEKERS, YANNICK LEFEBVRE",1139.7673472278527
"GUSTAV AASHOLM-BRADLEY, FREDERIK RAGAN MELBYE",1140.1695392658542
"ANAND THAKUR, VISHAL THAKUR",1140.4335278853894
"PAVLOS KAGIALIS, IOANNIS ORFANOS",1141.0125274143682
"WILL PHILLIPS, SAM PHILLIPS",1143.5936887037908
"VALENTIN JELL, PATRICK RUESS",1145.6557802872446
"STALHEIM JESPER, CHRISTENSSEN HUGO",1146.043806240988
"JUSTUS SCHMIDT ,  MAX BOEHME",1148.8153634202938
"KIM, BAE",1151.2657790034127
"BACON, ROCHFORD",1151.7062534276558
"FANTELA, FANTELA",1154.0669056246547
"MATEUSZ GWOZDZ, LUKASZ MACHOWSKI",1154.5270293759688
"NAEL GWENDAL, GAUTIER GUEVEL",1154.8850572812448
"FISCHER TIM, GRAF FABIAN",1155.054033934155
"MALTHE EBDRUP, CLEMENT AASHOLM-BRADLEY",1157.5646190494244
"GANAPATHY KELAPANDA CHENGAPPA, VARUN ASHOK THAKKAR",1158.0735822527863
"WERKEN_x000D_
PRRAESCK,H TF RJEEDNERSIKEN,",1159.976069904822
"WARRER JONAS, KDY PRECHT JENSEN",1164.0255208485275
"ALAIN SIGN, DYLAN FLETCHER",1164.6522376964224
"JASPER STEFFENS ,  TOM LENNART BRAUCKMANN",1166.627526021101
"PIOTR SZLACHCIC, LUKASZ WLOCH",1167.7822488805266
"ALONSO TELLECHEA FEDERICO, ALONSO TELLECHEA ARTURO",1170.6330012833
"FABIAN SCHREINER, LAURA SCHREINER",1170.7003914124052
"EDVIN GIPPERTH, DENNIS FONSECA KARLSSON",1170.82766587998
"INSUB KIM, KWON JINKYUNG",1171.2053156385346
"OSCAR GUNN, LOGAN DUNNING-BECK",1174.6313160329191
"ZAIDING WEN, TIAN LIU",1175.655775668783
"MATHIAS BERTHET, JEPPE NILSEN",1176.7890337734584
"HUGO FEDRIGUCCI ,  VIRGIL AUBRIOT",1177.27168228535
"ENZO LOBRY, LOUIS RAYNAL",1177.7657461720958
"JOHN PINK, STUART BITHELL",1178.5665771686913
"AKER JOSTEIN, UNDRUM JACOB",1180.6851307864936
"ZIHE LI, DIANJI LI",1183.2200974898165
"SHIMAKURA, KAMISONODA",1183.846936733659
"MARTIN WIZNER, JAIME WIZNER",1186.067817086058
"OLE KUCK ,  MATS LUDWIG",1187.829071701255
"ROISLAND MORTEN, SKJONBERG STEFFEN",1188.1688504703536
"MUSAB AL HADI, YANN ROCHERIEUX",1189.3510801901898
"PETAR CUPAC, PAVLE KOSTOV",1189.71488723372
"DYLAN JONES, JONATHAN KELLY",1190.8480533214122
"DENIS SHCHEGLOV, PAVEL KARACHOV",1191.3280142634496
