,Rating
AGUSTINA JORDAN VON APPEN,1119.0392762114009
STRANSKY MARA,1122.4547850078761
ANDREA NORDQUIST,1123.1597034049757
VASILEIA KARACHALIOU,1141.6861135026627
ERICA PARTANEN,1151.2435969189514
BOUCKAERT LAURA,1154.2504348655598
LARS KREILAUS,1156.7125431123973
BENINI FLORIANI CHIARA,1159.106452941002
FRANCESCA FRAZZA,1163.579522130774
YUURI YAMAMOTO,1163.5800258036822
CHRISTA ANN GEORGESON,1164.9092121431925
LUKAS FANGMEYER,1166.504884697457
ANNA POHLAK,1167.124570658599
BROOKE BOGDAN,1173.7413864645787
SOPHIA MORGAN,1176.7977070842758
AINA BAUZA ROIG,1178.1098957360118
SOFIIA NAUMENKO,1182.3563329809906
VLACHOU MARIA,1183.3597949974649
MATTHEW WEARN,1183.4097514653797
DIANA MARKOVA,1189.3443378416705
KELLY MCMURRAY,1191.237078596202
AGIJA ELERTE,1191.2658227964228
MAI KAKIMOTO,1193.0035268429324
JULIAN MARIA DUARTE ARGERICH,1196.0601615320857
PHILIPP BUHL,1197.4174592555999
ALDERS KULYNYCH-IRVIN,1199.9032059246874
TIRIL BUE,1200.1267376493308
KELLY-ANN ARRINDELL,1202.44777427781
HERNANDEZ PENA ISABEL,1203.7604414134598
LUCIANA ANDREA CARDOZO,1204.9713616712381
KAILEY WARRIOR,1208.5166456150928
ROMI SAFIN,1208.8426480983737
HERMANN TOMASGAARD,1211.2033210557283
VICENTE FRANCISCO CURZI GHDINI,1213.8316224103908
NICLAS PERBAND,1214.9190979392904
HEEGAARD JOSEPHINE,1215.005219313466
MARIA JOSE PONCELL MAURIN,1217.0184916705318
AGUSTINA CANCLINI,1222.6420808193534
GRAVELY CLARA,1223.324183902547
MARENDIC PETRA,1223.3546246071323
MIURA HONOKA,1224.2456516360621
MARLENE BRANDIS,1225.1904712621083
AVERY BALDWIN,1225.5909986771499
JOAQUIN BLANCO,1226.6844452227804
PLASSCHAERT EMMA,1227.5894722212058
TODOROVA YOANA,1228.060585898842
MARCELO FREZZA,1231.403912719742
ENGDAHL SISSEL,1231.6632654038767
KLARA HIMMELOVA,1233.4545108312066
KARLA SAVAR,1235.5532376609083
EVANGELIA KARAGEORGOU,1235.9785339832977
JUSTIN NORTON,1236.215449285673
AISLING KELLER,1237.3880782732049
MANESTAR NIKA,1237.8640278781713
SCHIFFMAN HALLIE,1239.1779975557156
JUAN CRUZ PALOMBO,1240.1183303061807
JILLIAN LEE,1241.0094333665795
ASHLEY STODDART,1241.6908050469988
ANA WINTHER,1244.8941175333168
MARCO GALLO,1245.690917403266
MARTA LIVA RUPENHEITE,1246.8882722980595
TODOROVA STANISLAVA,1247.608328744343
HONOKA MIURA,1247.6662280847265
HATLOY MARINA,1248.1618631112035
MARCELO ADOLFO GONZALEZ PONDAL,1248.7865797831091
ANNA BRZOZOWSKA,1251.8717656949707
FILLAH KARIM,1255.1124454060168
NISSEN FREDERIKKE TAUL,1256.3537006856209
SOPHIE ZIMMERMANN,1257.1163479573668
DE CARINA CARLA,1257.295256151599
THOMAS VIVES POTTHOFF,1257.4099390310594
VEERAVAMSHAM VAISHNAVI,1257.8647168646798
MARIA JOSE PONCELL,1259.1695580832761
DANIELA RIVERA,1259.5470614700218
RIZZARDI CARLOTTA,1261.1728887433114
INI BEATRICE,1262.3780375449116
JIA KIM,1262.6693218908326
ZENO GREGORIN,1264.4816712616027
NIEZABITOWSKA LILLY MAY,1264.5085320796725
SABRINA FERRARA,1265.9897153152301
DEURINGER GIORGIA,1266.9266252946875
CORAILE VITTECOQ,1267.0445278668924
AUDREY FOLEY,1267.4539385975704
NORSELL MICHALA,1269.3471630964032
FRANSSEN LUCIE,1272.627366712424
ROCA DE TOGORES ASCENSION,1273.6454465749575
YANIC GENTRY,1273.8002717387246
PARODI NINA,1273.862945073031
MARTIN IGLESIAS,1274.5272430478647
TALIA HAMLIN,1275.697187296924
SVEA SAHLIN,1276.4407813250082
RAAMAT ELIISE,1277.984635162205
CAROLINE SOFIA ROSMO,1278.7495000609601
LOTTA GISSELMANN,1279.8015741536
JUELL-BERGAN NANNA SOFIE,1280.7112389415997
FACUNDO ALFARO JAIME,1283.023881614787
IGOR LES,1283.069959171323
ARSENI MARIA VITTORIA,1284.0654242295802
COMPANY BLANCA,1285.2750562482704
LARA HIMMES HIMMES,1285.9595331139706
NALBANTOGLU LARA,1286.0301636451716
PETEH TEA,1286.545912757964
