ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Nacionalidade
-,-,ANNE-MARIE RINDOM,-,Ilca 6,1.0,0,Gold,1,0,88.0,40.0,World Championship 2015,Q1,DEN
-,-,MARIT BOUWMEESTER,-,Ilca 6,2.0,0,Gold,2,0,101.0,40.0,World Championship 2015,Q1,NED
-,-,EVI VAN ACKER,-,Ilca 6,2.0,0,Gold,3,0,120.0,44.0,World Championship 2015,Q1,BEL
-,-,TUULA TENKANEN,-,Ilca 6,12.0,1,Gold,4,0,73.0,49.0,World Championship 2015,Q1,FIN
-,-,JOSEFIN OLSSON,-,Ilca 6,20.0,1,Gold,5,0,96.0,53.0,World Championship 2015,Q1,SWE
-,-,LIJIA XU,-,Ilca 6,10.0,0,Gold,6,0,127.0,84.0,World Championship 2015,Q1,CHN
-,-,ALISON YOUNG,-,Ilca 6,37.0,1,Gold,7,0,172.0,101.0,World Championship 2015,Q1,GBR
-,-,MANAMI DOI,-,Ilca 6,3.0,0,Gold,8,0,168.0,104.0,World Championship 2015,Q1,JPN
-,-,MAXIME JONKER,-,Ilca 6,6.0,0,Gold,9,0,191.0,110.0,World Championship 2015,Q1,NED
-,-,ERIKA REINEKE,-,Ilca 6,4.0,0,Gold,10,0,192.0,112.0,World Championship 2015,Q1,USA
-,-,ASHLEY STODDART,-,Ilca 6,15.0,0,Gold,11,0,179.0,112.0,World Championship 2015,Q1,AUS
-,-,MATHILDE DE KERANGAT,-,Ilca 6,15.0,1,Gold,12,0,156.0,113.0,World Championship 2015,Q1,FRA
-,-,NAZLI CAGLA DONERTAS,-,Ilca 6,14.0,0,Gold,13,0,193.0,117.0,World Championship 2015,Q1,TUR
-,-,TINA MIHELIC,-,Ilca 6,6.0,0,Gold,14,0,174.0,117.0,World Championship 2015,Q1,CRO
-,-,VIKTORIJA ANDRULYTE,-,Ilca 6,13.0,0,Gold,15,0,188.0,118.0,World Championship 2015,Q1,LTU
-,-,PAIGE RAILEY,-,Ilca 6,1.0,0,Gold,16,0,223.0,121.0,World Championship 2015,Q1,USA
-,-,AMELIE RIOU,-,Ilca 6,33.0,0,Gold,17,0,208.0,121.0,World Championship 2015,Q1,FRA
-,-,EMMA PLASSCHAERT,-,Ilca 6,9.0,0,Gold,18,0,174.0,126.0,World Championship 2015,Q1,BEL
-,-,GINTARE VOLUNGEVICIUTE-SCHEIDT,-,Ilca 6,12.0,0,Gold,19,0,199.0,128.0,World Championship 2015,Q1,LTU
-,-,VERONIKA KOZELSKA FENCLOVA,-,Ilca 6,29.0,0,Gold,20,0,221.0,139.0,World Championship 2015,Q1,CZE
-,-,LUCIA FALASCA,-,Ilca 6,9.0,0,Gold,21,0,213.0,142.0,World Championship 2015,Q1,ARG
-,-,SARA WINTHER,-,Ilca 6,16.0,0,Gold,22,0,217.0,144.0,World Championship 2015,Q1,NZL
-,-,ALICIA CEBRIAN,-,Ilca 6,39.0,1,Gold,23,0,216.0,147.0,World Championship 2015,Q1,ESP
-,-,HADDON HUGHES,-,Ilca 6,22.0,0,Gold,24,0,238.0,148.0,World Championship 2015,Q1,USA
-,-,MARTHA CATERINA FARAGUNA,-,Ilca 6,22.0,0,Gold,25,0,233.0,154.0,World Championship 2015,Q1,ITA
-,-,SARAH GUNNI TOFTEDAL,-,Ilca 6,24.0,1,Gold,26,0,237.0,162.0,World Championship 2015,Q1,DEN
-,-,DAPHNE VAN DER VAART,-,Ilca 6,36.0,1,Gold,27,0,249.0,162.0,World Championship 2015,Q1,NED
-,-,MARIE BOLOU,-,Ilca 6,11.0,0,Gold,28,0,249.0,177.0,World Championship 2015,Q1,FRA
-,-,MARTINA REINO CACHO,-,Ilca 6,23.0,1,Gold,29,0,254.0,180.0,World Championship 2015,Q1,ESP
-,-,SVENJA WEGER,-,Ilca 6,18.0,0,Gold,30,0,252.0,180.0,World Championship 2015,Q1,GER
-,-,TATIANA DROZDOVSKAYA,-,Ilca 6,26.0,0,Gold,31,0,260.0,181.0,World Championship 2015,Q1,BLR
-,-,PAULINE LIEBIG,-,Ilca 6,23.0,0,Gold,32,0,250.0,182.0,World Championship 2015,Q1,GER
-,-,AGATA BARWINSKA,-,Ilca 6,27.0,1,Gold,33,0,249.0,182.0,World Championship 2015,Q1,POL
-,-,DONGSHUANG ZHANG,-,Ilca 6,11.0,0,Gold,34,0,266.0,183.0,World Championship 2015,Q1,CHN
-,-,MARTHE ENGER EIDE,-,Ilca 6,13.0,0,Gold,35,0,271.0,183.0,World Championship 2015,Q1,NOR
-,-,OREN JACOB,-,Ilca 6,4.0,0,Gold,36,0,254.0,187.0,World Championship 2015,Q1,ISR
-,-,TANIA ELIAS CALLES,-,Ilca 6,29.0,0,Gold,37,0,293.0,191.0,World Championship 2015,Q1,MEX
-,-,BRENDA BOWSKILL,-,Ilca 6,7.0,0,Gold,38,0,256.0,194.0,World Championship 2015,Q1,CAN
-,-,MONIKA MIKKOLA,-,Ilca 6,8.0,0,Gold,39,0,281.0,196.0,World Championship 2015,Q1,FIN
-,-,PHILIPINE VAN AANHOLT,-,Ilca 6,10.0,0,Gold,40,0,278.0,200.0,World Championship 2015,Q1,ARU
-,-,PERNELLE MICHON,-,Ilca 6,33.0,1,Gold,41,0,276.0,205.0,World Championship 2015,Q1,FRA
-,-,MARIA ERDI,-,Ilca 6,18.0,0,Gold,42,0,296.0,218.0,World Championship 2015,Q1,HUN
-,-,LAURA COSENTINO,-,Ilca 6,3.0,0,Gold,43,0,326.0,224.0,World Championship 2015,Q1,ITA
-,-,CELINE THERESE HERUD,-,Ilca 6,47.0,1,Gold,44,0,322.0,229.0,World Championship 2015,Q1,NOR
-,-,GEORGINA POVALL,-,Ilca 6,5.0,0,Gold,45,0,316.0,229.0,World Championship 2015,Q1,GBR
-,-,MAITE CARLIER,-,Ilca 6,14.0,0,Gold,46,0,326.0,240.0,World Championship 2015,Q1,BEL
-,-,ELIZABETH YIN,-,Ilca 6,30.0,0,Gold,47,0,345.0,243.0,World Championship 2015,Q1,SIN
-,-,JOYCE FLORIDIA,-,Ilca 6,24.0,0,Gold,48,0,331.0,248.0,World Championship 2015,Q1,ITA
-,-,MAUD JAYET,-,Ilca 6,17.0,0,Gold,49,0,342.0,255.0,World Championship 2015,Q1,SUI
-,-,MIN GU,-,Ilca 6,7.0,0,Gold,50,0,335.0,257.0,World Championship 2015,Q1,CHN
-,-,ANNE-MARIE RINDOM,-,Ilca 6,8.0,0,Gold,1,0,88.0,40.0,World Championship 2015,Q2,DEN
-,-,MARIT BOUWMEESTER,-,Ilca 6,7.0,0,Gold,2,0,101.0,40.0,World Championship 2015,Q2,NED
-,-,EVI VAN ACKER,-,Ilca 6,12.0,0,Gold,3,0,120.0,44.0,World Championship 2015,Q2,BEL
-,-,TUULA TENKANEN,-,Ilca 6,4.0,0,Gold,4,0,73.0,49.0,World Championship 2015,Q2,FIN
-,-,JOSEFIN OLSSON,-,Ilca 6,1.0,0,Gold,5,0,96.0,53.0,World Championship 2015,Q2,SWE
-,-,LIJIA XU,-,Ilca 6,1.0,0,Gold,6,0,127.0,84.0,World Championship 2015,Q2,CHN
-,-,ALISON YOUNG,-,Ilca 6,32.0,0,Gold,7,0,172.0,101.0,World Championship 2015,Q2,GBR
-,-,MANAMI DOI,-,Ilca 6,10.0,0,Gold,8,0,168.0,104.0,World Championship 2015,Q2,JPN
-,-,MAXIME JONKER,-,Ilca 6,14.0,0,Gold,9,0,191.0,110.0,World Championship 2015,Q2,NED
-,-,ERIKA REINEKE,-,Ilca 6,10.0,0,Gold,10,0,192.0,112.0,World Championship 2015,Q2,USA
-,-,ASHLEY STODDART,-,Ilca 6,18.0,0,Gold,11,0,179.0,112.0,World Championship 2015,Q2,AUS
-,-,MATHILDE DE KERANGAT,-,Ilca 6,2.0,0,Gold,12,0,156.0,113.0,World Championship 2015,Q2,FRA
-,-,NAZLI CAGLA DONERTAS,-,Ilca 6,14.0,0,Gold,13,0,193.0,117.0,World Championship 2015,Q2,TUR
-,-,TINA MIHELIC,-,Ilca 6,9.0,0,Gold,14,0,174.0,117.0,World Championship 2015,Q2,CRO
-,-,VIKTORIJA ANDRULYTE,-,Ilca 6,8.0,0,Gold,15,0,188.0,118.0,World Championship 2015,Q2,LTU
-,-,PAIGE RAILEY,-,Ilca 6,40.0,0,Gold,16,0,223.0,121.0,World Championship 2015,Q2,USA
-,-,AMELIE RIOU,-,Ilca 6,6.0,0,Gold,17,0,208.0,121.0,World Championship 2015,Q2,FRA
-,-,EMMA PLASSCHAERT,-,Ilca 6,19.0,0,Gold,18,0,174.0,126.0,World Championship 2015,Q2,BEL
-,-,GINTARE VOLUNGEVICIUTE-SCHEIDT,-,Ilca 6,7.0,0,Gold,19,0,199.0,128.0,World Championship 2015,Q2,LTU
-,-,VERONIKA KOZELSKA FENCLOVA,-,Ilca 6,18.0,0,Gold,20,0,221.0,139.0,World Championship 2015,Q2,CZE
-,-,LUCIA FALASCA,-,Ilca 6,30.0,1,Gold,21,0,213.0,142.0,World Championship 2015,Q2,ARG
-,-,SARA WINTHER,-,Ilca 6,11.0,0,Gold,22,0,217.0,144.0,World Championship 2015,Q2,NZL
-,-,ALICIA CEBRIAN,-,Ilca 6,17.0,0,Gold,23,0,216.0,147.0,World Championship 2015,Q2,ESP
-,-,HADDON HUGHES,-,Ilca 6,25.0,0,Gold,24,0,238.0,148.0,World Championship 2015,Q2,USA
-,-,MARTHA CATERINA FARAGUNA,-,Ilca 6,2.0,0,Gold,25,0,233.0,154.0,World Championship 2015,Q2,ITA
-,-,SARAH GUNNI TOFTEDAL,-,Ilca 6,5.0,0,Gold,26,0,237.0,162.0,World Championship 2015,Q2,DEN
-,-,DAPHNE VAN DER VAART,-,Ilca 6,9.0,0,Gold,27,0,249.0,162.0,World Championship 2015,Q2,NED
-,-,MARIE BOLOU,-,Ilca 6,39.0,1,Gold,28,0,249.0,177.0,World Championship 2015,Q2,FRA
-,-,MARTINA REINO CACHO,-,Ilca 6,4.0,0,Gold,29,0,254.0,180.0,World Championship 2015,Q2,ESP
-,-,SVENJA WEGER,-,Ilca 6,16.0,0,Gold,30,0,252.0,180.0,World Championship 2015,Q2,GER
-,-,TATIANA DROZDOVSKAYA,-,Ilca 6,11.0,0,Gold,31,0,260.0,181.0,World Championship 2015,Q2,BLR
-,-,PAULINE LIEBIG,-,Ilca 6,24.0,0,Gold,32,0,250.0,182.0,World Championship 2015,Q2,GER
-,-,AGATA BARWINSKA,-,Ilca 6,13.0,0,Gold,33,0,249.0,182.0,World Championship 2015,Q2,POL
-,-,DONGSHUANG ZHANG,-,Ilca 6,12.0,0,Gold,34,0,266.0,183.0,World Championship 2015,Q2,CHN
-,-,MARTHE ENGER EIDE,-,Ilca 6,31.0,0,Gold,35,0,271.0,183.0,World Championship 2015,Q2,NOR
-,-,OREN JACOB,-,Ilca 6,5.0,0,Gold,36,0,254.0,187.0,World Championship 2015,Q2,ISR
-,-,TANIA ELIAS CALLES,-,Ilca 6,16.0,0,Gold,37,0,293.0,191.0,World Championship 2015,Q2,MEX
-,-,BRENDA BOWSKILL,-,Ilca 6,25.0,0,Gold,38,0,256.0,194.0,World Championship 2015,Q2,CAN
-,-,MONIKA MIKKOLA,-,Ilca 6,21.0,0,Gold,39,0,281.0,196.0,World Championship 2015,Q2,FIN
-,-,PHILIPINE VAN AANHOLT,-,Ilca 6,3.0,0,Gold,40,0,278.0,200.0,World Championship 2015,Q2,ARU
-,-,PERNELLE MICHON,-,Ilca 6,3.0,0,Gold,41,0,276.0,205.0,World Championship 2015,Q2,FRA
-,-,MARIA ERDI,-,Ilca 6,23.0,0,Gold,42,0,296.0,218.0,World Championship 2015,Q2,HUN
-,-,LAURA COSENTINO,-,Ilca 6,26.0,0,Gold,43,0,326.0,224.0,World Championship 2015,Q2,ITA
-,-,CELINE THERESE HERUD,-,Ilca 6,19.0,0,Gold,44,0,322.0,229.0,World Championship 2015,Q2,NOR
-,-,GEORGINA POVALL,-,Ilca 6,27.0,0,Gold,45,0,316.0,229.0,World Championship 2015,Q2,GBR
-,-,MAITE CARLIER,-,Ilca 6,20.0,0,Gold,46,0,326.0,240.0,World Championship 2015,Q2,BEL
-,-,ELIZABETH YIN,-,Ilca 6,6.0,0,Gold,47,0,345.0,243.0,World Championship 2015,Q2,SIN
-,-,JOYCE FLORIDIA,-,Ilca 6,23.0,0,Gold,48,0,331.0,248.0,World Championship 2015,Q2,ITA
-,-,MAUD JAYET,-,Ilca 6,15.0,0,Gold,49,0,342.0,255.0,World Championship 2015,Q2,SUI
-,-,MIN GU,-,Ilca 6,21.0,0,Gold,50,0,335.0,257.0,World Championship 2015,Q2,CHN
-,-,ANNE-MARIE RINDOM,-,Ilca 6,29.0,1,Gold,1,0,88.0,40.0,World Championship 2015,Q3,DEN
-,-,MARIT BOUWMEESTER,-,Ilca 6,6.0,0,Gold,2,0,101.0,40.0,World Championship 2015,Q3,NED
-,-,EVI VAN ACKER,-,Ilca 6,51.0,1,Gold,3,BFD,120.0,44.0,World Championship 2015,Q3,BEL
-,-,TUULA TENKANEN,-,Ilca 6,2.0,0,Gold,4,0,73.0,49.0,World Championship 2015,Q3,FIN
-,-,JOSEFIN OLSSON,-,Ilca 6,13.0,0,Gold,5,0,96.0,53.0,World Championship 2015,Q3,SWE
-,-,LIJIA XU,-,Ilca 6,14.0,1,Gold,6,0,127.0,84.0,World Championship 2015,Q3,CHN
-,-,ALISON YOUNG,-,Ilca 6,34.0,1,Gold,7,0,172.0,101.0,World Championship 2015,Q3,GBR
-,-,MANAMI DOI,-,Ilca 6,3.0,0,Gold,8,0,168.0,104.0,World Championship 2015,Q3,JPN
-,-,MAXIME JONKER,-,Ilca 6,46.0,1,Gold,9,0,191.0,110.0,World Championship 2015,Q3,NED
-,-,ERIKA REINEKE,-,Ilca 6,18.0,0,Gold,10,0,192.0,112.0,World Championship 2015,Q3,USA
-,-,ASHLEY STODDART,-,Ilca 6,39.0,1,Gold,11,0,179.0,112.0,World Championship 2015,Q3,AUS
-,-,MATHILDE DE KERANGAT,-,Ilca 6,12.0,0,Gold,12,0,156.0,113.0,World Championship 2015,Q3,FRA
-,-,NAZLI CAGLA DONERTAS,-,Ilca 6,9.0,0,Gold,13,0,193.0,117.0,World Championship 2015,Q3,TUR
-,-,TINA MIHELIC,-,Ilca 6,13.0,0,Gold,14,0,174.0,117.0,World Championship 2015,Q3,CRO
-,-,VIKTORIJA ANDRULYTE,-,Ilca 6,1.0,0,Gold,15,0,188.0,118.0,World Championship 2015,Q3,LTU
-,-,PAIGE RAILEY,-,Ilca 6,51.0,1,Gold,16,DNF,223.0,121.0,World Championship 2015,Q3,USA
-,-,AMELIE RIOU,-,Ilca 6,6.0,0,Gold,17,0,208.0,121.0,World Championship 2015,Q3,FRA
-,-,EMMA PLASSCHAERT,-,Ilca 6,3.0,0,Gold,18,0,174.0,126.0,World Championship 2015,Q3,BEL
-,-,GINTARE VOLUNGEVICIUTE-SCHEIDT,-,Ilca 6,4.0,0,Gold,19,0,199.0,128.0,World Championship 2015,Q3,LTU
-,-,VERONIKA KOZELSKA FENCLOVA,-,Ilca 6,22.0,0,Gold,20,0,221.0,139.0,World Championship 2015,Q3,CZE
-,-,LUCIA FALASCA,-,Ilca 6,8.0,0,Gold,21,0,213.0,142.0,World Championship 2015,Q3,ARG
-,-,SARA WINTHER,-,Ilca 6,11.0,0,Gold,22,0,217.0,144.0,World Championship 2015,Q3,NZL
-,-,ALICIA CEBRIAN,-,Ilca 6,30.0,1,Gold,23,0,216.0,147.0,World Championship 2015,Q3,ESP
-,-,HADDON HUGHES,-,Ilca 6,32.0,0,Gold,24,0,238.0,148.0,World Championship 2015,Q3,USA
-,-,MARTHA CATERINA FARAGUNA,-,Ilca 6,11.0,0,Gold,25,0,233.0,154.0,World Championship 2015,Q3,ITA
-,-,SARAH GUNNI TOFTEDAL,-,Ilca 6,17.0,0,Gold,26,0,237.0,162.0,World Championship 2015,Q3,DEN
-,-,DAPHNE VAN DER VAART,-,Ilca 6,19.0,0,Gold,27,0,249.0,162.0,World Championship 2015,Q3,NED
-,-,MARIE BOLOU,-,Ilca 6,16.0,0,Gold,28,0,249.0,177.0,World Championship 2015,Q3,FRA
-,-,MARTINA REINO CACHO,-,Ilca 6,15.0,0,Gold,29,0,254.0,180.0,World Championship 2015,Q3,ESP
-,-,SVENJA WEGER,-,Ilca 6,15.0,0,Gold,30,0,252.0,180.0,World Championship 2015,Q3,GER
-,-,TATIANA DROZDOVSKAYA,-,Ilca 6,38.0,1,Gold,31,0,260.0,181.0,World Championship 2015,Q3,BLR
-,-,PAULINE LIEBIG,-,Ilca 6,22.0,0,Gold,32,0,250.0,182.0,World Championship 2015,Q3,GER
-,-,AGATA BARWINSKA,-,Ilca 6,20.0,0,Gold,33,0,249.0,182.0,World Championship 2015,Q3,POL
-,-,DONGSHUANG ZHANG,-,Ilca 6,8.0,0,Gold,34,0,266.0,183.0,World Championship 2015,Q3,CHN
-,-,MARTHE ENGER EIDE,-,Ilca 6,29.0,0,Gold,35,0,271.0,183.0,World Championship 2015,Q3,NOR
-,-,OREN JACOB,-,Ilca 6,25.0,1,Gold,36,0,254.0,187.0,World Championship 2015,Q3,ISR
-,-,TANIA ELIAS CALLES,-,Ilca 6,10.0,0,Gold,37,0,293.0,191.0,World Championship 2015,Q3,MEX
-,-,BRENDA BOWSKILL,-,Ilca 6,25.0,0,Gold,38,0,256.0,194.0,World Championship 2015,Q3,CAN
-,-,MONIKA MIKKOLA,-,Ilca 6,9.0,0,Gold,39,0,281.0,196.0,World Championship 2015,Q3,FIN
-,-,PHILIPINE VAN AANHOLT,-,Ilca 6,16.0,0,Gold,40,0,278.0,200.0,World Championship 2015,Q3,ARU
-,-,PERNELLE MICHON,-,Ilca 6,23.0,0,Gold,41,0,276.0,205.0,World Championship 2015,Q3,FRA
-,-,MARIA ERDI,-,Ilca 6,5.0,0,Gold,42,0,296.0,218.0,World Championship 2015,Q3,HUN
-,-,LAURA COSENTINO,-,Ilca 6,4.0,0,Gold,43,0,326.0,224.0,World Championship 2015,Q3,ITA
-,-,CELINE THERESE HERUD,-,Ilca 6,2.0,0,Gold,44,0,322.0,229.0,World Championship 2015,Q3,NOR
-,-,GEORGINA POVALL,-,Ilca 6,17.0,0,Gold,45,0,316.0,229.0,World Championship 2015,Q3,GBR
-,-,MAITE CARLIER,-,Ilca 6,10.0,0,Gold,46,0,326.0,240.0,World Championship 2015,Q3,BEL
-,-,ELIZABETH YIN,-,Ilca 6,5.0,0,Gold,47,0,345.0,243.0,World Championship 2015,Q3,SIN
-,-,JOYCE FLORIDIA,-,Ilca 6,19.0,0,Gold,48,0,331.0,248.0,World Championship 2015,Q3,ITA
-,-,MAUD JAYET,-,Ilca 6,26.0,0,Gold,49,0,342.0,255.0,World Championship 2015,Q3,SUI
-,-,MIN GU,-,Ilca 6,1.0,0,Gold,50,0,335.0,257.0,World Championship 2015,Q3,CHN
-,-,ANNE-MARIE RINDOM,-,Ilca 6,1.0,0,Gold,1,0,88.0,40.0,World Championship 2015,Q4,DEN
-,-,MARIT BOUWMEESTER,-,Ilca 6,4.0,0,Gold,2,0,101.0,40.0,World Championship 2015,Q4,NED
-,-,EVI VAN ACKER,-,Ilca 6,1.0,0,Gold,3,0,120.0,44.0,World Championship 2015,Q4,BEL
-,-,TUULA TENKANEN,-,Ilca 6,8.0,0,Gold,4,0,73.0,49.0,World Championship 2015,Q4,FIN
-,-,JOSEFIN OLSSON,-,Ilca 6,6.0,0,Gold,5,0,96.0,53.0,World Championship 2015,Q4,SWE
-,-,LIJIA XU,-,Ilca 6,3.0,0,Gold,6,0,127.0,84.0,World Championship 2015,Q4,CHN
-,-,ALISON YOUNG,-,Ilca 6,25.0,0,Gold,7,0,172.0,101.0,World Championship 2015,Q4,GBR
-,-,MANAMI DOI,-,Ilca 6,17.0,1,Gold,8,0,168.0,104.0,World Championship 2015,Q4,JPN
-,-,MAXIME JONKER,-,Ilca 6,5.0,0,Gold,9,0,191.0,110.0,World Championship 2015,Q4,NED
-,-,ERIKA REINEKE,-,Ilca 6,6.0,0,Gold,10,0,192.0,112.0,World Championship 2015,Q4,USA
-,-,ASHLEY STODDART,-,Ilca 6,11.0,0,Gold,11,0,179.0,112.0,World Championship 2015,Q4,AUS
-,-,MATHILDE DE KERANGAT,-,Ilca 6,12.0,0,Gold,12,0,156.0,113.0,World Championship 2015,Q4,FRA
-,-,NAZLI CAGLA DONERTAS,-,Ilca 6,25.0,1,Gold,13,0,193.0,117.0,World Championship 2015,Q4,TUR
-,-,TINA MIHELIC,-,Ilca 6,7.0,0,Gold,14,0,174.0,117.0,World Championship 2015,Q4,CRO
-,-,VIKTORIJA ANDRULYTE,-,Ilca 6,30.0,1,Gold,15,0,188.0,118.0,World Championship 2015,Q4,LTU
-,-,PAIGE RAILEY,-,Ilca 6,2.0,0,Gold,16,0,223.0,121.0,World Championship 2015,Q4,USA
-,-,AMELIE RIOU,-,Ilca 6,11.0,0,Gold,17,0,208.0,121.0,World Championship 2015,Q4,FRA
-,-,EMMA PLASSCHAERT,-,Ilca 6,10.0,0,Gold,18,0,174.0,126.0,World Championship 2015,Q4,BEL
-,-,GINTARE VOLUNGEVICIUTE-SCHEIDT,-,Ilca 6,20.0,1,Gold,19,0,199.0,128.0,World Championship 2015,Q4,LTU
-,-,VERONIKA KOZELSKA FENCLOVA,-,Ilca 6,10.0,0,Gold,20,0,221.0,139.0,World Championship 2015,Q4,CZE
-,-,LUCIA FALASCA,-,Ilca 6,18.0,0,Gold,21,0,213.0,142.0,World Championship 2015,Q4,ARG
-,-,SARA WINTHER,-,Ilca 6,9.0,0,Gold,22,0,217.0,144.0,World Championship 2015,Q4,NZL
-,-,ALICIA CEBRIAN,-,Ilca 6,15.0,0,Gold,23,0,216.0,147.0,World Championship 2015,Q4,ESP
-,-,HADDON HUGHES,-,Ilca 6,3.0,0,Gold,24,0,238.0,148.0,World Championship 2015,Q4,USA
-,-,MARTHA CATERINA FARAGUNA,-,Ilca 6,4.0,0,Gold,25,0,233.0,154.0,World Championship 2015,Q4,ITA
-,-,SARAH GUNNI TOFTEDAL,-,Ilca 6,9.0,0,Gold,26,0,237.0,162.0,World Championship 2015,Q4,DEN
-,-,DAPHNE VAN DER VAART,-,Ilca 6,7.0,0,Gold,27,0,249.0,162.0,World Championship 2015,Q4,NED
-,-,MARIE BOLOU,-,Ilca 6,19.0,0,Gold,28,0,249.0,177.0,World Championship 2015,Q4,FRA
-,-,MARTINA REINO CACHO,-,Ilca 6,22.0,0,Gold,29,0,254.0,180.0,World Championship 2015,Q4,ESP
-,-,SVENJA WEGER,-,Ilca 6,37.0,1,Gold,30,0,252.0,180.0,World Championship 2015,Q4,GER
-,-,TATIANA DROZDOVSKAYA,-,Ilca 6,22.0,0,Gold,31,0,260.0,181.0,World Championship 2015,Q4,BLR
-,-,PAULINE LIEBIG,-,Ilca 6,21.0,0,Gold,32,0,250.0,182.0,World Championship 2015,Q4,GER
-,-,AGATA BARWINSKA,-,Ilca 6,16.0,0,Gold,33,0,249.0,182.0,World Championship 2015,Q4,POL
-,-,DONGSHUANG ZHANG,-,Ilca 6,31.0,0,Gold,34,0,266.0,183.0,World Championship 2015,Q4,CHN
-,-,MARTHE ENGER EIDE,-,Ilca 6,5.0,0,Gold,35,0,271.0,183.0,World Championship 2015,Q4,NOR
-,-,OREN JACOB,-,Ilca 6,13.0,0,Gold,36,0,254.0,187.0,World Championship 2015,Q4,ISR
-,-,TANIA ELIAS CALLES,-,Ilca 6,24.0,0,Gold,37,0,293.0,191.0,World Championship 2015,Q4,MEX
-,-,BRENDA BOWSKILL,-,Ilca 6,26.0,1,Gold,38,0,256.0,194.0,World Championship 2015,Q4,CAN
-,-,MONIKA MIKKOLA,-,Ilca 6,38.0,1,Gold,39,0,281.0,196.0,World Championship 2015,Q4,FIN
-,-,PHILIPINE VAN AANHOLT,-,Ilca 6,13.0,0,Gold,40,0,278.0,200.0,World Championship 2015,Q4,ARU
-,-,PERNELLE MICHON,-,Ilca 6,30.0,0,Gold,41,0,276.0,205.0,World Championship 2015,Q4,FRA
-,-,MARIA ERDI,-,Ilca 6,14.0,0,Gold,42,0,296.0,218.0,World Championship 2015,Q4,HUN
-,-,LAURA COSENTINO,-,Ilca 6,33.0,0,Gold,43,0,326.0,224.0,World Championship 2015,Q4,ITA
-,-,CELINE THERESE HERUD,-,Ilca 6,39.0,0,Gold,44,0,322.0,229.0,World Championship 2015,Q4,NOR
-,-,GEORGINA POVALL,-,Ilca 6,36.0,1,Gold,45,0,316.0,229.0,World Championship 2015,Q4,GBR
-,-,MAITE CARLIER,-,Ilca 6,29.0,0,Gold,46,0,326.0,240.0,World Championship 2015,Q4,BEL
-,-,ELIZABETH YIN,-,Ilca 6,32.0,0,Gold,47,0,345.0,243.0,World Championship 2015,Q4,SIN
-,-,JOYCE FLORIDIA,-,Ilca 6,8.0,0,Gold,48,0,331.0,248.0,World Championship 2015,Q4,ITA
-,-,MAUD JAYET,-,Ilca 6,18.0,0,Gold,49,0,342.0,255.0,World Championship 2015,Q4,SUI
-,-,MIN GU,-,Ilca 6,23.0,0,Gold,50,0,335.0,257.0,World Championship 2015,Q4,CHN
-,-,ANNE-MARIE RINDOM,-,Ilca 6,7.0,0,Gold,1,0,88.0,40.0,World Championship 2015,Q5,DEN
-,-,MARIT BOUWMEESTER,-,Ilca 6,51.0,1,Gold,2,BFD,101.0,40.0,World Championship 2015,Q5,NED
-,-,EVI VAN ACKER,-,Ilca 6,1.0,0,Gold,3,0,120.0,44.0,World Championship 2015,Q5,BEL
-,-,TUULA TENKANEN,-,Ilca 6,6.0,0,Gold,4,0,73.0,49.0,World Championship 2015,Q5,FIN
-,-,JOSEFIN OLSSON,-,Ilca 6,4.0,0,Gold,5,0,96.0,53.0,World Championship 2015,Q5,SWE
-,-,LIJIA XU,-,Ilca 6,10.0,0,Gold,6,0,127.0,84.0,World Championship 2015,Q5,CHN
-,-,ALISON YOUNG,-,Ilca 6,4.0,0,Gold,7,0,172.0,101.0,World Championship 2015,Q5,GBR
-,-,MANAMI DOI,-,Ilca 6,5.0,0,Gold,8,0,168.0,104.0,World Championship 2015,Q5,JPN
-,-,MAXIME JONKER,-,Ilca 6,2.0,0,Gold,9,0,191.0,110.0,World Championship 2015,Q5,NED
-,-,ERIKA REINEKE,-,Ilca 6,8.0,0,Gold,10,0,192.0,112.0,World Championship 2015,Q5,USA
