Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
"DAHLBERG ANTON, KARLSSON LOVISA",7,470,1,G,1,0,45,35,Semaine Olympique Francaise De Voile 2022,R1,0
"MACHETTI HIPPOLYTE, RETORNAZ ALOISE",7,470,2,G,2,0,54,42,Semaine Olympique Francaise De Voile 2022,R1,0
"WANSER LUISE, AUTENRIETH PHILIPP",7,470,5,G,3,0,66,51,Semaine Olympique Francaise De Voile 2022,R1,0
"FERRARI GIACOMO, CARUSO BIANCA",7,470,3,G,4,0,68,53,Semaine Olympique Francaise De Voile 2022,R1,0
"VADLAU LARA, MAHR LUKAS",7,470,7,G,5,0,68,54,Semaine Olympique Francaise De Voile 2022,R1,0
"MERMOD YVES, SIEGENTHALER MAJA",7,470,10,G,6,0,71,55,Semaine Olympique Francaise De Voile 2022,R1,0
"XAMMAR JORDI, BRUGMAN NORA",7,470,9,G,7,0,82,55,Semaine Olympique Francaise De Voile 2022,R1,0
"WRIGLEY MARTIN, MCINTYRE EILIDH",7,470,3,G,8,0,87,60,Semaine Olympique Francaise De Voile 2022,R1,0
"KEIJU OKADA, YOSHIOKA MIHO",7,470,14,G,9,0,81,64,Semaine Olympique Francaise De Voile 2022,R1,0
"HEATHCOTE VITA, ORR RYAN",7,470,5,G,10,0,94,79,Semaine Olympique Francaise De Voile 2022,R1,0
"GRADONI MARCO, DUBBINI ALESSANDRA",7,470,6,G,11,0,87,60,Semaine Olympique Francaise De Voile 2022,R1,0
"CHARLWOOD CHRIS, CATT AMELIA",7,470,2,G,12,0,78,60,Semaine Olympique Francaise De Voile 2022,R1,0
DAHNKE THERES CIPRA MATTI,7,470,9,G,13,0,80,60,Semaine Olympique Francaise De Voile 2022,R1,0
"PACAUD MATISSE, DE GENNES LUCIE",7,470,8,G,14,0,76,61,Semaine Olympique Francaise De Voile 2022,R1,0
"WINKEL MALTE, WINKEL ANASTASIYA",7,470,1,G,15,0,83,62,Semaine Olympique Francaise De Voile 2022,R1,0
BOVER MARIA GARCIA PABLO,7,470,12,G,16,0,95,72,Semaine Olympique Francaise De Voile 2022,R1,0
"PAPOUTSOGLOU VASILIS, KLONARIDOU RAFAILINA",7,470,23.0,G,17,0,97,74,Semaine Olympique Francaise De Voile 2022,R1,1
"JERWOOD NIA, NICHOLAS CONOR",7,470,10,G,18,0,109,84,Semaine Olympique Francaise De Voile 2022,R1,0
"TOTIS ANDREW, LINUSSI ALICE",7,470,12,G,19,0,118,94,Semaine Olympique Francaise De Voile 2022,R1,0
"BERGSTROM OLIVIA, CHRISTENSSON HUGO",7,470,8,G,20,0,123,99,Semaine Olympique Francaise De Voile 2022,R1,0
"BERTA ELENA, IZZO JACOPO",7,470,13,G,21,0,122,103,Semaine Olympique Francaise De Voile 2022,R1,0
"FAHRNI LINDA, SCHUPBACH CYRIL",7,470,19,G,22,0,132,107,Semaine Olympique Francaise De Voile 2022,R1,0
"COSTA DIOGO, JOAO CAROLINA",7,470,15,G,23,0,136,109,Semaine Olympique Francaise De Voile 2022,R1,0
"DUQUE JULIANA, MARTINS RAFAEL",7,470,6,G,24,0,133,110,Semaine Olympique Francaise De Voile 2022,R1,0
"LE CLECH HUGO, COLOMBE JULIA",7,470,11,G,25,0,134,112,Semaine Olympique Francaise De Voile 2022,R1,0
TAVELLA MARIA BELA(C)N RENNA FRANCISCO,7,470,16,G,26,0,148,123,Semaine Olympique Francaise De Voile 2022,R1,0
"TAKAYAMA DAICHI, MORITA FUYUKA",7,470,4,G,27,0,97,70,Semaine Olympique Francaise De Voile 2022,R1,0
