ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,ERICK MARCONDES DE M.CARPES,3,Ilca 6,1,0,O,1,,24,15,Central and South American Championship 2023,Q1
,,LUCIA FALASCA,3,Ilca 6,2,0,O,2,,34,22,Central and South American Championship 2023,Q1
,,GABRIELLA MARQUES KIDD,3,Ilca 6,3,0,O,3,,52,33,Central and South American Championship 2023,Q1
,,DOLORES MOREIRA FRASCHINI,3,Ilca 6,4,0,O,4,,52,37,Central and South American Championship 2023,Q1
,,FLORENCIA CHIARELLA SALAS,3,Ilca 6,5,0,O,5,,61,44,Central and South American Championship 2023,Q1
,,STEFANO ANDRE PENDOLA DE LA TORRE,3,Ilca 6,4,0,O,6,,69,54,Central and South American Championship 2023,Q1
,,THOMAS VIVES POTTHOFF,3,Ilca 6,3,0,O,7,,86,60,Central and South American Championship 2023,Q1
,,LUCIANA ANDREA CARDOZO,3,Ilca 6,2,0,O,8,,100,62,Central and South American Championship 2023,Q1
,,JULIAN MARIA DUARTE ARGERICH,3,Ilca 6,6,0,O,9,,80,63,Central and South American Championship 2023,Q1
,,FRANCISCO MAROTTA,3,Ilca 6,8,0,O,10,,105,78,Central and South American Championship 2023,Q1
,,JOAQUIN GALVAN,3,Ilca 6,10,0,O,11,,106,86,Central and South American Championship 2023,Q1
,,SOPHIE ZIMMERMANN VEJA,3,Ilca 6,9,0,O,12,,105,87,Central and South American Championship 2023,Q1
,,ANTONIO RIBEIRO MACHADO,3,Ilca 6,7,0,O,13,,120,89,Central and South American Championship 2023,Q1
,,CATERINA ISABEL ROMERO AGUIRRE,3,Ilca 6,6,0,O,14,,115,90,Central and South American Championship 2023,Q1
,,AGUSTIN GONZALEZ VILLALBA,3,Ilca 6,1,0,O,15,,122,90,Central and South American Championship 2023,Q1
,,FRANCISCO GOMEZ,3,Ilca 6,UFD,0,O,16,UFD,130,92,Central and South American Championship 2023,Q1
,,CRISTINA CASTELLANOS ESTRADA,3,Ilca 6,23,0,O,17,,116,93,Central and South American Championship 2023,Q1
,,AGUSTINA JORDAN,3,Ilca 6,11,0,O,18,,128,98,Central and South American Championship 2023,Q1
,,"DELFINA ""DELFI! DE SETA DALLI",3,Ilca 6,10,0,O,19,,126,98,Central and South American Championship 2023,Q1
,,LUCAS MOMES RUIZ,3,Ilca 6,14,0,O,20,,136,103,Central and South American Championship 2023,Q1
,,NICOLAS CASTELARI RIVAS,3,Ilca 6,8,0,O,21,,127,103,Central and South American Championship 2023,Q1
,,NICO GAINSCHUK,3,Ilca 6,15,0,O,22,,135,109,Central and South American Championship 2023,Q1
,,MARIA GRACIA VEGAS TRIVELLI,3,Ilca 6,13,0,O,23,,147,116,Central and South American Championship 2023,Q1
,,FEDERICO SIEBERT FRANCAVILLA,3,Ilca 6,34,0,O,24,,155,117,Central and South American Championship 2023,Q1
,,JOAQUIM DUARTE ARGERICH,3,Ilca 6,16,0,O,25,,170,142,Central and South American Championship 2023,Q1
,,FELIPE WENZEL,3,Ilca 6,29,0,O,26,,197,162,Central and South American Championship 2023,Q1
,,NAINA MARIA PINTO,3,Ilca 6,5,0,O,27,,203,165,Central and South American Championship 2023,Q1
,,MATEO VIDAL,3,Ilca 6,13,0,O,28,,206,168,Central and South American Championship 2023,Q1
