ID Resultado,ID Competidor,Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,HELENE NOESMOEN,4.0,IQFOIL Fem,5.0,1,G,1,0,31.0,13.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,ISLAY WATSON,4.0,IQFOIL Fem,3.0,0,G,2,0,146.7,42.7,European Championship 2021 - Gold Fleet & Medal Race,R1
,,SHACHAR RESHEF,4.0,IQFOIL Fem,1.0,0,G,3,0,113.0,46.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,LUCIE BELBEOCH,4.0,IQFOIL Fem,1.0,0,G,4,0,85.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,SASKIA SILLS,4.0,IQFOIL Fem,1.0,0,G,5,0,108.0,52.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,PILAR LAMADRID TRUEBA,4.0,IQFOIL Fem,25.0,1,G,6,0,162.0,68.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,PALMA CARGO,4.0,IQFOIL Fem,13.0,0,G,7,0,113.6,80.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,NICOLE VAN DER VELDEN,4.0,IQFOIL Fem,9.0,0,G,8,0,118.0,81.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,MAJA DZIARNOWSKA,4.0,IQFOIL Fem,5.0,0,G,9,0,135.0,85.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,MAYA MORRIS,4.0,IQFOIL Fem,9.0,0,G,10,0,125.0,87.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,WENNEKES SARA,4.0,IQFOIL Fem,17.0,0,G,11,0,127.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,DANIELA PELEG,4.0,IQFOIL Fem,3.0,0,G,12,0,139.0,89.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,MARTA MAGGETTI,4.0,IQFOIL Fem,3.0,0,G,13,0,131.0,91.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,SHARON KANTOR,4.0,IQFOIL Fem,7.0,0,G,14,0,139.0,93.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,LOLA SORIN,4.0,IQFOIL Fem,5.0,0,G,15,0,138.0,100.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,MARIANA AGUILAR-CHAVEZ-PEON,4.0,IQFOIL Fem,15.0,0,G,16,0,145.2,105.2,European Championship 2021 - Gold Fleet & Medal Race,R1
,,HELLE OPPEDAL,4.0,IQFOIL Fem,13.0,0,G,17,0,153.5,105.5,European Championship 2021 - Gold Fleet & Medal Race,R1
,,NAAMA GAZIT,4.0,IQFOIL Fem,7.0,0,G,18,0,166.0,115.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,LENA ERDIL,4.0,IQFOIL Fem,19.0,0,G,19,0,190.0,130.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,MARION MORTEFON,4.0,IQFOIL Fem,7.0,0,G,20,0,192.0,133.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,MANON PIANAZZA,4.0,IQFOIL Fem,5.0,0,G,21,0,209.0,144.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,DELPHINE COUSIN,4.0,IQFOIL Fem,21.0,0,G,22,0,253.0,151.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,GIORGIA SPECIALE,4.0,IQFOIL Fem,1.0,0,G,23,0,228.0,153.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,ALICE READ,4.0,IQFOIL Fem,25.0,0,G,24,0,272.0,160.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,GIBSON ALYSIA,4.0,IQFOIL Fem,3.0,0,G,25,0,251.0,163.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,GIOVANNA PRADA,4.0,IQFOIL Fem,7.0,0,G,26,0,252.0,167.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,AMBAR PAPAZIAN,4.0,IQFOIL Fem,11.0,0,G,27,0,246.0,176.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,MARION COUTURIER,4.0,IQFOIL Fem,21.0,0,G,28,0,259.0,177.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,SHAHAR TIBI,4.0,IQFOIL Fem,25.0,0,G,29,0,248.0,181.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,KATERINA SVIKOVA,4.0,IQFOIL Fem,11.0,0,G,30,0,267.0,196.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,MINA MOBEKK,4.0,IQFOIL Fem,29.0,0,G,31,0,277.0,204.0,European Championship 2021 - Gold Fleet & Medal Race,R1
,,NEEV ROBINSON,4.0,IQFOIL Fem,23.0,0,G,32,0,301.0,223.0,European Championship 2021 - Gold Fleet & Medal Race,R1
