Pos;Sail #;Bow;Crew / Club;"1Q(SL)2Q(SL)3Q(SL)4Q(SL)5Q(CR)6Q(CR)7Q(CR)8Q(CR)9F(CR)10F(CR1)1F(MA1)2F(MA1)3F(CR1)4F(CR1)5F(CR1)6F(CR1)7F(SL1)8F(SL1)9F(SL2)0F(SL)MR     TOTAL      NET
(rank)";;;;;;;;;;;;;;;;;;;;;;
1;FRA 57;;NOESMOEN, Hélène;-3;1;3;3;1;-11;1;2;2;1;9;9;-24;2;DNF (49);11;7;9;13;3;1;164;77
2;GBR 7;;WILSON, Emma;-5;3;1;3;1;1;-10;2;1;3;4;4;3;1;BFD (49);2;-21;7;7;1;2;129;44
3;POL 7;;DZIARNOWSKA, Maja;1;5;3;1;-9;-9;6;4;3;6;7;7;13;4;1;4;15;-39;7;-21;3;165;87
4;GBR 529;;WATSON, Islay;3;1;1;-5;4;3;-8;1;19;29;RDG 13;RDG 13;5;19;5;1;DSQ (49);BFD (49);3;7;4;238;127
5;NED 33;;WENNEKES, Sara;-19;7;7;-21;5;10;3;4;5;12;16;16;8;24;4;10;-37;7;11;-43;5;269;149
6;ITA 157;;MAGGETTI , Marta;9;BFD (49);13;-17;14;7;5;12;9;2;6;6;18;3;2;21;17;-35;21;-33;6;299;165
7;MEX 28;;AGUILAR CHAVEZ PEON,;9;11;-13;13;2;5;-15;5;10;-39;3;3;2;12;8;20;-27;1;9;21;7;228;134
8;ESP 12;;LAMADRID TRUEBA, Pilar;1;-13;1;1;2;6;-8;5;6;5;24;24;1;RET (49);19;16;15;BFD (49);1;15;8;261;142
9;ISR 2;;PELEG, Daniela;5;9;11;-21;7;1;-13;6;21;-37;12;12;4;7;3;5;-35;11;23;19;9;262;156
10;ISR 3;;TIBI, Shahar;7;3;3;1;3;4;-12;-8;BFD (49);27;1;1;11;5;38;18;1;5;-45;39;10;281;167
11;ESP 132;;VAN DER VELDEN, Nicole;3;-17;5;-9;8;3;3;6;30;9;2;2;-38;6;-35;7;19;15;27;23;;267;168
12;NZL 1;;TEN HAVE , Veerle;-25;BFD (49);9;7;3;4;2;8;11;28;8;8;23;-32;15;3;BFD (49);5;21;13;;323;168
13;FRA 775;;COUSIN, Delphine;-17;1;17;DNF (49);10;15;5;9;4;-40;18;18;27;11;14;-44;3;33;9;5;;349;199
14;CRO 991;;CARGO, Palma;-9;5;7;-9;4;5;1;3;27;10;-32;32;6;17;32;8;13;BFD (49);1;29;;299;200
15;NED 3;;DE GEUS , Lilian;5;3;-15;7;6;-8;7;7;26;-43;17;17;12;9;7;28;11;-41;35;3;;307;200
16;FRA 18;;BELBEOCH, Lucie;7;7;5;7;6;-10;2;-27;20;17;21;21;-26;15;9;17;BFD (49);3;23;25;;317;205
17;PER 7;;BAZO GERMAN , Maria;23;BFD (49);3;13;15;19;9;BFD (49);12;16;13;13;-45;16;6;9;25;BFD (49);13;11;;408;216
18;ITA 1;;SPECIALE, Giorgia;-17;15;11;11;9;-27;4;14;24;20;10;10;7;26;-29;14;9;13;19;-39;;328;216
19;FRA 31;;SORIN, Lola;11;5;BFD (49);7;8;15;10;-17;14;31;11;11;10;-37;27;26;3;BFD (49);25;11;;377;225
20;ISR 390;;KANTOR, Sharon;13;BFD (49);-15;13;7;2;4;7;7;7;19;19;25;-38;12;13;25;37;31;-45;;388;241
21;ISR 351;;RESHEF, Shahar;11;1;1;1;-19;12;-30;9;BFD (49);24;22;22;9;13;37;-46;39;3;5;43;;396;252
22;POL 230;;KUCHTA, Maja;-23;-25;21;17;12;7;15;10;28;8;-31;31;15;8;21;6;-45;21;15;17;;376;252
23;GBR 956;;SILLS, Saskia;3;5;5;-15;-11;6;6;3;8;4;5;5;40;20;BFD (49);39;11;DNC (49);DNC 49;DNC 49;;382;258
24;GBR 323;;WILLIAMS, Catrin;-33;9;5;DNF (49);5;8;16;1;-44;26;14;14;42;BFD (49);34;12;27;27;29;9;;453;278
25;ESP 345;;TORRES, Andrea;-25;-29;19;15;15;11;19;15;18;23;15;15;-43;27;-43;42;33;1;5;7;;420;280
26;FIN 6;;BLINNIKKA, Aleksandra;1;11;15;-21;14;-21;14;14;23;-36;30;30;30;36;13;29;5;17;-37;9;;406;291
27;FRA 712;;PIANAZZA, Manon;9;17;-23;-23;18;22;11;19;25;11;-38;38;20;23;30;23;7;9;-43;15;;424;297
28;ISR 7;;MORRIS, Maya;7;11;9;3;-16;2;-16;16;-35;22;35;35;28;34;-41;22;5;15;31;25;;408;300
29;HKG 3;;MA, Kwan Ching;-33;19;19;17;-21;17;13;16;29;13;-40;-40;17;35;11;33;9;13;17;33;;445;311
30;FRA 11;;COUTURIER, Marion;15;BFD (49);BFD (49);9;25;13;7;11;16;15;34;34;29;18;22;19;23;BFD (49);-39;27;;503;317
31;CZE 89;;SVIKOVA, Katerina;15;19;7;-33;16;-31;17;20;-41;14;23;23;22;-39;17;37;21;11;27;29;;462;318
32;CZE 98;;SVIKOVA, Barbora;15;15;-35;11;13;12;-27;22;-42;19;29;29;16;30;31;41;-43;17;15;17;;479;332
33;ISR 83;;GAZIT, Naama;-19;19;11;13;11;14;-22;18;-39;30;36;36;-39;14;20;27;13;23;17;35;;456;337
34;FRA 118;;MORTEFON, Marion;1;7;-43;11;21;14;BFD (49);22;37;38;-39;39;21;33;26;32;1;29;-45;13;;521;345
35;NOR 332;;MOBEKK, Mina;17;DSQ (49);21;5;10;20;-23;13;-40;-34;27;27;19;28;10;24;33;29;33;31;;493;347
36;NOR 39;;OPPEDAL, Helle;-31;BFD (49);23;3;17;13;18;10;32;-44;20;20;32;10;-39;30;29;31;25;35;;511;348
37;FRA 19;;PAPAZIAN, Ambar;21;3;7;19;20;-24;24;-26;13;41;28;28;-47;42;28;-47;19;25;19;19;;500;356
38;POL 77;;NOCETI KLEPACKA, Zofia;7;13;13;BFD (49);22;-26;18;24;17;-42;42;42;14;22;DNF (49);15;17;33;29;31;;525;359
39;CZE 11;;ALTMANNOVA, Katerina;13;-21;17;BFD (49);13;21;17;19;22;18;37;37;-48;21;18;36;31;23;-41;27;;529;370
40;CZE 289;;PINOSOVA, Kristyna;11;9;9;5;-23;23;-33;21;38;BFD (49);DSQ (49);DSQ 49;37;BFD 49;25;35;39;19;3;1;;527;373
41;ISR 32;;SPYCHAKOV , Katy;13;15;-25;11;-17;16;9;13;31;35;-43;43;33;25;36;40;23;-45;11;23;;507;377
42;GBR 714;;HALL, Emily;5;17;19;DNF (49);-24;17;14;15;15;33;33;33;41;-45;23;-45;29;25;35;37;;554;391
43;GBR 248;;READ, Alice;-37;15;11;DNF (49);28;18;23;12;34;25;25;25;35;40;16;25;41;-47;DNC (49);37;;592;410
44;ITA 25;;RENNA, Sofia;11;7;BFD (49);19;-27;18;11;11;BFD (49);32;26;26;36;29;BFD (49);31;35;43;41;41;;591;417
45;GER 33;;ERDIL, Lena;13;9;-39;-43;26;16;22;20;36;-46;-45;45;31;44;40;34;31;19;33;5;;597;424
46;BRA 16;;PRADA, Giovanna;21;13;-31;5;19;-30;20;23;43;21;-46;46;34;43;33;-48;37;31;37;41;;622;467
47;ESP 1;;BLANCA , Manchón;19;11;21;DNF (49);18;9;20;-23;33;DNC (49);-47;47;44;41;24;43;47;27;43;47;;662;494
48;AUS 2;;BRYANT, Natasha;19;25;13;DNF (49);25;RDG 21.33;12;-27;BFD (49);45;44;44;-46;31;42;38;41;21;39;45;;676,33;505,33
49;JPN 4;;NIIJIMA , Rina;15;13;-43;-33;26;20;21;29;5;7;6;6;6;3;4;-8;3;3;3;BFD (49);;303;170
50;GER 799;;STEINLEIN, Theresa Marie;21;27;25;BFD (49);-32;23;26;29;1;-5;4;4;-10;2;2;2;5;1;1;1;;270;174
51;DEN 321;;BUHL-HANSEN, Laerke;29;23;9;15;12;-33;28;-30;4;3;2;2;-20;4;15;-29;9;5;1;13;;286;174
52;GBR 667;;ROBERTS, Jennie;23;21;29;25;-32;25;25;-31;2;6;3;3;5;5;-20;17;5;3;-19;7;;306;204
53;ISR 28;;ROBINSON, Neev;-33;23;15;23;22;-25;19;21;12;4;10;10;11;-25;9;7;3;9;17;BFD (49);;347;215
54;GER 369;;ENGELMANN, Alisa;-41;RDG 25.30;17;19;-36;30;33;18;3;14;5;5;9;13;-31;-19;1;7;13;3;;342,3;215,3
55;EST 1;;PUUSTA, Ingrid;21;21;23;23;30;DSQ (49);BFD (49);24;9;-34;7;7;2;6;6;9;9;17;7;-33;;386;221
56;ISR 11;;DRIHAN, Noy;-29;25;29;19;23;24;BFD (49);28;11;-27;15;15;14;1;1;1;7;5;9;-21;;353;227
57;TUR 577;;VATAN, Merve;27;17;27;-35;30;19;-31;17;10;17;28;28;1;9;-33;3;11;1;15;BFD (49);;408;260
58;GER 68;;WANSER, Helena;25;29;23;27;24;28;-37;-30;22;-23;-23;23;4;15;11;13;7;17;5;5;;391;278
59;JPN 94;;FUJIKO, Onishi;23;27;25;27;-35;28;21;-38;16;19;20;20;13;11;8;5;-27;-43;19;7;;432;289
60;AUS 420;;COSTIN, Samantha;-29;21;27;DNF (49);29;26;25;26;18;8;8;8;28;DNF (48);23;-30;1;27;13;5;;449;293
61;NZL 33;;ORAMS, Brianna;27;BFD (49);27;29;DNS (49);29;38;28;6;2;9;9;25;-31;7;22;15;13;7;BFD (49);;471;293
62;BRA 49;;MELLO, Bruna Martinelli;-35;29;-45;9;35;27;26;32;19;11;18;18;31;DNF (48);5;10;-37;11;5;27;;478;313
63;TUR 191;;URALP PALOMBO , Dilara;17;19;19;DNF (49);27;-40;29;38;33;21;-37;-37;3;23;24;21;17;11;11;11;;487;324
64;HUN 11;;CHOLNOKY, Sara;-43;31;37;23;-38;31;29;35;13;9;11;11;8;21;-27;15;25;25;-33;1;;466;325
65;JPN 470;;YUKI, Sunaga;31;-35;-43;29;20;29;35;25;-29;20;16;16;17;22;12;4;27;13;15;BFD (49);;487;331
66;SWE 49;;HJERTBERG, Johanna;29;31;17;DNF (49);-37;32;34;34;8;1;17;17;-37;27;29;32;13;9;3;-39;;495;333
67;NED 119;;VAN DEN BRULE, Fianne;25;35;35;15;-36;-36;34;34;17;16;12;12;-35;19;17;24;11;-29;29;9;;480;344
68;CZE 80;;SADILKOVA, Nela;-39;29;25;17;33;35;-41;36;14;10;-27;27;15;-33;19;12;25;21;9;19;;486;346
69;ITA 4;;OPRANDI , Linda;33;-43;29;25;-40;34;27;32;-25;25;19;19;18;8;13;14;21;15;-31;15;;486;347
70;MEX 9;;VEGA DE LILLE, Demita;39;-41;33;25;29;38;35;-45;23;29;14;14;12;7;3;6;-43;-37;17;35;;525;359
71;SUI 226;;BERGER, Manon;27;39;DNS (49);DNF (49);28;22;24;40;7;15;1;1;34;30;34;27;31;-35;-43;23;;559;383
72;GER 1247;;MEYER, Sophia;31;33;31;31;31;-42;39;-41;28;26;32;32;19;12;10;11;17;-39;11;BFD (49);;565;394
73;FRA 601;;BOUCHET, Inès;27;27;29;27;41;-46;39;-42;21;22;22;22;21;26;26;-28;19;23;-39;17;;564;409
