Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Nicolas GOYARD ,,IQFOIL Masc.,3,G,1,,261,84,European Championship 2022,1
,,Nicolas GOYARD ,,IQFOIL Masc.,1,G,1,,261,84,European Championship 2022,2
,,Nicolas GOYARD ,,IQFOIL Masc.,1,G,1,,261,84,European Championship 2022,3
,,Nicolas GOYARD ,,IQFOIL Masc.,1,G,1,,261,84,European Championship 2022,4
,,Nicolas GOYARD ,,IQFOIL Masc.,(7),G,1,,261,84,European Championship 2022,5
,,Nicolas GOYARD ,,IQFOIL Masc.,(14),G,1,,261,84,European Championship 2022,6
,,Nicolas GOYARD ,,IQFOIL Masc.,1,G,1,,261,84,European Championship 2022,7
,,Nicolas GOYARD ,,IQFOIL Masc.,1,G,1,,261,84,European Championship 2022,8
,,Nicolas GOYARD ,,IQFOIL Masc.,14,O,1,,261,84,European Championship 2022,9
,,Nicolas GOYARD ,,IQFOIL Masc.,15,O,1,,261,84,European Championship 2022,10
,,Nicolas GOYARD ,,IQFOIL Masc.,7,O,1,,261,84,European Championship 2022,11
,,Nicolas GOYARD ,,IQFOIL Masc.,7,O,1,,261,84,European Championship 2022,12
,,Nicolas GOYARD ,,IQFOIL Masc.,2,O,1,,261,84,European Championship 2022,13
,,Nicolas GOYARD ,,IQFOIL Masc.,DNF(78),O,1,,261,84,European Championship 2022,14
,,Nicolas GOYARD ,,IQFOIL Masc.,5,O,1,,261,84,European Championship 2022,15
,,Nicolas GOYARD ,,IQFOIL Masc.,BFD(78),O,1,,261,84,European Championship 2022,16
,,Nicolas GOYARD ,,IQFOIL Masc.,1,O,1,,261,84,European Championship 2022,17
,,Nicolas GOYARD ,,IQFOIL Masc.,3,O,1,,261,84,European Championship 2022,18
,,Nicolas GOYARD ,,IQFOIL Masc.,5,O,1,,261,84,European Championship 2022,19
,,Nicolas GOYARD ,,IQFOIL Masc.,17,O,1,,261,84,European Championship 2022,20
,,Nicolas GOYARD ,,IQFOIL Masc.,1,Medal Race,1,,261,84,European Championship 2022,21
,,Nicolò RENNA ,,IQFOIL Masc.,1,G,2,,203.7,79.7,European Championship 2022,1
,,Nicolò RENNA ,,IQFOIL Masc.,1,G,2,,203.7,79.7,European Championship 2022,2
,,Nicolò RENNA ,,IQFOIL Masc.,(35),G,2,,203.7,79.7,European Championship 2022,3
,,Nicolò RENNA ,,IQFOIL Masc.,3,G,2,,203.7,79.7,European Championship 2022,4
,,Nicolò RENNA ,,IQFOIL Masc.,(41),G,2,,203.7,79.7,European Championship 2022,5
,,Nicolò RENNA ,,IQFOIL Masc.,10,G,2,,203.7,79.7,European Championship 2022,6
,,Nicolò RENNA ,,IQFOIL Masc.,1,G,2,,203.7,79.7,European Championship 2022,7
,,Nicolò RENNA ,,IQFOIL Masc.,2,G,2,,203.7,79.7,European Championship 2022,8
,,Nicolò RENNA ,,IQFOIL Masc.,5,O,2,,203.7,79.7,European Championship 2022,9
,,Nicolò RENNA ,,IQFOIL Masc.,RDG9.70,O,2,,203.7,79.7,European Championship 2022,10
,,Nicolò RENNA ,,IQFOIL Masc.,4,O,2,,203.7,79.7,European Championship 2022,11
,,Nicolò RENNA ,,IQFOIL Masc.,4,O,2,,203.7,79.7,European Championship 2022,12
,,Nicolò RENNA ,,IQFOIL Masc.,6,O,2,,203.7,79.7,European Championship 2022,13
,,Nicolò RENNA ,,IQFOIL Masc.,15,O,2,,203.7,79.7,European Championship 2022,14
,,Nicolò RENNA ,,IQFOIL Masc.,1,O,2,,203.7,79.7,European Championship 2022,15
,,Nicolò RENNA ,,IQFOIL Masc.,(29),O,2,,203.7,79.7,European Championship 2022,16
,,Nicolò RENNA ,,IQFOIL Masc.,5,O,2,,203.7,79.7,European Championship 2022,17
,,Nicolò RENNA ,,IQFOIL Masc.,1,O,2,,203.7,79.7,European Championship 2022,18
,,Nicolò RENNA ,,IQFOIL Masc.,11,O,2,,203.7,79.7,European Championship 2022,19
,,Nicolò RENNA ,,IQFOIL Masc.,(19),O,2,,203.7,79.7,European Championship 2022,20
,,Nicolò RENNA ,,IQFOIL Masc.,2,Medal Race,2,,203.7,79.7,European Championship 2022,21
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,1,G,3,,173,31,European Championship 2022,1
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,1,G,3,,173,31,European Championship 2022,2
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,1,G,3,,173,31,European Championship 2022,3
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,1,G,3,,173,31,European Championship 2022,4
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,(49),G,3,,173,31,European Championship 2022,5
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,(9),G,3,,173,31,European Championship 2022,6
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,9,G,3,,173,31,European Championship 2022,7
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,1,G,3,,173,31,European Championship 2022,8
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,2,O,3,,173,31,European Championship 2022,9
,,Luuc VAN OPZEELAND ,,IQFOIL Masc.,(43),O,3,,173,31,European Championship 2022,10
