Pos;Sail #;Bow;Crew / Club;"1Q(CR)2Q(CR)3Q(CR)4Q(CR)5Q(CR)6Q(CR)7Q(CR)8Q(CR)9F(CR)10F(CR1)1F(CR1)2F(CR1)3F(SL1)4F(SL1)5F(SL1)6F(SL1)7/1F6(CF(R1C)8RF)(CR1)9F(CR)MR     TOTAL      NET
(rank)";;;;;;;;;;;;;;;;;;;;;
1;NOR 332;;MOBEKK, Mina / MINA MOBEKK;-15;2;6;3;3;3;10;-13;4;8;9;14;5;25;3;-29;17;4;-34;1;207;116
2;ISR 390;;KANTOR, Sharon;-15;-10;2;2;1;1;1;1;1;2;1;1;-27;7;7;3;-12;3;1;2;98;34
3;GBR 7;;WILSON, Emma / Weymouth &;1;3;1;3;3;-6;BFD (46);2;-25;9;RDG 14.40;8;13;3;1;-37;1;2;3;3;181,4;67,4
4;FRA 57;;NOESMOEN, Hélène / BANQUE;1;-10;4;4;6;10;-13;8;15;7;5;-21;-23;17;17;13;4;13;4;4;195;128
5;ISR 3;;TIBI, Shahar / NOVA;7;1;-14;5;-11;4;4;4;3;5;2;3;-41;5;1;1;3;1;-19;5;134;49
6;ESP 12;;LAMADRID TRUEBA, Pilar /;6;5;5;6;-8;1;1;DNC (46);2;1;3;-15;5;7;-41;9;11;11;2;6;185;75
7;CRO 991;;?ARGO, Palma / WAYPOINT //;-11;6;3;-11;4;2;2;5;10;4;15;19;-25;1;9;-27;2;14;12;7;182;108
8;NED 33;;WENNEKES, Sara / SEVERNE,;2;1;2;1;2;-4;-11;3;9;3;10;11;7;9;-17;7;-21;16;16;8;152;99
9;NED 3;;DE GEUS , Lilian / TEAM;3;DNE 46;7;6;5;-9;BFD (46);5;11;11;RDG 9;5;7;5;7;3;-22;6;-23;9;236;136
10;ISR 32;;SPYCHAKOV, Katy / ELDAN;4;8;5;DSQ (46);-19;11;3;10;RDG 10;10;14;6;1;3;DNC (47);9;15;-19;8;10;248;117
11;FRA 775;;COUSIN, Delphine / BLANCHET;7;7;10;11;-19;7;5;-13;12;RET (46);8;13;25;1;5;5;-37;12;9;;252;137
12;ISR 216;;STEINBERG, Tamar;3;-8;-9;1;2;2;2;1;6;21;4;2;21;19;-43;-37;30;17;10;;238;141
13;FRA 31;;SORIN, Lola;6;DNC (46);1;-24;7;12;14;6;8;6;-35;16;17;-29;13;23;7;5;15;;290;156
14;GBR 529;;WATSON, Islay / Weymouth &;5;3;3;2;-6;5;3;-6;7;DSQ (46);6;4;29;27;21;1;28;-42;14;;258;158
15;POL 7;;DZIARNOWSKA, Maja / PGE,;9;-20;13;5;9;8;RET (46);19;18;-26;-20;17;1;13;11;11;9;8;20;;283;171
16;ITA 157;;MAGGETTI , Marta / SEZ.VELA;5;-16;6;8;-18;9;8;4;14;14;7;9;9;23;25;7;-29;24;-28;;263;172
17;NOR 39;;OPPEDAL, Helle;2;-11;4;-16;5;5;4;2;5;20;-30;20;27;11;15;5;-38;30;22;;272;177
18;ISR 7;;MORRIS, Maya;12;6;-14;9;10;-35;5;7;19;-24;11;23;11;21;13;21;19;9;-26;;295;196
19;ESP 132;;VAN DER VELDEN, Nicole;8;4;-12;7;1;3;-26;7;20;15;16;-42;21;-41;21;25;24;7;39;;339;218
20;GBR 956;;SILLS, Saskia;16;7;-28;-24;13;14;15;15;16;16;22;10;-43;19;-29;11;27;26;6;;357;233
21;PER 7;;BAZO GERMAN, Maria Belen /;DNC (46);17;8;BFD (46);4;10;12;15;13;DSQ (46);17;22;31;15;31;19;-42;15;5;;414;234
22;GER 799;;STEINLEIN, Theresa Marie /;13;-25;-23;15;8;16;20;12;28;-29;13;7;15;-33;11;15;18;29;17;;347;237
23;ISR 2;;PELEG, Daniela / I-WM;DNC (46);23;26;-28;20;13;9;9;24;30;12;-35;3;DSQ (47);3;RDG 17.70;5;35;24;;409,7;253,7
24;GER 33;;ERDIL, Lena / NRV / CLEANHUB;10;14;10;7;-21;-27;7;9;30;12;DSQ (46);-43;33;15;37;15;14;20;21;;391;254
25;NZL 1;;TEN HAVE, Veerle / THUMPER;8;2;7;4;-11;6;7;-17;26;17;32;18;-37;RDG 37;27;BFD (47);25;10;29;;367;255
26;CHN 8;;TAN, Xialing / SICHUAN SPORTS;4;4;-25;10;14;8;BFD (46);8;DSQ (46);18;18;25;23;21;15;35;-39;25;35;;419;263
27;FRA 11;;MARION, Couturier / MARMAR -;9;12;16;9;RDG 6;BFD (46);BFD (46);3;32;13;26;-45;15;27;DNC (47);25;26;18;27;;448;264
28;ISR 351;;RESHEF, Shahar;16;5;11;BFD (46);17;7;6;-18;17;19;23;12;39;11;-45;27;36;37;-43;;435;283
29;CHN 3;;HUANG, Xianting / CYA;-28;18;-31;12;RDG 17;RDG 22;RDG 11;RDG 19;22;28;24;-40;13;39;23;21;13;-40;18;;439;300
30;MEX 28;;AGUILAR CHAVEZ PEÓN,;-22;14;19;10;10;11;BFD (46);14;-43;27;29;32;19;31;19;BFD (47);31;23;13;;460;302
