Pos;Sail #;Bow;Crew / Club;"1Q(CR)2Q(CR)3Q(CR)4Q(CR)5Q(CR)6Q(CR)7Q(CR)8Q(CR)9F(CR)10F(CR1)1F(CR1)2F(CR1)3F(SL1)4/1F3(SF(L1C)5/R1F)4(SF(L1C)6RF)(SL1)7F(CR1)8F(CR)MR     TOTAL      NET
(rank)";;;;;;;;;;;;;;;;;;;;
1;ITA 150;;RENNA, Nicolò / FIAMME ORO , SLAM;1;7;-13;2;1;2;-13;13;6;9;BFD (58);4;13;23;3;-31;1;17;1;217;102
2;GER 220;;KOERDEL, Sebastian / Norddeutscher;2;-9;2;1;-7;3;2;5;2;-11;1;1;1;11;1;1;8;-47;2;115;41
3;NED 9;;BADLOE, Kiran / TEAM ALLIANZ;7;-9;6;-31;5;3;6;3;5;2;4;5;7;1;3;-9;-31;5;3;142;62
4;FRA 465;;GOYARD, Nicolas / BANQUE;-1;1;1;-24;1;1;1;1;3;13;8;11;11;7;1;-37;10;-50;4;182;70
5;NED 55;;VAN OPZEELAND, Luuc / LUUC VAN;3;2;2;3;-9;-7;5;1;1;3;7;2;1;3;3;DSQ (39);15;RET (58);5;164;51
6;AUS 81;;MORRIS, Grae / SLAKE;11;-12;4;7;-16;1;4;3;-11;1;11;-18;3;1;11;5;7;2;6;128;71
7;NZL 59;;ARMIT, Joshua;-10;5;6;3;2;4;-10;2;12;16;21;6;5;-23;9;5;BFD (58);1;7;198;97
8;GBR 60;;SILLS, Samuel / Weymouth & Portland;2;4;4;4;-11;-10;3;6;BFD (58);-22;10;12;11;3;5;3;5;6;8;179;78
9;FRA 3;;GOYARD, Thomas / BANQUE;8;1;5;BFD (58);4;5;1;DNF (58);10;6;3;3;7;17;BFD (39);-19;19;3;9;266;92
10;NED 465;;TAK, Huig Jan / RAPSODY YACHTS;-5;3;1;-12;2;2;2;2;4;7;9;7;21;1;BFD (39);1;11;-29;10;158;73
