Pos;Nasc/Number;Athlete;1Q;2Q;3Q;4Q;5Q;6Q;7Q;8Q;9Q;10F;11F;12F;13F;14F;15F;MR;TOTAL;NET
1;POL 19;BUKSAK, Dominik / KSAWZISE RAZWBIFICSK IG,DS.z/yAmZoSn;3;1;1;3;4;1;1;4;2;8;2;10;9;(23);9;8;89;66
2;USA 118;"OSPOZNAN
SANGONEWS, E,N eMvainximiliano";1;4;3;1;2;3;3;11;5;4;(18);17;3;4;14;18;111;93
3;FRA 16;FPIESQCUHIENR, , CElerwmaennt;1;1;14;4;(19);1;1;16;9;2;5;1;6;15;2;16;113;94
4;ESP 74;TBDiROeITgTIoTNE LL EP CAHULE,V FElRo,rian;13;10;1;2;6;5;7;3;4;(18);16;7;2;5;16;6;121;103
5;FRA 95;ARUMAOLR, OLSu,c aEsmile;8;3;5;6;(21);4;5;15;4;1;15;11;7;6;4;O2C2S;137;116
6;NED 1;LFLAOMRBIRSI, EVXa, nB aDret;11;8;7;(U3F2D);14;7;8;6;10;5;4;18;14;2;1;2;149;117
7;DEN 3;"Werken
PRRAESCK,H TF rJeEdNerSikEN,";3;2;6;(27);15;2;9;9;1;3;3;2;19;17;26;10;154;127
8;POL 164;"Jakob
SSATZZTAS ONAIRUWCLFH,I ,SMJiaGkkoDutAabjN S/ KKS";2;2;2;17;27;2;4;(D3S2Q);8;16;1;3;16;16;7;12;167;135
9;POL 7;PPIRAZSYEBCYKTIE, KJ,a cLeukkssz;7;7;(D3S2Q);1;9;7;7;8;6;22;11;13;22;1;12;4;169;137
10;USA 43;MMAOCLLDEIRARUSM,I DA,n Idarnew;4;5;14;4;18;10;2;1;2;23;(D3S1Q);22;4;9;11;14;174;143
11;USA 84;BHAERNRKEONW, SH, aInasn;8;4;3;11;16;8;16;1;3;(19);8;16;12;10;17;;152;133
12;NZL 45;GDUUNNNN,I NOGs cBaErCK, Logan;12;6;7;8;1;13;11;5;14;17;(20);4;8;8;19;;153;133
13;NZL 18;MMCCKHEANRZDIIEE,,  IWsialliaacm;2;11;4;8;11;3;2;20;15;(27);25;23;1;3;15;;170;143
14;ITA 88;CCHARuILbVAeErBtLRoLOI , VGIiSuCliOoN,;11;5;5;7;4;6;14;18;12;9;14;8;10;(U3F1D);20;;174;143
15;IRL 8;TDIBCCK, STObcN, Robert;16;13;10;22;3;4;11;3;(U3F2D);6;6;20;21;7;3;;177;145
16;ESP 966;TBAORRRRIAOD, OA, nAdnrteosnio;6;3;2;9;8;13;6;17;18;10;7;25;(28);26;6;;184;156
