Pos;Nasc/Number;Athlete;1(CR);2(CR);3(CR);4(CR);5(CR);6(CR);7(CR);8(CR);9(CR);10(CR) 11(SL);;12(SL);13(SL);14(CR) 15(SL);;16(SL);TOTAL;NET
1;FRA 465;GOYARD, Nicolas;(10);(2);2;(6);2;1;1;1;1;1;1;1;1;1;1;1;33;15
2;FRA 53;BOURGEOIS, Clément;2;3;3;1;6;3;(R5E7T);8;2;(13);(11);1;3;6;5;1;125;44
3;GER 220;KOERDEL, Sebastian;(11);1;6;4;3;2;4;3;(18);2;(11);3;1;5;1;11;86;46
4;POL 23;RUTKOWSKI, Maciej;3;6;12;7;10;4;RD4G;5;5;(18);5;17;1;(B5F7D);1;(29);184;80
5;POL 72;MANOWIECKI, Kamil;6;(22);1;8;9;(B5F7D);12;(16);8;8;1;3;5;1R4D.8G0;11;3;184,8;89,8
6;FRA 628;PIGNOLET, Louis;1;4;8;1R0D.1G0;(16);13;8;6;13;(16);(23);3;3;15;15;3;157,1;102,1
7;FRA 77;LE COQ, Pierre;7;5;7;(18);8;12;8R.D6G0;11;3;12;(D3N9F);1R4D.8G0;(21);2;3;9;180,4;102,4
8;NZL 59;ARMIT, Joshua;(15);13;13;(28);7;10;(17);9;11;5;5;9;9;7;3;7;168;108
9;FRA 3;GOYARD, Thomas;12;(R5E7T);4;2;1;(B5F7D);7;2;21;17;29;1;5;3;(B3F9D);5;262;109
10;POL 42;POLAK, Michal;9;(15);(16);11;5;14;9;7;10;(22);5;7;9;10;9;5;163;110
11;FRA 152;ARNOUX, Tom;4;8;(17);10;13;11;(21);4;14;10;9;11;11;(D5N7C);5;1;206;111
12;FRA 4;LE BOSQ, Titouan;19;10;9;14;4;5;3;(28);7;3;1;19;3;(D5N7C);15;(B3F9D);236;112
13;POL 28;FURMANSKI, Radoslaw;16;14;5;12;(R5E7T);6;5;(19);6;(29);3;9;13;12;7;7;220;115
14;LTU 7;JASIUNAS, Rytis;8;12;18;9;(B5F7D);8;10;13;(27);4;3;(21);7;9;3;11;220;115
15;FRA 7;MESTRE, Adrien;14;7;11;5;24;7;(D5N7F);(D5N7C);4;(27);25;7;7;17;7;3;279;138
16;POL 636;LEWINSKI, Dominik;13;17;10;(46);14;9;6;15;12;(26);17;7;9;(18);15;7;241;151
17;HKG 33;AU, Ling Yeung;20;19;(27);13;18;16;13;12;15;9;(21);11;5;14;9;(B3F9D);261;174
18;KOR 71;LEE, Taehoon;23;16;(26);21;19;(24);18;20;(24);19;7;5;7;4;19;9;261;187
19;AUS 111;MCMILLAN, Will;5;9;14;3;11;17;2;21;9;32;9;(B3F9D);(35);(44);33;35;318;200
20;FRA 312;PIANAZZA, Fabien;22;(38);22;(35);21;15;26;14;(29);20;3;5;19;16;11;17;313;211
21;HKG 21;CHENG, Ching Yin;24;18;20;(30);15;21;(28);22;(30);15;13;13;11;23;9;9;301;213
22;FRA 10;POULIQUEN, Oël;(28);20;23;25;(34);22;15;10;(28);28;9;17;15;8;11;11;304;214
23;GER 404;WOLF, Fabian;(D5N7C);(35);24;17;28;20;14;18;20;6;13;13;31;(D5N7C);5;5;363;214
24;FRA 1159;MERCEUR, Benoît;18;(32);21;27;17;18;11;17;19;21;11;(33);(B3F9D);13;13;13;323;219
25;FRA 379;CARFANTAN, Gaspard;26;27;(32);26;(41);28;16;26;16;7;(D3N9F);13;19;11;13;13;353;241
26;FRA 752;COUSIN, Alexandre;(B5F7D);(46);19;16;(45);23;30;31;26;31;7;9;11;20;7;25;403;255
27;NZL 35;LIEFTING, Elijah;27;(36);(47);20;20;31;24;32;31;(40);13;5;13;36;27;21;423;300
28;FRA 13;GHIO, Romain;(31);23;29;19;29;19;19;24;(44);30;15;(B3F9D);21;19;23;31;415;301
29;SUI 601;BENZ, Matteo;17;21;25;22;26;(D5N7C);(D5N7F);(D5N7C);17;24;7;31;17;D5N7C;25;17;477;306
30;AUS 81;MORRIS, Grae;25;11;15;15;12;(D5N7C);(D5N7F);(D5N7C);D5N7C;D5N7C;23;17;13;25;23;13;477;306
31;SUI 76;SCHÄRER, Sebastian;21;26;28;23;30;(R5E7T);(D5N7F);25;22;14;27;25;23;(35);17;27;457;308
32;FRA 997;MATHIS, Alexis;(37);(41);30;24;25;25;25;29;25;25;21;23;15;28;(D3N9C);19;431;314
33;KOR 153;KIM, Chaneui;29;25;31;(39);23;30;(D5S7Q);33;(39);23;15;23;15;24;19;27;452;317
34;POL 82;MYSZKA, Piotr;38;29;(41);(41);33;33;22;27;23;(39);23;15;19;22;31;15;451;330
35;HKG 8;KIKABHOY, Rafeek;(36);30;35;33;22;(39);29;35;33;(37);15;15;17;29;25;15;445;333
36;AUS 22;JOYNER, Harry;(41);31;34;29;40;29;39;(45);(41);11;19;19;33;21;21;15;468;341
37;SVK 2;KUBIN, Robert;32;(39);(38);32;31;26;32;30;37;(44);25;19;23;27;23;21;479;358
38;TUR 399;BIRIZ, Onur Cavit;30;24;(37);34;(38);35;23;23;36;(42);31;25;29;33;19;29;488;371
39;POL 163;ROMANOWSKI,;35;34;33;(38);27;27;27;37;(40);(38);27;29;25;30;25;23;495;379
40;AUS 674;TomaszWINCHCOMBE, Caelin;39;(43);43;(47);36;38;34;42;34;(46);21;27;21;26;21;19;537;401
41;FRA 307;CHANTREL, Jules;34;(45);(45);40;42;37;(D5N7F);34;38;43;19;11;17;32;B3F9D;19;552;405
42;KOR 248;KANG, Hyeongjung;(46);33;(52);43;(47);36;37;38;35;36;17;25;23;38;27;23;556;411
43;JPN 60;ANAMI, Tomonori;40;(47);36;36;37;40;40;(D5N7C);(42);34;25;27;25;41;17;17;561;415
44;GER 107;HEIMANN, Jonne;44;44;39;(R5E7T);(D5N7C);42;33;41;(45);35;29;21;27;34;13;23;584;425
45;AUS 42;JOYNER, Jack;33;40;(44);37;39;34;31;40;32;(45);D3N9F;29;27;(43);21;33;567;435
46;UKR 13;TUGARYEV, Oleksandr;(45);42;42;42;(43);41;35;36;43;(47);17;15;29;31;29;33;570;435
47;FRA 820;GUIRAUD, Lucas;(42);28;40;31;32;32;20;39;(D5N7S);33;D3N9F;D3N9F;D3N9C;(D5N7C);D3N9C;D3N9C;606;450
48;GER 730;POGGEMANN, Lars;(43);37;(46);(D5N7C);35;R4D3G;R4D3G;R4D3G;R4D3G;41;D3N9F;21;25;40;17;27;600;454
49;FRA 20;DESTOMBES, Clément;47;(48);(48);(48);48;44;4R5D.8G5;4R5D.8G5;4R5D.8G5;4R5D.8G5;19;33;33;37;27;21;636,4;492,4
50;UKR 5;MENDELENKO,Oleksandr;48;(49);(51);45;46;(B5F7D);41;44;47;48;27;23;27;42;29;B3F9D;663;506
51;TUN 48;GUEMBRI, Mehdi;(49);(50);49;44;44;43;38;43;46;(D5N7C);D3N9F;29;29;45;D3N9C;D3N9C;683;527
52;SGP 52;OH, Elkan;(50);(51);(50);49;R4D8G;R4D8G;R4D8G;R4D8G;R4D8G;R4D8G;29;37;31;39;29;25;678;527
53;IND 7;KUMAR S, Jerome;(51);(D5N7F);(53);50;49;46;43;47;48;50;35;31;33;47;31;25;696;535
54;SGP 1;WEARN HAW, Tan;(D5N7C);52;54;(D5N7C);(D5N7C);45;42;46;49;49;33;27;31;46;31;31;707;536
55;IND 16;GANESH, Sachin;(D5N7C);(D5N7C);55;(D5N7C);D5N7C;D5N7C;44;48;D5N7C;D5N7C;D3N9F;35;35;D5N7C;33;B3F9D;784;613
56;NZL 27;CROOK, Thomas;DNC(57);DNC(57);DNC(57);DNC57;DNC57;DNC57;DNF57;DNC57;DNC57;DNC57;DNC39;DNF39;DNC39;DNC57;DNC39;DNC39;822;651
;;;;;;;;;;;;;;;;;;;;
