Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,,,470,1,G,1,,82,53,Semaine Olympique Francaise De Voile 2023,1
,,,,470,1,G,1,,82,53,Semaine Olympique Francaise De Voile 2023,2
,,,,470,12,G,1,,82,53,Semaine Olympique Francaise De Voile 2023,3
,,,,470,3,G,1,,82,53,Semaine Olympique Francaise De Voile 2023,4
,,,,470,2,G,1,,82,53,Semaine Olympique Francaise De Voile 2023,5
,,,,470,4,O,1,,82,53,Semaine Olympique Francaise De Voile 2023,6
,,,,470,2,O,1,,82,53,Semaine Olympique Francaise De Voile 2023,7
,,,,470,5,O,1,,82,53,Semaine Olympique Francaise De Voile 2023,8
,,,,470,(29),O,1,,82,53,Semaine Olympique Francaise De Voile 2023,9
,,,,470,19,O,1,,82,53,Semaine Olympique Francaise De Voile 2023,10
,,,,470,4,Medal Race,1,,82,53,Semaine Olympique Francaise De Voile 2023,11
,,,,470,5,G,2,,94,61,Semaine Olympique Francaise De Voile 2023,1
,,,,470,3,G,2,,94,61,Semaine Olympique Francaise De Voile 2023,2
,,,,470,2,G,2,,94,61,Semaine Olympique Francaise De Voile 2023,3
,,,,470,9,G,2,,94,61,Semaine Olympique Francaise De Voile 2023,4
,,,,470,6,G,2,,94,61,Semaine Olympique Francaise De Voile 2023,5
,,,,470,9,O,2,,94,61,Semaine Olympique Francaise De Voile 2023,6
,,,,470,10,O,2,,94,61,Semaine Olympique Francaise De Voile 2023,7
,,,,470,1,O,2,,94,61,Semaine Olympique Francaise De Voile 2023,8
,,,,470,4,O,2,,94,61,Semaine Olympique Francaise De Voile 2023,9
,,,,470,UFD(33),O,2,,94,61,Semaine Olympique Francaise De Voile 2023,10
,,,,470,12,Medal Race,2,,94,61,Semaine Olympique Francaise De Voile 2023,11
,,NRV/SYCNorddeutscher Regatta Verein,,470,7,G,3,,78,64,Semaine Olympique Francaise De Voile 2023,1
,,NRV/SYCNorddeutscher Regatta Verein,,470,7,G,3,,78,64,Semaine Olympique Francaise De Voile 2023,2
,,NRV/SYCNorddeutscher Regatta Verein,,470,2,G,3,,78,64,Semaine Olympique Francaise De Voile 2023,3
,,NRV/SYCNorddeutscher Regatta Verein,,470,8,G,3,,78,64,Semaine Olympique Francaise De Voile 2023,4
,,NRV/SYCNorddeutscher Regatta Verein,,470,4,G,3,,78,64,Semaine Olympique Francaise De Voile 2023,5
,,NRV/SYCNorddeutscher Regatta Verein,,470,(14),O,3,,78,64,Semaine Olympique Francaise De Voile 2023,6
,,NRV/SYCNorddeutscher Regatta Verein,,470,13,O,3,,78,64,Semaine Olympique Francaise De Voile 2023,7
,,NRV/SYCNorddeutscher Regatta Verein,,470,10,O,3,,78,64,Semaine Olympique Francaise De Voile 2023,8
,,NRV/SYCNorddeutscher Regatta Verein,,470,9,O,3,,78,64,Semaine Olympique Francaise De Voile 2023,9
,,NRV/SYCNorddeutscher Regatta Verein,,470,2,O,3,,78,64,Semaine Olympique Francaise De Voile 2023,10
,,NRV/SYCNorddeutscher Regatta Verein,,470,2,Medal Race,3,,78,64,Semaine Olympique Francaise De Voile 2023,11
,, Sport Algés e Dafundo,,470,6,G,4,,85,71,Semaine Olympique Francaise De Voile 2023,1
,, Sport Algés e Dafundo,,470,(14),G,4,,85,71,Semaine Olympique Francaise De Voile 2023,2
,, Sport Algés e Dafundo,,470,4,G,4,,85,71,Semaine Olympique Francaise De Voile 2023,3
,, Sport Algés e Dafundo,,470,1,G,4,,85,71,Semaine Olympique Francaise De Voile 2023,4
,, Sport Algés e Dafundo,,470,9,G,4,,85,71,Semaine Olympique Francaise De Voile 2023,5
,, Sport Algés e Dafundo,,470,10,O,4,,85,71,Semaine Olympique Francaise De Voile 2023,6
,, Sport Algés e Dafundo,,470,14,O,4,,85,71,Semaine Olympique Francaise De Voile 2023,7
,, Sport Algés e Dafundo,,470,7,O,4,,85,71,Semaine Olympique Francaise De Voile 2023,8
,, Sport Algés e Dafundo,,470,7,O,4,,85,71,Semaine Olympique Francaise De Voile 2023,9
,, Sport Algés e Dafundo,,470,3,O,4,,85,71,Semaine Olympique Francaise De Voile 2023,10
,, Sport Algés e Dafundo,,470,10,Medal Race,4,,85,71,Semaine Olympique Francaise De Voile 2023,11
,,wUERTTEMBERGISCHER YACHT CLUB,,470,11,G,5,,103,81,Semaine Olympique Francaise De Voile 2023,1
,,wUERTTEMBERGISCHER YACHT CLUB,,470,2,G,5,,103,81,Semaine Olympique Francaise De Voile 2023,2
,,wUERTTEMBERGISCHER YACHT CLUB,,470,3,G,5,,103,81,Semaine Olympique Francaise De Voile 2023,3
,,wUERTTEMBERGISCHER YACHT CLUB,,470,7,G,5,,103,81,Semaine Olympique Francaise De Voile 2023,4
,,wUERTTEMBERGISCHER YACHT CLUB,,470,15,G,5,,103,81,Semaine Olympique Francaise De Voile 2023,5
,,wUERTTEMBERGISCHER YACHT CLUB,,470,5,O,5,,103,81,Semaine Olympique Francaise De Voile 2023,6
,,wUERTTEMBERGISCHER YACHT CLUB,,470,8,O,5,,103,81,Semaine Olympique Francaise De Voile 2023,7
,,wUERTTEMBERGISCHER YACHT CLUB,,470,(22),O,5,,103,81,Semaine Olympique Francaise De Voile 2023,8
,,wUERTTEMBERGISCHER YACHT CLUB,,470,10,O,5,,103,81,Semaine Olympique Francaise De Voile 2023,9
,,wUERTTEMBERGISCHER YACHT CLUB,,470,4,O,5,,103,81,Semaine Olympique Francaise De Voile 2023,10
