Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,,,49er,1,G,1,,103,78,Semaine Olympique Francaise De Voile 2023,1
,,,,49er,11,G,1,,103,78,Semaine Olympique Francaise De Voile 2023,2
,,,,49er,5,G,1,,103,78,Semaine Olympique Francaise De Voile 2023,3
,,,,49er,4,G,1,,103,78,Semaine Olympique Francaise De Voile 2023,4
,,,,49er,1,G,1,,103,78,Semaine Olympique Francaise De Voile 2023,5
,,,,49er,2,O,1,,103,78,Semaine Olympique Francaise De Voile 2023,6
,,,,49er,12,O,1,,103,78,Semaine Olympique Francaise De Voile 2023,7
,,,,49er,1,O,1,,103,78,Semaine Olympique Francaise De Voile 2023,8
,,,,49er,1,O,1,,103,78,Semaine Olympique Francaise De Voile 2023,9
,,,,49er,13,O,1,,103,78,Semaine Olympique Francaise De Voile 2023,10
,,,,49er,RET(25),O,1,,103,78,Semaine Olympique Francaise De Voile 2023,11
,,,,49er,3,O,1,,103,78,Semaine Olympique Francaise De Voile 2023,12
,,,,49er,10,O,1,,103,78,Semaine Olympique Francaise De Voile 2023,13
,,,,49er,14,Medal Race,1,,103,78,Semaine Olympique Francaise De Voile 2023,14
,,,,49er,5,G,2,,112,87,Semaine Olympique Francaise De Voile 2023,1
,,,,49er,7,G,2,,112,87,Semaine Olympique Francaise De Voile 2023,2
,,,,49er,6,G,2,,112,87,Semaine Olympique Francaise De Voile 2023,3
,,,,49er,1,G,2,,112,87,Semaine Olympique Francaise De Voile 2023,4
,,,,49er,2,G,2,,112,87,Semaine Olympique Francaise De Voile 2023,5
,,,,49er,14,O,2,,112,87,Semaine Olympique Francaise De Voile 2023,6
,,,,49er,UFD(25),O,2,,112,87,Semaine Olympique Francaise De Voile 2023,7
,,,,49er,18,O,2,,112,87,Semaine Olympique Francaise De Voile 2023,8
,,,,49er,3,O,2,,112,87,Semaine Olympique Francaise De Voile 2023,9
,,,,49er,4,O,2,,112,87,Semaine Olympique Francaise De Voile 2023,10
,,,,49er,9,O,2,,112,87,Semaine Olympique Francaise De Voile 2023,11
,,,,49er,8,O,2,,112,87,Semaine Olympique Francaise De Voile 2023,12
,,,,49er,6,O,2,,112,87,Semaine Olympique Francaise De Voile 2023,13
,,,,49er,4,Medal Race,2,,112,87,Semaine Olympique Francaise De Voile 2023,14
,,,,49er,7,G,3,,105,90,Semaine Olympique Francaise De Voile 2023,1
,,,,49er,1,G,3,,105,90,Semaine Olympique Francaise De Voile 2023,2
,,,,49er,2,G,3,,105,90,Semaine Olympique Francaise De Voile 2023,3
,,,,49er,12,G,3,,105,90,Semaine Olympique Francaise De Voile 2023,4
,,,,49er,8,G,3,,105,90,Semaine Olympique Francaise De Voile 2023,5
,,,,49er,3,O,3,,105,90,Semaine Olympique Francaise De Voile 2023,6
,,,,49er,1,O,3,,105,90,Semaine Olympique Francaise De Voile 2023,7
,,,,49er,(15),O,3,,105,90,Semaine Olympique Francaise De Voile 2023,8
,,,,49er,14,O,3,,105,90,Semaine Olympique Francaise De Voile 2023,9
,,,,49er,8,O,3,,105,90,Semaine Olympique Francaise De Voile 2023,10
,,,,49er,7,O,3,,105,90,Semaine Olympique Francaise De Voile 2023,11
,,,,49er,13,O,3,,105,90,Semaine Olympique Francaise De Voile 2023,12
,,,,49er,4,O,3,,105,90,Semaine Olympique Francaise De Voile 2023,13
,,,,49er,10,Medal Race,3,,105,90,Semaine Olympique Francaise De Voile 2023,14
,,,,49er,1,G,4,,110,93,Semaine Olympique Francaise De Voile 2023,1
,,,,49er,2,G,4,,110,93,Semaine Olympique Francaise De Voile 2023,2
,,,,49er,1,G,4,,110,93,Semaine Olympique Francaise De Voile 2023,3
,,,,49er,9,G,4,,110,93,Semaine Olympique Francaise De Voile 2023,4
,,,,49er,11,G,4,,110,93,Semaine Olympique Francaise De Voile 2023,5
,,,,49er,8,O,4,,110,93,Semaine Olympique Francaise De Voile 2023,6
,,,,49er,5,O,4,,110,93,Semaine Olympique Francaise De Voile 2023,7
,,,,49er,2,O,4,,110,93,Semaine Olympique Francaise De Voile 2023,8
,,,,49er,5,O,4,,110,93,Semaine Olympique Francaise De Voile 2023,9
,,,,49er,16,O,4,,110,93,Semaine Olympique Francaise De Voile 2023,10
,,,,49er,8,O,4,,110,93,Semaine Olympique Francaise De Voile 2023,11
,,,,49er,(17),O,4,,110,93,Semaine Olympique Francaise De Voile 2023,12
,,,,49er,13,O,4,,110,93,Semaine Olympique Francaise De Voile 2023,13
,,,,49er,12,Medal Race,4,,110,93,Semaine Olympique Francaise De Voile 2023,14
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,10,G,5,,116,94,Semaine Olympique Francaise De Voile 2023,1
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,9,G,5,,116,94,Semaine Olympique Francaise De Voile 2023,2
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,5,G,5,,116,94,Semaine Olympique Francaise De Voile 2023,3
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,8,G,5,,116,94,Semaine Olympique Francaise De Voile 2023,4
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,2,G,5,,116,94,Semaine Olympique Francaise De Voile 2023,5
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,12,O,5,,116,94,Semaine Olympique Francaise De Voile 2023,6
,,Hayling Island Sailing ClubLoch Morlich Sailing Club,,49er,(22),O,5,,116,94,Semaine Olympique Francaise De Voile 2023,7
