Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Axel MAZELLA ,,Formula Kite Masc.,1,G,1,,70,38,Semaine Olympique Francaise De Voile 2023,1
,,Axel MAZELLA ,,Formula Kite Masc.,2,G,1,,70,38,Semaine Olympique Francaise De Voile 2023,2
,,Axel MAZELLA ,,Formula Kite Masc.,4,G,1,,70,38,Semaine Olympique Francaise De Voile 2023,3
,,Axel MAZELLA ,,Formula Kite Masc.,2,G,1,,70,38,Semaine Olympique Francaise De Voile 2023,4
,,Axel MAZELLA ,,Formula Kite Masc.,(15),G,1,,70,38,Semaine Olympique Francaise De Voile 2023,5
,,Axel MAZELLA ,,Formula Kite Masc.,(10),O,1,,70,38,Semaine Olympique Francaise De Voile 2023,6
,,Axel MAZELLA ,,Formula Kite Masc.,1,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,7
,,Axel MAZELLA ,,Formula Kite Masc.,2,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,8
,,Axel MAZELLA ,,Formula Kite Masc.,3,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,9
,,Axel MAZELLA ,,Formula Kite Masc.,4,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,10
,,Axel MAZELLA ,,Formula Kite Masc.,3,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,11
,,Axel MAZELLA ,,Formula Kite Masc.,3,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,12
,,Axel MAZELLA ,,Formula Kite Masc.,1,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,13
,,Axel MAZELLA ,,Formula Kite Masc.,(7),O,1,,70,38,Semaine Olympique Francaise De Voile 2023,14
,,Axel MAZELLA ,,Formula Kite Masc.,5,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,15
,,Axel MAZELLA ,,Formula Kite Masc.,3,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,16
,,Axel MAZELLA ,,Formula Kite Masc.,4,O,1,,70,38,Semaine Olympique Francaise De Voile 2023,17
,,Axel MAZELLA ,,Formula Kite Masc.,1,Medal Race,1,,70,38,Semaine Olympique Francaise De Voile 2023,18
,,Maximilian MAEDER ,,Formula Kite Masc.,(1),G,2,,84,42,Semaine Olympique Francaise De Voile 2023,1
,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,2,,84,42,Semaine Olympique Francaise De Voile 2023,2
,,Maximilian MAEDER ,,Formula Kite Masc.,1,G,2,,84,42,Semaine Olympique Francaise De Voile 2023,3
