Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Barbora SVIKOVA ,,IQFOIL Fem.,5,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,1
,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,2
,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,3
,,Barbora SVIKOVA ,,IQFOIL Fem.,(8),G,1,,61,33,Semaine Olympique Francaise De Voile 2023,4
,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,5
,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,6
,,Barbora SVIKOVA ,,IQFOIL Fem.,(8),G,1,,61,33,Semaine Olympique Francaise De Voile 2023,7
,,Barbora SVIKOVA ,,IQFOIL Fem.,4,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,8
,,Barbora SVIKOVA ,,IQFOIL Fem.,6,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,9
,,Barbora SVIKOVA ,,IQFOIL Fem.,1,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,10
,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,11
,,Barbora SVIKOVA ,,IQFOIL Fem.,2,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,12
,,Barbora SVIKOVA ,,IQFOIL Fem.,(12),G,1,,61,33,Semaine Olympique Francaise De Voile 2023,13
,,Barbora SVIKOVA ,,IQFOIL Fem.,5,G,1,,61,33,Semaine Olympique Francaise De Voile 2023,14
,,Barbora SVIKOVA ,,IQFOIL Fem.,1,Medal Race,1,,61,33,Semaine Olympique Francaise De Voile 2023,15
,,Rina NIIJIMA ,,IQFOIL Fem.,(11),G,2,,122,75,Semaine Olympique Francaise De Voile 2023,1
,,Rina NIIJIMA ,,IQFOIL Fem.,7,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,2
,,Rina NIIJIMA ,,IQFOIL Fem.,(14),G,2,,122,75,Semaine Olympique Francaise De Voile 2023,3
,,Rina NIIJIMA ,,IQFOIL Fem.,9,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,4
,,Rina NIIJIMA ,,IQFOIL Fem.,10,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,5
,,Rina NIIJIMA ,,IQFOIL Fem.,5,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,6
,,Rina NIIJIMA ,,IQFOIL Fem.,3,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,7
,,Rina NIIJIMA ,,IQFOIL Fem.,8,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,8
,,Rina NIIJIMA ,,IQFOIL Fem.,9,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,9
,,Rina NIIJIMA ,,IQFOIL Fem.,4,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,10
,,Rina NIIJIMA ,,IQFOIL Fem.,(22),G,2,,122,75,Semaine Olympique Francaise De Voile 2023,11
,,Rina NIIJIMA ,,IQFOIL Fem.,11,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,12
,,Rina NIIJIMA ,,IQFOIL Fem.,6,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,13
,,Rina NIIJIMA ,,IQFOIL Fem.,3,G,2,,122,75,Semaine Olympique Francaise De Voile 2023,14
,,Rina NIIJIMA ,,IQFOIL Fem.,2,Medal Race,2,,122,75,Semaine Olympique Francaise De Voile 2023,15
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,(3),G,3,,27,12,Semaine Olympique Francaise De Voile 2023,1
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,(5),G,3,,27,12,Semaine Olympique Francaise De Voile 2023,2
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,3
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,2,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,4
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,5
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,6
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,7
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,8
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,9
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,(7),G,3,,27,12,Semaine Olympique Francaise De Voile 2023,10
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,11
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,12
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,13
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,1,G,3,,27,12,Semaine Olympique Francaise De Voile 2023,14
,,Laerke BUHL-HANSEN ,,IQFOIL Fem.,3,Medal Race,3,,27,12,Semaine Olympique Francaise De Voile 2023,15
,,Katerina SVIKOVA ,,IQFOIL Fem.,(17),G,4,,85,52,Semaine Olympique Francaise De Voile 2023,1
,,Katerina SVIKOVA ,,IQFOIL Fem.,6,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,2
,,Katerina SVIKOVA ,,IQFOIL Fem.,5,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,3
,,Katerina SVIKOVA ,,IQFOIL Fem.,3,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,4
,,Katerina SVIKOVA ,,IQFOIL Fem.,6,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,5
,,Katerina SVIKOVA ,,IQFOIL Fem.,3,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,6
,,Katerina SVIKOVA ,,IQFOIL Fem.,4,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,7
,,Katerina SVIKOVA ,,IQFOIL Fem.,6,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,8
,,Katerina SVIKOVA ,,IQFOIL Fem.,3,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,9
,,Katerina SVIKOVA ,,IQFOIL Fem.,6,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,10
,,Katerina SVIKOVA ,,IQFOIL Fem.,4,G,4,,85,52,Semaine Olympique Francaise De Voile 2023,11
