Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Fabien PIANAZZA  ,,IQFOIL Masc.,5,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,1
,,Fabien PIANAZZA  ,,IQFOIL Masc.,1,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,2
,,Fabien PIANAZZA  ,,IQFOIL Masc.,5,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,3
,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,4
,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,5
,,Fabien PIANAZZA  ,,IQFOIL Masc.,(8),G,1,,54,34,Semaine Olympique Francaise De Voile 2023,6
,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,7
,,Fabien PIANAZZA  ,,IQFOIL Masc.,5,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,8
,,Fabien PIANAZZA  ,,IQFOIL Masc.,(6),G,1,,54,34,Semaine Olympique Francaise De Voile 2023,9
,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,10
,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,11
,,Fabien PIANAZZA  ,,IQFOIL Masc.,2,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,12
,,Fabien PIANAZZA  ,,IQFOIL Masc.,(6),G,1,,54,34,Semaine Olympique Francaise De Voile 2023,13
,,Fabien PIANAZZA  ,,IQFOIL Masc.,1,G,1,,54,34,Semaine Olympique Francaise De Voile 2023,14
,,Fabien PIANAZZA  ,,IQFOIL Masc.,1,Medal Race,1,,54,34,Semaine Olympique Francaise De Voile 2023,15
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,1
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,(9),G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,2
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,6,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,3
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,RDG4.70,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,4
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,6,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,5
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,(7),G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,6
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,7
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,3,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,8
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,9
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,10
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,1,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,11
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,1,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,12
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,BFD(22),G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,13
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,4,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,14
,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,Medal Race,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,15
,,Mateus ISAAC ,,IQFOIL Masc.,(4),G,3,,32,20,Semaine Olympique Francaise De Voile 2023,1
,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,2
,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,3
,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,4
,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,5
,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,6
,,Mateus ISAAC ,,IQFOIL Masc.,1,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,7
,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,8
,,Mateus ISAAC ,,IQFOIL Masc.,1,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,9
,,Mateus ISAAC ,,IQFOIL Masc.,1,G,3,,32,20,Semaine Olympique Francaise De Voile 2023,10
,,Mateus ISAAC ,,IQFOIL Masc.,(5),G,3,,32,20,Semaine Olympique Francaise De Voile 2023,11
