Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Redesmere Sailing Club,,Ilca 7,2,G,1,,54,36,Semaine Olympique Francaise De Voile 2023,1
,,Redesmere Sailing Club,,Ilca 7,1,G,1,,54,36,Semaine Olympique Francaise De Voile 2023,2
,,Redesmere Sailing Club,,Ilca 7,1,G,1,,54,36,Semaine Olympique Francaise De Voile 2023,3
,,Redesmere Sailing Club,,Ilca 7,1,G,1,,54,36,Semaine Olympique Francaise De Voile 2023,4
,,Redesmere Sailing Club,,Ilca 7,(18),G,1,,54,36,Semaine Olympique Francaise De Voile 2023,5
,,Redesmere Sailing Club,,Ilca 7,8,G,1,,54,36,Semaine Olympique Francaise De Voile 2023,6
,,Redesmere Sailing Club,,Ilca 7,6,O,1,,54,36,Semaine Olympique Francaise De Voile 2023,7
,,Redesmere Sailing Club,,Ilca 7,4,O,1,,54,36,Semaine Olympique Francaise De Voile 2023,8
,,Redesmere Sailing Club,,Ilca 7,7,O,1,,54,36,Semaine Olympique Francaise De Voile 2023,9
,,Redesmere Sailing Club,,Ilca 7,4,O,1,,54,36,Semaine Olympique Francaise De Voile 2023,10
,,Redesmere Sailing Club,,Ilca 7,2,Medal Race,1,,54,36,Semaine Olympique Francaise De Voile 2023,11
,,Solva Sailing Club,,Ilca 7,3,G,2,,48,37,Semaine Olympique Francaise De Voile 2023,1
,,Solva Sailing Club,,Ilca 7,3,G,2,,48,37,Semaine Olympique Francaise De Voile 2023,2
,,Solva Sailing Club,,Ilca 7,5,G,2,,48,37,Semaine Olympique Francaise De Voile 2023,3
,,Solva Sailing Club,,Ilca 7,3,G,2,,48,37,Semaine Olympique Francaise De Voile 2023,4
,,Solva Sailing Club,,Ilca 7,1,G,2,,48,37,Semaine Olympique Francaise De Voile 2023,5
,,Solva Sailing Club,,Ilca 7,4,G,2,,48,37,Semaine Olympique Francaise De Voile 2023,6
,,Solva Sailing Club,,Ilca 7,(11),O,2,,48,37,Semaine Olympique Francaise De Voile 2023,7
,,Solva Sailing Club,,Ilca 7,3,O,2,,48,37,Semaine Olympique Francaise De Voile 2023,8
,,Solva Sailing Club,,Ilca 7,4,O,2,,48,37,Semaine Olympique Francaise De Voile 2023,9
,,Solva Sailing Club,,Ilca 7,3,O,2,,48,37,Semaine Olympique Francaise De Voile 2023,10
,,Solva Sailing Club,,Ilca 7,8,Medal Race,2,,48,37,Semaine Olympique Francaise De Voile 2023,11
,,,,Ilca 7,16,G,3,,63,43,Semaine Olympique Francaise De Voile 2023,1
,,,,Ilca 7,4,G,3,,63,43,Semaine Olympique Francaise De Voile 2023,2
,,,,Ilca 7,4,G,3,,63,43,Semaine Olympique Francaise De Voile 2023,3
,,,,Ilca 7,2,G,3,,63,43,Semaine Olympique Francaise De Voile 2023,4
,,,,Ilca 7,3,G,3,,63,43,Semaine Olympique Francaise De Voile 2023,5
,,,,Ilca 7,6,G,3,,63,43,Semaine Olympique Francaise De Voile 2023,6
,,,,Ilca 7,1,O,3,,63,43,Semaine Olympique Francaise De Voile 2023,7
,,,,Ilca 7,1,O,3,,63,43,Semaine Olympique Francaise De Voile 2023,8
,,,,Ilca 7,2,O,3,,63,43,Semaine Olympique Francaise De Voile 2023,9
,,,,Ilca 7,(20),O,3,,63,43,Semaine Olympique Francaise De Voile 2023,10
,,,,Ilca 7,4,Medal Race,3,,63,43,Semaine Olympique Francaise De Voile 2023,11
,,RPYC/FSC,,Ilca 7,4,G,4,,72,56,Semaine Olympique Francaise De Voile 2023,1
