Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Michele LAURENZA ,,IQFOIL Masc.,5,G,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,1
,,Michele LAURENZA ,,IQFOIL Masc.,5,G,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,2
,,Michele LAURENZA ,,IQFOIL Masc.,3,G,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,3
,,Michele LAURENZA ,,IQFOIL Masc.,1,G,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,4
,,Michele LAURENZA ,,IQFOIL Masc.,9,G,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,5
,,Michele LAURENZA ,,IQFOIL Masc.,5,G,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,6
,,Michele LAURENZA ,,IQFOIL Masc.,9,O,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,7
,,Michele LAURENZA ,,IQFOIL Masc.,(12),O,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,8
,,Michele LAURENZA ,,IQFOIL Masc.,1,O,1,,50,38,Trofeo S.A.R Princesa Sofia 2023,9
,,Michele LAURENZA ,,IQFOIL Masc.,4,G,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,1
,,Michele LAURENZA ,,IQFOIL Masc.,1,G,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,2
,,Michele LAURENZA ,,IQFOIL Masc.,4,G,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,3
,,Michele LAURENZA ,,IQFOIL Masc.,4,G,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,4
,,Michele LAURENZA ,,IQFOIL Masc.,2,G,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,5
,,Michele LAURENZA ,,IQFOIL Masc.,9,G,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,6
,,Michele LAURENZA ,,IQFOIL Masc.,(24),O,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,7
,,Michele LAURENZA ,,IQFOIL Masc.,1,O,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,8
,,Michele LAURENZA ,,IQFOIL Masc.,14,O,2,,63,39,Trofeo S.A.R Princesa Sofia 2023,9
,,Michele LAURENZA ,,IQFOIL Masc.,1,G,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,1
,,Michele LAURENZA ,,IQFOIL Masc.,2,G,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,2
,,Michele LAURENZA ,,IQFOIL Masc.,15,G,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,3
,,Michele LAURENZA ,,IQFOIL Masc.,11,G,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,4
,,Michele LAURENZA ,,IQFOIL Masc.,2,G,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,5
,,Michele LAURENZA ,,IQFOIL Masc.,4,G,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,6
,,Michele LAURENZA ,,IQFOIL Masc.,14,O,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,7
,,Michele LAURENZA ,,IQFOIL Masc.,(28),O,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,8
,,Michele LAURENZA ,,IQFOIL Masc.,7,O,3,,84,56,Trofeo S.A.R Princesa Sofia 2023,9
,,Michele LAURENZA ,,IQFOIL Masc.,9,G,4,,75,57,Trofeo S.A.R Princesa Sofia 2023,1
,,Michele LAURENZA ,,IQFOIL Masc.,1,G,4,,75,57,Trofeo S.A.R Princesa Sofia 2023,2
