Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,3,G,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,1
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,1,G,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,2
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,3,G,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,3
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,14,G,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,4
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,5,G,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,5
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,1,O,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,6
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,2,O,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,7
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,16,O,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,8
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,3,O,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,9
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,(22),O,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,10
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,12,Medal Race,1,,82,60,Trofeo S.A.R Princesa Sofia 2023,11
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,6,G,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,1
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,2,G,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,2
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,1,G,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,3
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,3,G,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,4
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,17,G,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,5
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,(39),O,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,6
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,21,O,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,7
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,20,O,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,8
,,YACHT CLUB COSTA SMERALDA,,Ilca 6,7,O,2,,126,87,Trofeo S.A.R Princesa Sofia 2023,9
