Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Sarah Steyaert, Aude Compan",,49erFX,14,MR,6,,158,133,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Elena Christine Stoffers, Leonie Meyer",,49erFX,8,MR,8,,177,148,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Martine Grael, Kahena Kunze",,49erFX,12,MR,2,,111,94,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Marie Roenningen, Helene Naess",,49erFX,22,MR,10,,189,159,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Lisa Örn, Hanna Klinga",,49erFX,16,MR,5,,162,132,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Olivia Price, Eliza Solly",,49erFX,18,MR,9,,174,151,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Alex Maloney, Molly Meech",,49erFX,6,MR,7,,171,143,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Ida Marie Baad Nielsen, Marie Thusgaard Olsen",,49erFX,4,MR,1,,114,87,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Francesca Clapcich, Giulia Conti",,49erFX,10,MR,3,,139,99,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Katja Salskov-Iversen, Jena Hansen",,49erFX,2,MR,4,,143,103,Semaine Olympique Francaise De Voile 2015,Race 13 - Medal,0
,,"Lotta Goerge, Jule Goerge",,49erFX,25,aa,18,,230,193,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Julie Bossard, Lili Sebesi",,49erFX,3,aa,22,,244,204,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Francesca Clapcich, Giulia Conti",,49erFX,12,aa,3,,139,99,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Marie Roenningen, Helene Naess",,49erFX,30,aa,10,,189,159,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Erin Berry, Ingrid Merry",,49erFX,37,aa,36,,371,331,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Anika Lorenz, Victoria Jurczok",,49erFX,5,aa,25,,259,228,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Maiken Foght Schütt, Anne-Julie Schütt",,49erFX,13,aa,12,,167,142,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Nina Keijzer, Claire Blom",,49erFX,15,aa,15,,199,167,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Kayla McComb, Mayumi Roller",,49erFX,4,aa,30,,318,278,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Sara Tan, Griselda Khng",,49erFX,40,aa,24,,258,218,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Noora Ruskola, Camilla Cedercreutz",,49erFX,14,aa,27,,270,241,Semaine Olympique Francaise De Voile 2015,Race 8,0
,,"Silja Kanerva, Sinem Kurtbay",,49erFX,26,aa,19,,222,194,Semaine Olympique Francaise De Voile 2015,Race 8,0
