Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Tatiana Drozdovskaya,,Ilca 6,28,aa,15,,144,116,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Silvia Zennaro,,Ilca 6,14,aa,19,,171,134,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Tina Mihelic,,Ilca 6,31,aa,20,,169,136,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Elena Vorobeva,,Ilca 6,35,aa,40,,259,219,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Cagla Donertas,,Ilca 6,19,aa,32,,218,177,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Lisa Fasselt,,Ilca 6,33,aa,36,,238,198,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Fernanda Decnop Coelho,,Ilca 6,37,aa,34,,227,186,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Lucia Falasca,,Ilca 6,24,aa,35,,218,186,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Marit Bouwmeester,,Ilca 6,10,aa,6,,89,73,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Alicia Cebrian,,Ilca 6,30,aa,13,,134,95,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Evi Van Acker,,Ilca 6,2,aa,1,,44,27,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Gintare Scheidt,,Ilca 6,4,aa,2,,70,48,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Maxime Jonker,,Ilca 6,26,aa,28,,199,165,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Mathilde de Kerangat,,Ilca 6,16,aa,16,,149,117,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Sara Winther,,Ilca 6,32,aa,21,,170,136,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Marthe Eide,,Ilca 6,20,aa,27,,195,159,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Anna Weinzieher,,Ilca 6,27,aa,29,,203,166,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Hannah Snellgrove,,Ilca 6,7,aa,31,,215,176,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Alison Young,,Ilca 6,15,aa,8,,99,77,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Viktorija Andrulyte,,Ilca 6,23,aa,22,,172,138,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Josefin Olsson,,Ilca 6,8,aa,3,,71,50,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Claire Merry,,Ilca 6,41,aa,38,,258,217,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Veronika Kozelska Fenclova,,Ilca 6,11,aa,10,,139,106,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Dongshuang Zhang,,Ilca 6,17,aa,9,,127,99,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Marie Bolou,,Ilca 6,41,aa,26,,195,154,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Chloe Martin,,Ilca 6,13,aa,17,,157,119,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Amelie Riou,,Ilca 6,21,aa,39,,257,218,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Isabella-Anna Bertold,,Ilca 6,22,aa,14,,149,110,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Ashley Stoddart,,Ilca 6,6,aa,24,,184,149,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Svenja Weger,,Ilca 6,29,aa,33,,221,184,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Daphne van der Vaart,,Ilca 6,34,aa,37,,246,210,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Emma Plasschaert,,Ilca 6,3,aa,5,,96,72,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Annalise Murphy,,Ilca 6,5,aa,30,,214,176,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Paige Railey,,Ilca 6,9,aa,7,,116,75,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Elizabeth Yin,,Ilca 6,38,aa,18,,164,126,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Tuula Tenkanen,,Ilca 6,18,aa,12,,129,93,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Sarah Gunni Schierup,,Ilca 6,12,aa,11,,125,91,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Manami Doi,,Ilca 6,25,aa,23,,181,144,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Joyce Floridia,,Ilca 6,36,aa,25,,191,150,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Anne-Marie Rindom,,Ilca 6,1,aa,4,,76,52,Semaine Olympique Francaise De Voile 2015,Race 4,0
,,Maxime Jonker,,Ilca 6,16,aa,28,,199,165,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Marit Bouwmeester,,Ilca 6,3,aa,6,,89,73,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Svenja Weger,,Ilca 6,37,aa,33,,221,184,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Veronika Kozelska Fenclova,,Ilca 6,22,aa,10,,139,106,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Isabella-Anna Bertold,,Ilca 6,14,aa,14,,149,110,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Marthe Eide,,Ilca 6,32,aa,27,,195,159,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Elizabeth Yin,,Ilca 6,18,aa,18,,164,126,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Fernanda Decnop Coelho,,Ilca 6,35,aa,34,,227,186,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Daphne van der Vaart,,Ilca 6,31,aa,37,,246,210,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Sarah Gunni Schierup,,Ilca 6,21,aa,11,,125,91,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Tatiana Drozdovskaya,,Ilca 6,11,aa,15,,144,116,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Claire Merry,,Ilca 6,17,aa,38,,258,217,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Anna Weinzieher,,Ilca 6,25,aa,29,,203,166,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Anne-Marie Rindom,,Ilca 6,4,aa,4,,76,52,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Alicia Cebrian,,Ilca 6,28,aa,13,,134,95,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Dongshuang Zhang,,Ilca 6,19,aa,9,,127,99,Semaine Olympique Francaise De Voile 2015,Race 7,0
,,Viktorija Andrulyte,,Ilca 6,30,aa,22,,172,138,Semaine Olympique Francaise De Voile 2015,Race 7,0
