Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,"Anna Markfort, Simon Diesch",,470,8.0,G,5,,103.0,81.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Jeremie Mion, Camille Lecointre",,470,1.0,G,7,,101.0,83.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Nicolas Rodriguez, Silvia Mas",,470,12.0,G,17,,139.0,108.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Cassandre Blandin, Corentin BRETAGNE",,470,32.0,G,31,,206.0,174.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Na Kyung Lee, Ji-hoon Kim",,470,21.0,G,49,,176.0,152.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Tetsuya Isozaki, Yurie Seki",,470,5.0,G,9,,127.0,98.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Rodolfo Pires, Beatriz Gago",,470,29.0,G,11,,117.0,88.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Pablo Ruiz Ponce, Mar Gil Roig",,470,15.0,G,43,,164.0,135.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Linda Fahrni, Cyril Schuepbach",,470,4.0,G,14,,131.0,98.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Sam Street, Brittany Wornall",,470,25.0,G,57,,234.0,201.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Ariadni Paraskevi Spanaki, Odysseas Emmanouil Spanakis",,470,3.0,G,20,,159.0,132.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Efe Tulcali, Defne Danismend",,470,13.0,G,44,,165.0,140.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Fuyuka Morita, Daichi Takayama",,470,26.0,G,18,,137.0,111.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Anton Dahlberg, Lovisa Karlsson",,470,9.0,G,6,,106.0,83.0,Semaine Olympique Francaise De Voile 2023,7F,0
,,"Franciszek Borys, Zofia Korsak",,470,23.0,G,54,,206.0,173.0,Semaine Olympique Francaise De Voile 2023,7F,0
