Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Zohar Haruvi,,Formula Kite Masc.,20,aa,27,,309.0,242.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Mario Calbucci,,Formula Kite Masc.,2,aa,18,,262.0,196.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Kameron Alexandros Maramenidis,,Formula Kite Masc.,9,aa,22,,294.0,210.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Martin Dolenc,,Formula Kite Masc.,10,aa,11,,157.0,111.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Maximilian Maeder,,Formula Kite Masc.,13,aa,2,,84.0,42.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Alexander Ehlen,,Formula Kite Masc.,3,aa,6,,160.0,93.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Haoran Zhang,,Formula Kite Masc.,23,aa,25,,318.0,234.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Lucas Pes Fonseca,,Formula Kite Masc.,11,aa,23,,290.0,216.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Jan Marciniak,,Formula Kite Masc.,16,aa,17,,264.0,192.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Lorenzo Boschetti,,Formula Kite Masc.,8,aa,5,,140.0,87.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Markus Edegran,,Formula Kite Masc.,5,aa,7,,149.0,105.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Dor Zarka,,Formula Kite Masc.,12,aa,21,,257.0,202.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Jannis Maus,,Formula Kite Masc.,15,aa,10,,142.0,98.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Valentin Bontus,,Formula Kite Masc.,18,aa,14,,215.0,139.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Alejandro Climent,,Formula Kite Masc.,19,aa,26,,322.0,238.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Florian Gruber,,Formula Kite Masc.,24,aa,13,,185.0,136.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Denis Taradin,,Formula Kite Masc.,7,aa,12,,195.0,126.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Bruce Kessler,,Formula Kite Masc.,17,aa,24,,283.0,217.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Connor Bainbridge,,Formula Kite Masc.,6,aa,3,,87.0,49.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Axel Mazella,,Formula Kite Masc.,4,aa,1,,70.0,38.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Benoit Gomez,,Formula Kite Masc.,14,aa,8,,162.0,99.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Toni Vodisek,,Formula Kite Masc.,28,aa,15,,219.0,143.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Kai Calder,,Formula Kite Masc.,22,aa,20,,262.0,198.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Maxime Nocher,,Formula Kite Masc.,1,aa,4,,62.0,44.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Theo de Ramecourt,,Formula Kite Masc.,28,aa,9,,157.0,97.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Nicolas Parlier,,Formula Kite Masc.,28,aa,16,,226.0,168.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Guy Bridge,,Formula Kite Masc.,21,aa,19,,257.0,196.0,Semaine Olympique Francaise De Voile 2023,10F,0
,,Kameron Alexandros Maramenidis,,Formula Kite Masc.,25,aa,22,,294.0,210.0,Semaine Olympique Francaise De Voile 2023,13F,0
,,Toni Vodisek,,Formula Kite Masc.,10,aa,15,,219.0,143.0,Semaine Olympique Francaise De Voile 2023,13F,0
,,Markus Edegran,,Formula Kite Masc.,12,aa,7,,149.0,105.0,Semaine Olympique Francaise De Voile 2023,13F,0
