Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Francisco Cruz Saubidet Birkner,,IQFOIL Masc.,3.0,aa,5,,100.0,63.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,David Drda,,IQFOIL Masc.,16.0,aa,14,,181.0,127.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Mateus Isaac,,IQFOIL Masc.,2.0,aa,3,,32.0,20.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Emile Roullet,,IQFOIL Masc.,12.0,aa,13,,177.0,125.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Alexis Mathis,,IQFOIL Masc.,14.0,aa,7,,153.0,97.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Bence Santa,,IQFOIL Masc.,22.0,aa,19,,223.0,164.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Mathieu LEROY,,IQFOIL Masc.,22.0,aa,20,,278.0,212.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Jake Lilley,,IQFOIL Masc.,22.0,aa,21,,286.0,220.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,William McMillan,,IQFOIL Masc.,1.0,aa,4,,83.0,30.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Fabien Pianazza,,IQFOIL Masc.,6.0,aa,1,,54.0,34.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Colin HERMITANT,,IQFOIL Masc.,5.0,aa,9,,133.0,85.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Marcos Quiroga,,IQFOIL Masc.,22.0,aa,16,,210.0,149.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Daiya Kuramochi,,IQFOIL Masc.,15.0,aa,17,,210.0,153.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Romain Ghio,,IQFOIL Masc.,10.0,aa,8,,100.0,66.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Kensei Ikeda,,IQFOIL Masc.,11.0,aa,6,,113.0,74.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Tomonori Anami,,IQFOIL Masc.,7.0,aa,12,,171.0,118.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Karel Lavicky,,IQFOIL Masc.,4.0,aa,10,,116.0,70.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Jules Chantrel,,IQFOIL Masc.,9.0,aa,11,,172.0,112.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Mate Bors,,IQFOIL Masc.,8.0,aa,18,,224.0,160.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Onur Cavit Biriz,,IQFOIL Masc.,22.0,aa,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Julien Rodriguez,,IQFOIL Masc.,13.0,aa,15,,189.0,133.0,Semaine Olympique Francaise De Voile 2023,13(SL),0
,,Kensei Ikeda,,IQFOIL Masc.,4.0,aa,6,,113.0,74.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,Onur Cavit Biriz,,IQFOIL Masc.,7.0,aa,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,William McMillan,,IQFOIL Masc.,10.0,aa,4,,83.0,30.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,Mateus Isaac,,IQFOIL Masc.,2.0,aa,3,,32.0,20.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,Julien Rodriguez,,IQFOIL Masc.,22.0,aa,15,,189.0,133.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,Daiya Kuramochi,,IQFOIL Masc.,13.0,aa,17,,210.0,153.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,Emile Roullet,,IQFOIL Masc.,9.0,aa,13,,177.0,125.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,Mate Bors,,IQFOIL Masc.,22.0,aa,18,,224.0,160.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,Jules Chantrel,,IQFOIL Masc.,12.0,aa,11,,172.0,112.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
,,Alexis Mathis,,IQFOIL Masc.,6.0,aa,7,,153.0,97.0,Semaine Olympique Francaise De Voile 2023,6(CR),0
