Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Ethan Westera,4,IQFOIL Masc,25.0,P,75,,95.0,58.0,European Championship 2021 - Silver Fleet,Q1
Elia Colombo,4,IQFOIL Masc,33.0,P,76,,169.0,60.0,European Championship 2021 - Silver Fleet,Q1
Johan Soe,4,IQFOIL Masc,(37.0 DNCs),P,77,,109.0,65.0,European Championship 2021 - Silver Fleet,Q1
Matteo Benz,4,IQFOIL Masc,(27.0),P,78,,116.0,72.0,European Championship 2021 - Silver Fleet,Q1
JORGE ARANZUEQUE CAMPELLO,4,IQFOIL Masc,15.0,P,79,,216.0,91.0,European Championship 2021 - Silver Fleet,Q1
Shalev Egozy,4,IQFOIL Masc,19.0,P,80,,155.0,91.0,European Championship 2021 - Silver Fleet,Q1
Lee Taehoon,4,IQFOIL Masc,(33.0),P,81,,173.0,95.0,European Championship 2021 - Silver Fleet,Q1
John Kaju,4,IQFOIL Masc,9.0,P,82,,168.0,104.0,European Championship 2021 - Silver Fleet,Q1
Christian Linnerud,4,IQFOIL Masc,(27.0),P,83,,169.0,105.0,European Championship 2021 - Silver Fleet,Q1
Sebastian Scharer,4,IQFOIL Masc,11.0,P,84,,224.0,128.0,European Championship 2021 - Silver Fleet,Q1
Riccardo Onali,4,IQFOIL Masc,19.0,P,85,,209.0,131.0,European Championship 2021 - Silver Fleet,Q1
Juozas Bernotas,4,IQFOIL Masc,(29.0),P,86,,197.0,131.0,European Championship 2021 - Silver Fleet,Q1
Mattia Camboni,4,IQFOIL Masc,17.0,P,87,,224.0,131.0,European Championship 2021 - Silver Fleet,Q1
Manolo Modena,4,IQFOIL Masc,11.0,P,88,,205.0,132.0,European Championship 2021 - Silver Fleet,Q1
Max Beaman,4,IQFOIL Masc,(37.0 DNFs),P,89,,219.0,137.0,European Championship 2021 - Silver Fleet,Q1
Albert Serra Moreno,4,IQFOIL Masc,17.0,P,90,,211.0,139.0,European Championship 2021 - Silver Fleet,Q1
Malik Hoveling,4,IQFOIL Masc,13.0,P,91,,225.0,144.0,European Championship 2021 - Silver Fleet,Q1
Alfred Tang Dixen,4,IQFOIL Masc,23.0,P,92,,258.0,157.0,European Championship 2021 - Silver Fleet,Q1
Vladislav Burmistrenko,4,IQFOIL Masc,9.0,P,93,,310.0,157.0,European Championship 2021 - Silver Fleet,Q1
Alexander Temko,4,IQFOIL Masc,(23.0),P,94,,306.0,168.0,European Championship 2021 - Silver Fleet,Q1
Mateo Bors,4,IQFOIL Masc,21.0,P,95,,277.0,171.0,European Championship 2021 - Silver Fleet,Q1
Bence Santa,4,IQFOIL Masc,13.0,P,96,,255.0,177.0,European Championship 2021 - Silver Fleet,Q1
Lars Poggemann,4,IQFOIL Masc,(37.0 DNFs),P,97,,264.0,183.0,European Championship 2021 - Silver Fleet,Q1
