Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
ELLIOTT-SHIRCORE Stefan,6,Ilca 7,(52.0),B,1,,185.0,84.0,European Championship 2023 - Bronze Fleet,Q1
MOUTOUT Jeremy,6,Ilca 7,28.0,B,2,,240.0,123.0,European Championship 2023 - Bronze Fleet,Q1
KRABBE-CHRISTENSEN Andreas,6,Ilca 7,(63.0 ufd),B,3,,235.0,125.0,European Championship 2023 - Bronze Fleet,Q1
FLOWER Ben,6,Ilca 7,(51.0),B,4,,249.0,135.0,European Championship 2023 - Bronze Fleet,Q1
BRUCE Liam,6,Ilca 7,36.0,B,5,,232.0,143.0,European Championship 2023 - Bronze Fleet,Q1
VERHULST Martin,6,Ilca 7,(41.0),B,6,,234.0,144.0,European Championship 2023 - Bronze Fleet,Q1
WANSER Till,6,Ilca 7,40.0,B,7,,246.0,148.0,European Championship 2023 - Bronze Fleet,Q1
BOEKHOLT Daan,6,Ilca 7,36.0,B,8,,246.0,161.0,European Championship 2023 - Bronze Fleet,Q1
MALINOWSKI Piotr,6,Ilca 7,(56.0),B,9,,274.0,165.0,European Championship 2023 - Bronze Fleet,Q1
MORBIDUCCI Tito,6,Ilca 7,44.0,B,10,,260.0,166.0,European Championship 2023 - Bronze Fleet,Q1
ZAMIT Loukianos,6,Ilca 7,(56.0),B,11,,266.0,167.0,European Championship 2023 - Bronze Fleet,Q1
VAKHRUSHEV Ivan,6,Ilca 7,(47.0),B,12,,265.0,173.0,European Championship 2023 - Bronze Fleet,Q1
CVINAR Alec,6,Ilca 7,(47.0),B,13,,277.0,186.0,European Championship 2023 - Bronze Fleet,Q1
STRELCIUNAS Vejas,6,Ilca 7,55.0,B,14,,319.0,193.0,European Championship 2023 - Bronze Fleet,Q1
ORJAVIK Jens Kaastad,6,Ilca 7,(54.0),B,15,,287.0,194.0,European Championship 2023 - Bronze Fleet,Q1
GOLUBIC Bozidar,6,Ilca 7,31.0,B,16,,280.0,195.0,European Championship 2023 - Bronze Fleet,Q1
BANJAC Nikola,6,Ilca 7,(54.0 FL-SCP),B,17,,315.0,198.0,European Championship 2023 - Bronze Fleet,Q1
LANGAAS-HOLT Sverre,6,Ilca 7,41.0,B,18,,309.0,200.0,European Championship 2023 - Bronze Fleet,Q1
KUSS Lennart,6,Ilca 7,42.0,B,19,,294.0,201.0,European Championship 2023 - Bronze Fleet,Q1
EYRIPARMAK Umut,6,Ilca 7,26.0,B,20,,311.0,203.0,European Championship 2023 - Bronze Fleet,Q1
AGANOVIC Benjamin,6,Ilca 7,27.0,B,21,,317.0,204.0,European Championship 2023 - Bronze Fleet,Q1
SMITH Malcolm Benn,6,Ilca 7,(52.0),B,22,,300.0,205.0,European Championship 2023 - Bronze Fleet,Q1
WACHHOLZ Forrest,6,Ilca 7,(54.0),B,23,,317.0,213.0,European Championship 2023 - Bronze Fleet,Q1
JANULIONIS Radvilas,6,Ilca 7,25.0,B,24,,349.0,223.0,European Championship 2023 - Bronze Fleet,Q1
ANSTEY Luke,6,Ilca 7,31.0,B,25,,339.0,225.0,European Championship 2023 - Bronze Fleet,Q1
ALCALAY Yogev,6,Ilca 7,2.0,B,26,,353.0,227.0,European Championship 2023 - Bronze Fleet,Q1
MICHALAK Milosz,6,Ilca 7,37.0,B,27,,325.0,227.0,European Championship 2023 - Bronze Fleet,Q1
BROWN Alastair,6,Ilca 7,(58.0),B,28,,345.0,240.0,European Championship 2023 - Bronze Fleet,Q1
LIBRI Edoardo,6,Ilca 7,35.0,B,29,,360.0,243.0,European Championship 2023 - Bronze Fleet,Q1
KOWALSKI Caspar,6,Ilca 7,43.0,B,30,,359.0,246.0,European Championship 2023 - Bronze Fleet,Q1
MOHRING Christoph,6,Ilca 7,45.0,B,31,,350.0,247.0,European Championship 2023 - Bronze Fleet,Q1
FRACASSI Alessandro,6,Ilca 7,33.0,B,32,,348.0,251.0,European Championship 2023 - Bronze Fleet,Q1
BEKS Stijn,6,Ilca 7,(51.0),B,33,,370.0,256.0,European Championship 2023 - Bronze Fleet,Q1
VAN ROOMEN Timo,6,Ilca 7,39.0,B,34,,363.0,258.0,European Championship 2023 - Bronze Fleet,Q1
DEN TEX Cornelis,6,Ilca 7,41.0,B,35,,384.0,262.0,European Championship 2023 - Bronze Fleet,Q1
VERON Paul,6,Ilca 7,48.0,B,36,,402.0,276.0,European Championship 2023 - Bronze Fleet,Q1
DE PAULI Giovanni,6,Ilca 7,(53.0),B,37,,381.0,278.0,European Championship 2023 - Bronze Fleet,Q1
SECHI Claudio,6,Ilca 7,(58.0),B,38,,435.0,318.0,European Championship 2023 - Bronze Fleet,Q1
ROSZYK Hubert,6,Ilca 7,40.0,B,39,,432.0,322.0,European Championship 2023 - Bronze Fleet,Q1
VASZI Mikulas,6,Ilca 7,46.0,B,40,,441.0,329.0,European Championship 2023 - Bronze Fleet,Q1
KRONEGGER Paul,6,Ilca 7,37.0,B,41,,449.0,330.0,European Championship 2023 - Bronze Fleet,Q1
KOOSER Bo Aaron,6,Ilca 7,46.0,B,42,,450.0,334.0,European Championship 2023 - Bronze Fleet,Q1
MARINI Marco,6,Ilca 7,(52.0),B,43,,444.0,334.0,European Championship 2023 - Bronze Fleet,Q1
MIGLIACCIO Lorenzo,6,Ilca 7,(55.0),B,44,,463.0,350.0,European Championship 2023 - Bronze Fleet,Q1
GARCIA Pedro,6,Ilca 7,45.0,B,45,,478.0,361.0,European Championship 2023 - Bronze Fleet,Q1
ARTIUKH Nazar,6,Ilca 7,45.0,B,46,,492.0,375.0,European Championship 2023 - Bronze Fleet,Q1
CASALINS DONOSO Javier,6,Ilca 7,48.0,B,47,,504.0,381.0,European Championship 2023 - Bronze Fleet,Q1
BLAKE Jamie,6,Ilca 7,50.0,B,48,,498.0,381.0,European Championship 2023 - Bronze Fleet,Q1
LIPCHENKO Andrii,6,Ilca 7,49.0,B,49,,503.0,381.0,European Championship 2023 - Bronze Fleet,Q1
CASTELLI Alessandro,6,Ilca 7,50.0,B,50,,508.0,382.0,European Championship 2023 - Bronze Fleet,Q1
ARVEDI Ferruccio,6,Ilca 7,57.0,B,51,,514.0,395.0,European Championship 2023 - Bronze Fleet,Q1
HIMMEL Jiri,6,Ilca 7,49.0,B,52,,524.0,404.0,European Championship 2023 - Bronze Fleet,Q1
EASTMAN PEREZ John Eric,6,Ilca 7,(63.0 ufd),B,53,,536.0,410.0,European Championship 2023 - Bronze Fleet,Q1
HEINISCH Amir,6,Ilca 7,58.0,B,54,,540.0,417.0,European Championship 2023 - Bronze Fleet,Q1
PETKOVIC Marko,6,Ilca 7,42.0,B,55,,543.0,425.0,European Championship 2023 - Bronze Fleet,Q1
SURKOV David,6,Ilca 7,(59.0),B,56,,550.0,428.0,European Championship 2023 - Bronze Fleet,Q1
CASSANMAGNAGO Valerio,6,Ilca 7,(63.0 ufd),B,57,,563.0,437.0,European Championship 2023 - Bronze Fleet,Q1
BOSSI Jeremy,6,Ilca 7,44.0,B,58,,559.0,440.0,European Championship 2023 - Bronze Fleet,Q1
NICOLINI Pietro,6,Ilca 7,61.0,B,59,,576.0,450.0,European Championship 2023 - Bronze Fleet,Q1
VALLESI Claudio,6,Ilca 7,57.0,B,60,,593.0,467.0,European Championship 2023 - Bronze Fleet,Q1
FONT REYERO Pol,6,Ilca 7,(63.0 ufd),B,61,,614.0,488.0,European Championship 2023 - Bronze Fleet,Q1
ANDERSON Ryan,6,Ilca 7,56.0,B,62,,623.0,497.0,European Championship 2023 - Bronze Fleet,Q1
ELLIOTT-SHIRCORE Stefan,6,Ilca 7,(49.0),B,1,,185.0,84.0,European Championship 2023 - Bronze Fleet,Q2
MOUTOUT Jeremy,6,Ilca 7,24.0,B,2,,240.0,123.0,European Championship 2023 - Bronze Fleet,Q2
KRABBE-CHRISTENSEN Andreas,6,Ilca 7,(47.0),B,3,,235.0,125.0,European Championship 2023 - Bronze Fleet,Q2
FLOWER Ben,6,Ilca 7,38.0,B,4,,249.0,135.0,European Championship 2023 - Bronze Fleet,Q2
BRUCE Liam,6,Ilca 7,30.0,B,5,,232.0,143.0,European Championship 2023 - Bronze Fleet,Q2
VERHULST Martin,6,Ilca 7,35.0,B,6,,234.0,144.0,European Championship 2023 - Bronze Fleet,Q2
WANSER Till,6,Ilca 7,(56.0),B,7,,246.0,148.0,European Championship 2023 - Bronze Fleet,Q2
BOEKHOLT Daan,6,Ilca 7,(41.0),B,8,,246.0,161.0,European Championship 2023 - Bronze Fleet,Q2
MALINOWSKI Piotr,6,Ilca 7,(53.0),B,9,,274.0,165.0,European Championship 2023 - Bronze Fleet,Q2
