Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
STIPANOVIC Tonci,6,Ilca 7,(7.0),O,1,,63.0,41.0,European Championship 2023 - Gold Fleet,Q1
JURISIC Filip,6,Ilca 7,(63.0 ufd),O,2,,129.0,42.0,European Championship 2023 - Gold Fleet,Q1
WEARN Matthew,6,Ilca 7,1.0,O,3,,73.0,48.0,European Championship 2023 - Gold Fleet,Q1
KONTIDES Pavlos,6,Ilca 7,(19.0),O,4,,102.0,62.0,European Championship 2023 - Gold Fleet,Q1
WILLIM Nik Aaron,6,Ilca 7,(24.0),O,5,,128.0,67.0,European Championship 2023 - Gold Fleet,Q1
MCAULLAY Ethan,6,Ilca 7,3.0,O,6,,127.0,74.0,European Championship 2023 - Gold Fleet,Q1
DE SMET William,6,Ilca 7,7.0,O,7,,120.0,78.0,European Championship 2023 - Gold Fleet,Q1
BUHL Philipp,6,Ilca 7,1.0,O,8,,146.0,82.0,European Championship 2023 - Gold Fleet,Q1
BOS Duko,6,Ilca 7,(7.0),O,9,,140.0,83.0,European Championship 2023 - Gold Fleet,Q1
ALEXANDER Finn,6,Ilca 7,9.0,O,10,,133.0,91.0,European Championship 2023 - Gold Fleet,Q1
VADNAI Jonatan,6,Ilca 7,2.0,O,11,,144.0,94.0,European Championship 2023 - Gold Fleet,Q1
BERNAZ Jean-baptiste,6,Ilca 7,1.0,O,12,,147.0,102.0,European Championship 2023 - Gold Fleet,Q1
LYNCH Finn,6,Ilca 7,5.0,O,13,,154.0,106.0,European Championship 2023 - Gold Fleet,Q1
CITAK Yigit Yalcin,6,Ilca 7,(16.0),O,14,,145.0,106.0,European Championship 2023 - Gold Fleet,Q1
BLANCO Joaquin,6,Ilca 7,(23.0),O,15,,159.0,109.0,European Championship 2023 - Gold Fleet,Q1
ABAY Berkay,6,Ilca 7,15.0,O,16,,235.0,109.0,European Championship 2023 - Gold Fleet,Q1
SPADONI Alessio,6,Ilca 7,8.0,O,17,,184.0,111.0,European Championship 2023 - Gold Fleet,Q1
BROEKHUIZEN Niels,6,Ilca 7,6.0,O,18,,161.0,112.0,European Championship 2023 - Gold Fleet,Q1
CHIAVARINI Lorenzo Brando,6,Ilca 7,10.0,O,19,,181.0,117.0,European Championship 2023 - Gold Fleet,Q1
DUKIC Milivoj,6,Ilca 7,22.0,O,20,,197.0,127.0,European Championship 2023 - Gold Fleet,Q1
PERONI Dimitri,6,Ilca 7,12.0,O,21,,194.0,128.0,European Championship 2023 - Gold Fleet,Q1
TOMASGAARD Hermann,6,Ilca 7,12.0,O,22,,201.0,130.0,European Championship 2023 - Gold Fleet,Q1
MARQUES Eduardo,6,Ilca 7,4.0,O,23,,173.0,136.0,European Championship 2023 - Gold Fleet,Q1
TAPPER Kaarle,6,Ilca 7,11.0,O,24,,199.0,137.0,European Championship 2023 - Gold Fleet,Q1
