Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
CARDOZO Luciana,6,Ilca 6,(52.0),P,1,,230.0,121.0,European Championship 2023 - Silver Fleet,Q1
PLETIKOS Lin,6,Ilca 6,(40.0),P,2,,203.0,125.0,European Championship 2023 - Silver Fleet,Q1
HIMMES Lara,6,Ilca 6,14.0,P,3,,203.0,132.0,European Championship 2023 - Silver Fleet,Q1
PALANTI Alessia,6,Ilca 6,(57.0 bfd),P,4,,236.0,139.0,European Championship 2023 - Silver Fleet,Q1
MATTIVI Emma,6,Ilca 6,5.0 RDG,P,5,,234.0,149.0,European Championship 2023 - Silver Fleet,Q1
SCHIFFMAN Hallie,6,Ilca 6,(43.0),P,6,,230.0,152.0,European Championship 2023 - Silver Fleet,Q1
ARSENI Maria Vittoria,6,Ilca 6,18.0,P,7,,239.0,152.0,European Championship 2023 - Silver Fleet,Q1
GRAVELY Clara,6,Ilca 6,28.0,P,8,,256.0,157.0,European Championship 2023 - Silver Fleet,Q1
HERNANDEZ PENA Isabel,6,Ilca 6,32.0,P,9,,234.0,158.0,European Championship 2023 - Silver Fleet,Q1
CARACCIOLO Ginevra,6,Ilca 6,39.0,P,10,,265.0,173.0,European Championship 2023 - Silver Fleet,Q1
MONTGOMERY Sophia,6,Ilca 6,13.0,P,11,,274.0,187.0,European Championship 2023 - Silver Fleet,Q1
SANTORUM AlisŠ,6,Ilca 6,(44.0),P,12,,287.0,188.0,European Championship 2023 - Silver Fleet,Q1
KUHLMANN Pia,6,Ilca 6,(53.0),P,13,,292.0,196.0,European Championship 2023 - Silver Fleet,Q1
CONRADI Pia,6,Ilca 6,(44.0),P,14,,276.0,196.0,European Championship 2023 - Silver Fleet,Q1
KARAGEORGOU Evangelia,6,Ilca 6,10.0,P,15,,287.0,200.0,European Championship 2023 - Silver Fleet,Q1
BALAS Ursula,6,Ilca 6,4.0 RDG,P,16,,288.0,202.0,European Championship 2023 - Silver Fleet,Q1
ESCUDERO Amaya,6,Ilca 6,31.0,P,17,,289.0,204.0,European Championship 2023 - Silver Fleet,Q1
OHRNELL Jennifer,6,Ilca 6,12.0 RDG,P,18,,331.0,217.0,European Championship 2023 - Silver Fleet,Q1
MARTINEZ Sheila,6,Ilca 6,40.0,P,19,,318.0,231.0,European Championship 2023 - Silver Fleet,Q1
