Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Helene Noesmoen,11,IQFOIL Fem,1.0,G,1,,17.1,12.0,World Championship 2021,Q1
Islay Watson,11,IQFOIL Fem,(7.0),G,2,,66.0,35.0,World Championship 2021,Q1
Saskia Sills,11,IQFOIL Fem,(8.0),G,3,,104.0,49.0,World Championship 2021,Q1
Pilar Lamadrid-Trueba,11,IQFOIL Fem,5.0,G,4,,134.0,85.0,World Championship 2021,Q1
Shachar Reshef,11,IQFOIL Fem,(19.0),G,5,,119.0,57.0,World Championship 2021,Q1
Delphine Cousin,11,IQFOIL Fem,14.0,G,6,,231.0,115.0,World Championship 2021,Q1
Lucie Belbeoch,11,IQFOIL Fem,2.0,G,7,,313.6,94.6,World Championship 2021,Q1
Helle Oppedal,11,IQFOIL Fem,3.0,G,8,,199.0,123.0,World Championship 2021,Q1
Sharon Kantor,11,IQFOIL Fem,(26.0),G,9,,219.0,126.0,World Championship 2021,Q1
Maja Dziarnowska,11,IQFOIL Fem,6.0,G,10,,177.0,104.0,World Championship 2021,Q1
Palma Cargo,11,IQFOIL Fem,9.0,G,11,,235.0,105.0,World Championship 2021,Q1
Lola Sorin,11,IQFOIL Fem,4.0,G,12,,182.0,76.0,World Championship 2021,Q1
Lena Erdil,11,IQFOIL Fem,11.0,G,13,,241.5,146.5,World Championship 2021,Q1
Manon Pianazza,11,IQFOIL Fem,10.0,G,14,,257.0,166.0,World Championship 2021,Q1
Imogen Sills,11,IQFOIL Fem,13.0,G,15,,295.5,167.5,World Championship 2021,Q1
Sara Wennekes,11,IQFOIL Fem,(38.0),G,16,,276.0,171.0,World Championship 2021,Q1
Daniela Peleg,11,IQFOIL Fem,12.0,G,17,,310.5,175.5,World Championship 2021,Q1
Nicole Van-Der-Velden,11,IQFOIL Fem,20.0,G,18,,292.0,193.0,World Championship 2021,Q1
Barbora Svikova,11,IQFOIL Fem,21.0,G,19,,328.0,211.0,World Championship 2021,Q1
Ambar Papazian,11,IQFOIL Fem,(24.0),G,20,,305.0,215.0,World Championship 2021,Q1
Mariana Aguilar-Chavez-Peon,11,IQFOIL Fem,(46.0),G,21,,337.0,216.0,World Championship 2021,Q1
Maya Morris,11,IQFOIL Fem,22.0,G,22,,307.0,220.0,World Championship 2021,Q1
Alice Read,11,IQFOIL Fem,32.0,G,23,,386.0,230.0,World Championship 2021,Q1
Marion Mortefon,11,IQFOIL Fem,25.0,G,24,,351.6,242.6,World Championship 2021,Q1
Alysia Gibson,11,IQFOIL Fem,16.0,G,25,,390.0,252.0,World Championship 2021,Q1
Marion Couturier,11,IQFOIL Fem,17.0,G,26,,381.0,253.0,World Championship 2021,Q1
Giorgia Speciale,11,IQFOIL Fem,28.0,G,27,,430.0,272.0,World Championship 2021,Q1
Jennie Roberts,11,IQFOIL Fem,(31.0),G,28,,406.0,297.0,World Championship 2021,Q1
Naama Gazit,11,IQFOIL Fem,15.0,G,29,,447.0,299.0,World Championship 2021,Q1
Sarah-Quita Offringa,11,IQFOIL Fem,35.0,G,30,,463.0,300.0,World Championship 2021,Q1
Giovanna Prada,11,IQFOIL Fem,(41.0),G,31,,449.0,316.0,World Championship 2021,Q1
Neeve Robinson,11,IQFOIL Fem,23.0,G,32,,460.0,331.0,World Championship 2021,Q1
