Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Jean-Baptiste Bernaz,12,Ilca 7,(19),O,1,,134,51,World Championship 2022,Q1
Pavlos Kontides,12,Ilca 7,(11),O,2,,106,68,World Championship 2022,Q1
Filip Jurišic,12,Ilca 7,3,O,3,,140,75,World Championship 2022,Q1
Thomas Saunders,12,Ilca 7,4,O,4,,113,77,World Championship 2022,Q1
Tonci Stipanovic,12,Ilca 7,5,O,5,,144,81,World Championship 2022,Q1
Finn Lynch,12,Ilca 7,10,O,6,,173,85,World Championship 2022,Q1
Elliot Hanson,12,Ilca 7,6,O,7,,178,88,World Championship 2022,Q1
Philipp Buhl,12,Ilca 7,6,O,8,,164,99,World Championship 2022,Q1
Jonatan Vadnai,12,Ilca 7,2,O,9,,147,101,World Championship 2022,Q1
Stefano Peschiera,12,Ilca 7,16,O,10,,173,105,World Championship 2022,Q1
Sam Whaley,12,Ilca 7,7,O,11,,171,115,World Championship 2022,Q1
Daniel Whiteley,12,Ilca 7,8,O,12,,193,124,World Championship 2022,Q1
Finn Alexander,12,Ilca 7,(30),O,13,,200,125,World Championship 2022,Q1
Alessio Spadoni,12,Ilca 7,12,O,14,,207,127,World Championship 2022,Q1
Clemente Seguel Lacamara,12,Ilca 7,19,O,15,,183,127,World Championship 2022,Q1
Eduardo Marques,12,Ilca 7,14,O,16,,200,130,World Championship 2022,Q1
Joaquin Blanco Albalat,12,Ilca 7,(40),O,17,,215,133,World Championship 2022,Q1
Michael Beckett,12,Ilca 7,4,O,18,,230,137,World Championship 2022,Q1
Joel Rodriguez Perez,12,Ilca 7,13,O,19,,269,141,World Championship 2022,Q1
Giovanni Coccoluto Giorgetti,12,Ilca 7,38,O,20,,249,156,World Championship 2022,Q1
Nik Aaron Willim,12,Ilca 7,2,O,21,,254,159,World Championship 2022,Q1
Lorenzo Brando Chiavarini,12,Ilca 7,20,O,22,,246,160,World Championship 2022,Q1
Yigit Yalcin Citak,12,Ilca 7,12,O,23,,225,161,World Championship 2022,Q1
William De Smet,12,Ilca 7,8,O,24,,266,165,World Championship 2022,Q1
Duko Bos,12,Ilca 7,25,O,25,,271,181,World Championship 2022,Q1
Benjamin Vadnai,12,Ilca 7,28,O,26,,273,182,World Championship 2022,Q1
Juan Maegli,12,Ilca 7,(24),O,27,,259,183,World Championship 2022,Q1
Ryan Lo,12,Ilca 7,15,O,28,,286,192,World Championship 2022,Q1
Luke Elliott,12,Ilca 7,1,O,29,,283,195,World Championship 2022,Q1
Milivoj Dukic,12,Ilca 7,21,O,30,,289,201,World Championship 2022,Q1
Nicholas Bezy,12,Ilca 7,13,O,31,,273,204,World Championship 2022,Q1
Enrique Arathoon,12,Ilca 7,18,O,32,,273,207,World Championship 2022,Q1
Vishnu Saravanan,12,Ilca 7,9,O,33,,308,222,World Championship 2022,Q1
Jeemin Ha,12,Ilca 7,28,O,34,,311,233,World Championship 2022,Q1
Niels Broekhuizen,12,Ilca 7,5,O,35,,330,241,World Championship 2022,Q1
Bruno Fontes,12,Ilca 7,9,O,36,,370,249,World Championship 2022,Q1
Dimitri Peroni,12,Ilca 7,29,O,37,,344,250,World Championship 2022,Q1
Viktor Teply,12,Ilca 7,7,O,38,,339,250,World Championship 2022,Q1
Khairulnizam Mohd Afendy,12,Ilca 7,10,O,39,,349,256,World Championship 2022,Q1
Just Van Aanholt,12,Ilca 7,1,O,40,,347,257,World Championship 2022,Q1
Ethan Mcaullay,12,Ilca 7,(33),O,41,,363,266,World Championship 2022,Q1
Alexandre Boite,12,Ilca 7,29,O,42,,355,268,World Championship 2022,Q1
Fillah Karim,12,Ilca 7,(35),O,43,,364,269,World Championship 2022,Q1
