Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,THAMSOONTORN/KHEMKAEW,,470,18,G,49,,210,181,World Championship 2023,Race 9 Silver,0
,,GIANNOULIS/GIANNOULI,,470,32,G,58,,258,226,World Championship 2023,Race 9 Silver,1
,,JERWOOD/NICHOLAS,,470,10,G,36,,135,102,World Championship 2023,Race 9 Silver,0
,,SPANAKI/SPANAKIS,,470,2,G,48,,211,178,World Championship 2023,Race 9 Silver,0
,,BRISTOW/TAYLOR,,470,5,G,38,,137,116,World Championship 2023,Race 9 Silver,0
,,RENNIE-YOUNGER/McGLASHAN,,470,15,G,60,,262,229,World Championship 2023,Race 9 Silver,0
,,KONGARA/SHEKHAR,,470,12,G,56,,249,216,World Championship 2023,Race 9 Silver,0
,,VERMA/SHARMA,,470,23,G,52,,218,190,World Championship 2023,Race 9 Silver,0
,,JACOBSEN/FORSLUND,,470,17,G,59,,262,229,World Championship 2023,Race 9 Silver,0
,,SCOTT/HUME,,470,32,G,53,,224,192,World Championship 2023,Race 9 Silver,1
,,PASZEK/LASKOWSKA,,470,19,G,54,,223,195,World Championship 2023,Race 9 Silver,0
,,SAMARZIJA/SCHEIDL,,470,25,G,62,,285,252,World Championship 2023,Race 9 Silver,0
,,KORSAK/BORYS,,470,27,G,47,,203,173,World Championship 2023,Race 9 Silver,0
,,JACKSON/HIGGINS,,470,20,G,50,,216,185,World Championship 2023,Race 9 Silver,0
,,GAGO/PIRES,,470,4,G,34,,111,86,World Championship 2023,Race 9 Silver,0
,,RUIZ PONCE/GIL ROIG,,470,16,G,51,,219,187,World Championship 2023,Race 9 Silver,0
,,PHELAN/BASTIAN,,470,32,G,63,,290,257,World Championship 2023,Race 9 Silver,0
,,WORNALL/STREET,,470,22,G,57,,257,225,World Championship 2023,Race 9 Silver,0
,,KAMAN SHAH/NOOR JAMALI,,470,26,G,43,,178,149,World Championship 2023,Race 9 Silver,0
,,PENNANEAC'H/WILLIOT,,470,6,G,42,,174,142,World Championship 2023,Race 9 Silver,0
,,FAHRNI/SCHUPBACH,,470,3,G,40,,163,138,World Championship 2023,Race 9 Silver,0
,,ZEGERS/van VUGT,,470,1,G,35,,116,87,World Championship 2023,Race 9 Silver,0
,,PETRAITYTE/JURGELIONIS,,470,32,G,64,,338,305,World Championship 2023,Race 9 Silver,0
,,PAWLOWSKA/SZLIJA,,470,21,G,46,,193,160,World Championship 2023,Race 9 Silver,0
,,PAPPA/MICHALOPOULOS,,470,13,G,39,,158,134,World Championship 2023,Race 9 Silver,0
,,DONNER/HABERL,,470,11,G,45,,179,151,World Championship 2023,Race 9 Silver,0
,,di SALLE/BELLICO,,470,9,G,41,,173,141,World Championship 2023,Race 9 Silver,0
,,DIAS FERREIRA DUQUE/MARTINS,,470,7,G,44,,183,151,World Championship 2023,Race 9 Silver,0
,,FRAS/SKERLAVAJ,,470,24,G,61,,267,237,World Championship 2023,Race 9 Silver,0
,,BERTA/FESTO,,470,8,G,37,,131,105,World Championship 2023,Race 9 Silver,0
,,COWLES/HUGHES,,470,14,G,55,,239,206,World Championship 2023,Race 9 Silver,0
,,JACKSON/HIGGINS,,470,8,G,50,,216,185,World Championship 2023,Race 10 Silver,0
,,KONGARA/SHEKHAR,,470,25,G,56,,249,216,World Championship 2023,Race 10 Silver,0
,,KAMAN SHAH/NOOR JAMALI,,470,17,G,43,,178,149,World Championship 2023,Race 10 Silver,0
,,RUIZ PONCE/GIL ROIG,,470,24,G,51,,219,187,World Championship 2023,Race 10 Silver,0
,,PHELAN/BASTIAN,,470,28,G,63,,290,257,World Championship 2023,Race 10 Silver,0
,,PETRAITYTE/JURGELIONIS,,470,29,G,64,,338,305,World Championship 2023,Race 10 Silver,0
,,GIANNOULIS/GIANNOULI,,470,20,G,58,,258,226,World Championship 2023,Race 10 Silver,0
,,DONNER/HABERL,,470,19,G,45,,179,151,World Championship 2023,Race 10 Silver,0
,,PAWLOWSKA/SZLIJA,,470,21,G,46,,193,160,World Championship 2023,Race 10 Silver,0
,,PAPPA/MICHALOPOULOS,,470,16,G,39,,158,134,World Championship 2023,Race 10 Silver,0
,,BERTA/FESTO,,470,5,G,37,,131,105,World Championship 2023,Race 10 Silver,0
,,THAMSOONTORN/KHEMKAEW,,470,27,G,49,,210,181,World Championship 2023,Race 10 Silver,0
,,COWLES/HUGHES,,470,18,G,55,,239,206,World Championship 2023,Race 10 Silver,0
,,KORSAK/BORYS,,470,26,G,47,,203,173,World Championship 2023,Race 10 Silver,0
,,WORNALL/STREET,,470,7,G,57,,257,225,World Championship 2023,Race 10 Silver,0
,,BRISTOW/TAYLOR,,470,3,G,38,,137,116,World Championship 2023,Race 10 Silver,0
,,FRAS/SKERLAVAJ,,470,23,G,61,,267,237,World Championship 2023,Race 10 Silver,0
,,SPANAKI/SPANAKIS,,470,10,G,48,,211,178,World Championship 2023,Race 10 Silver,0
,,PASZEK/LASKOWSKA,,470,22,G,54,,223,195,World Championship 2023,Race 10 Silver,0
,,JERWOOD/NICHOLAS,,470,2,G,36,,135,102,World Championship 2023,Race 10 Silver,0
,,PENNANEAC'H/WILLIOT,,470,9,G,42,,174,142,World Championship 2023,Race 10 Silver,0
,,RENNIE-YOUNGER/McGLASHAN,,470,13,G,60,,262,229,World Championship 2023,Race 10 Silver,0
,,DIAS FERREIRA DUQUE/MARTINS,,470,12,G,44,,183,151,World Championship 2023,Race 10 Silver,0
,,VERMA/SHARMA,,470,11,G,52,,218,190,World Championship 2023,Race 10 Silver,0
,,SAMARZIJA/SCHEIDL,,470,30,G,62,,285,252,World Championship 2023,Race 10 Silver,0
,,GAGO/PIRES,,470,1,G,34,,111,86,World Championship 2023,Race 10 Silver,0
,,JACOBSEN/FORSLUND,,470,32,G,59,,262,229,World Championship 2023,Race 10 Silver,0
,,ZEGERS/van VUGT,,470,6,G,35,,116,87,World Championship 2023,Race 10 Silver,0
,,di SALLE/BELLICO,,470,4,G,41,,173,141,World Championship 2023,Race 10 Silver,0
,,FAHRNI/SCHUPBACH,,470,15,G,40,,163,138,World Championship 2023,Race 10 Silver,0
,,SCOTT/HUME,,470,14,G,53,,224,192,World Championship 2023,Race 10 Silver,0
,,NORDSTROM/BORNARTH,,470,28,G,21,,176,144,World Championship 2023,Race 7 Gold,0
,,MERMOD/SIEGENTHALER,,470,7,G,12,,124,101,World Championship 2023,Race 7 Gold,0
,,le CLECH/RETORNAZ,,470,25,G,30,,227,196,World Championship 2023,Race 7 Gold,0
,,DIESCH/MARKFORT,,470,4,G,8,,122,98,World Championship 2023,Race 7 Gold,0
