Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,NYBORG/BUHL,,49er,19.0,G,25,,187.0,162.0,World Championship 2023,Race 11 Gold
,,STANIUL/SZTORCH,,49er,5.0,G,16,,156.0,132.0,World Championship 2023,Race 11 Gold
,,RUAL/AMOROS,,49er,21.0,G,20,,179.0,153.0,World Championship 2023,Race 11 Gold
,,McHARDIE/McKENZIE,,49er,7.0,G,4,,125.0,99.0,World Championship 2023,Race 11 Gold
,,RASK/PRECHT JENSEN,,49er,2.0,G,11,,142.0,115.0,World Championship 2023,Race 11 Gold
,,FANTELA/FANTELA,,49er,8.0,G,8,,135.0,109.0,World Championship 2023,Race 11 Gold
,,BURTON/PAUL,,49er,22.0,G,21,,185.0,156.0,World Championship 2023,Race 11 Gold
,,CRIVELLI VISCONTI/CALABRO',,49er,16.0,G,18,,169.0,146.0,World Championship 2023,Race 11 Gold
,,PETERS/STERRITT,,49er,1.0,G,6,,123.0,100.0,World Championship 2023,Race 11 Gold
,,FISCHER/JAUVIN,,49er,18.0,G,22,,186.0,159.0,World Championship 2023,Race 11 Gold
,,BILDSTEIN/HUSSL,,49er,10.0,G,12,,143.0,123.0,World Championship 2023,Race 11 Gold
,,BUKSAK/WIERZBICKI,,49er,4.0,G,10,,132.0,116.0,World Championship 2023,Race 11 Gold
,,MOLLERUS/MACDIARMID,,49er,6.0,G,5,,115.0,100.0,World Championship 2023,Race 11 Gold
,,STINGELE/SCHEEL,,49er,11.0,G,17,,161.0,138.0,World Championship 2023,Race 11 Gold
,,PRZYBYTEK/PIASECKI,,49er,24.0,G,7,,132.0,108.0,World Championship 2023,Race 11 Gold
,,SNOW/AGNESE,,49er,23.0,G,19,,173.0,149.0,World Championship 2023,Race 11 Gold
,,SCHNEITER/de PLANTA,,49er,9.0,G,2,,116.0,91.0,World Championship 2023,Race 11 Gold
,,DUNNING-BECK/GUNN,,49er,14.0,G,23,,188.0,159.0,World Championship 2023,Race 11 Gold
,,BOTIN le CHEVER/TRITTEL PAUL F,,49er,12.0,G,3,,117.8,91.8,World Championship 2023,Race 11 Gold
,,DICKSON/WADDILOVE,,49er,15.0,G,14,,159.0,130.0,World Championship 2023,Race 11 Gold
,,UMPIERRE/DIZ,,49er,20.0,G,24,,186.0,161.0,World Championship 2023,Race 11 Gold
,,TAYLOR/HAWES,,49er,25.0,G,15,,155.0,130.0,World Championship 2023,Race 11 Gold
