Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Sam ABEN,,Formula Kite Masc.,13.0,G,24,,193.0,121.0,World Championship 2023,Race 14 Gold
,,Lorenzo BOSCHETTI,,Formula Kite Masc.,16.5,G,13,,163.5,84.5,World Championship 2023,Race 14 Gold
,,Toni VODISEK,,Formula Kite Masc.,4.0,G,2,,54.0,22.0,World Championship 2023,Race 14 Gold
,,HUANG Qibin,,Formula Kite Masc.,9.0,G,7,,98.0,54.0,World Championship 2023,Race 14 Gold
,,Jannis MAUS,,Formula Kite Masc.,17.0,G,18,,154.0,100.0,World Championship 2023,Race 14 Gold
,,Connor BAINBRIDGE,,Formula Kite Masc.,15.0,G,12,,122.0,70.0,World Championship 2023,Race 14 Gold
,,Riccardo PIANOSI,,Formula Kite Masc.,12.0,G,5,,67.0,43.0,World Championship 2023,Race 14 Gold
,,Valentin BONTUS,,Formula Kite Masc.,26.0,G,4,,110.0,49.0,World Championship 2023,Race 14 Gold
,,Noah RUNCIMAN,,Formula Kite Masc.,11.0,G,20,,156.0,105.0,World Championship 2023,Race 14 Gold
,,Denis TARADIN,,Formula Kite Masc.,1.0,G,6,,,,World Championship 2023,Race 14 Gold
,,Theo de RAMECOURT,,Formula Kite Masc.,21.0,G,25,,189.0,131.0,World Championship 2023,Race 14 Gold
,,Florian GRUBER,,Formula Kite Masc.,16.0,G,14,,145.0,89.0,World Championship 2023,Race 14 Gold
,,Kameron Alexandros MARAMENIDIS,,Formula Kite Masc.,14.0,G,19,,155.0,103.0,World Championship 2023,Race 14 Gold
,,Martin DOLENC,,Formula Kite Masc.,2.0,G,8,,109.0,59.0,World Championship 2023,Race 14 Gold
,,Benoit GOMEZ,,Formula Kite Masc.,26.0,G,10,,108.0,61.0,World Championship 2023,Race 14 Gold
,,Maks ZAKOWSKI,,Formula Kite Masc.,22.0,G,11,,134.0,66.0,World Championship 2023,Race 14 Gold
,,Max MAEDER,,Formula Kite Masc.,3.0,G,1,,47.0,23.0,World Championship 2023,Race 14 Gold
,,Kai CALDER,,Formula Kite Masc.,19.0,G,23,,175.0,120.0,World Championship 2023,Race 14 Gold
,,Maxime NOCHER,,Formula Kite Masc.,10.0,G,15,,170.0,92.0,World Championship 2023,Race 14 Gold
,,Dor ZARKA,,Formula Kite Masc.,6.0,G,16,,145.0,99.0,World Championship 2023,Race 14 Gold
,,Dvir AZULAY,,Formula Kite Masc.,18.0,G,21,,166.0,114.0,World Championship 2023,Race 14 Gold
,,Axel MAZELLA,,Formula Kite Masc.,7.0,G,3,,102.0,47.0,World Championship 2023,Race 14 Gold
,,Bruno LOBO,,Formula Kite Masc.,8.0,G,9,,98.0,61.0,World Championship 2023,Race 14 Gold
,,Jan MARCINIAK,,Formula Kite Masc.,20.0,G,22,,191.0,120.0,World Championship 2023,Race 14 Gold
,,ZHANG Haoran,,Formula Kite Masc.,5.0,G,17,,177.0,99.0,World Championship 2023,Race 14 Gold
,,Lucas PES FONSECA,,Formula Kite Masc.,6.0,G,38,,214.0,128.0,World Championship 2023,Race 1 Red
,,Daniel HARRIS,,Formula Kite Masc.,12.0,G,55,,292.0,220.0,World Championship 2023,Race 1 Red
,,Florian GRUBER,,Formula Kite Masc.,3.0,G,14,,145.0,89.0,World Championship 2023,Race 1 Red
,,KARAMON Hiro,,Formula Kite Masc.,25.0,G,73,,328.0,247.0,World Championship 2023,Race 1 Red
,,Noah RUNCIMAN,,Formula Kite Masc.,9.0,G,20,,156.0,105.0,World Championship 2023,Race 1 Red
,,Connor BAINBRIDGE,,Formula Kite Masc.,14.0,G,12,,122.0,70.0,World Championship 2023,Race 1 Red
,,Johan BECKETT,,Formula Kite Masc.,22.0,G,58,,235.0,161.0,World Championship 2023,Race 1 Red
