Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
,,Klara HIMMELOVA,,Ilca 6,25.0,G,90,,345.0,289,World Championship 2023,Race 7 Silver,0
,,Hallie SCHIFFMAN,,Ilca 6,19.0,G,75,,247.0,207,World Championship 2023,Race 7 Silver,0
,,Marissa IJBEN,,Ilca 6,5.0,G,57,,171.0,115,World Championship 2023,Race 7 Silver,0
,,Mariela NIKOLOVA,,Ilca 6,35.0,G,103,,460.0,406,World Championship 2023,Race 7 Silver,0
,,Elena OETLING RAMIREZ,,Ilca 6,21.0,G,78,,279.0,223,World Championship 2023,Race 7 Silver,0
,,Deisy NHAQUILE,,Ilca 6,31.0,G,100,,417.0,368,World Championship 2023,Race 7 Silver,0
,,Nelle LEENDERS,,Ilca 6,46.0,G,109,,506.0,451,World Championship 2023,Race 7 Silver,0
,,Argyro KOURAVELOU,,Ilca 6,56.0,G,102,,457.0,401,World Championship 2023,Race 7 Silver,0
,,KAKIMOTO Mai,,Ilca 6,41.0,G,101,,439.0,384,World Championship 2023,Race 7 Silver,0
,,Clara GRAVELY,,Ilca 6,56.0,G,72,,252.0,196,World Championship 2023,Race 7 Silver,1
,,Coralie VITTECOQ,,Ilca 6,9.0,G,68,,207.0,173,World Championship 2023,Race 7 Silver,0
,,Evangelia KARAGEORGOU,,Ilca 6,34.0,G,94,,400.0,344,World Championship 2023,Race 7 Silver,0
,,Linda HENSEL,,Ilca 6,26.0,G,86,,310.0,265,World Championship 2023,Race 7 Silver,0
,,Evie SAUNDERS,,Ilca 6,7.0,G,62,,179.0,144,World Championship 2023,Race 7 Silver,0
,,Sofiia NAUMENKO,,Ilca 6,56.0,G,97,,415.0,359,World Championship 2023,Race 7 Silver,0
,,Molly SACKER,,Ilca 6,11.0,G,64,,197.0,165,World Championship 2023,Race 7 Silver,0
,,Charlotte WEBSTER,,Ilca 6,44.0,G,106,,470.0,414,World Championship 2023,Race 7 Silver,0
,,Dolores MOREIRA FRASCHINI,,Ilca 6,8.0,G,63,,214.0,158,World Championship 2023,Race 7 Silver,0
,,Agustina JORDAN von APPEN,,Ilca 6,56.0,G,98,,419.0,363,World Championship 2023,Race 7 Silver,1
,,Diana MARKOVA,,Ilca 6,39.0,G,99,,417.0,367,World Championship 2023,Race 7 Silver,0
,,Maria Jose PONCELL MAURIN,,Ilca 6,36.0,G,96,,407.0,355,World Championship 2023,Race 7 Silver,0
,,Ines GMATI,,Ilca 6,30.0,G,85,,319.0,263,World Championship 2023,Race 7 Silver,0
,,Giorgia DELLA VALLE,,Ilca 6,56.0,G,60,,193.0,137,World Championship 2023,Race 7 Silver,1
,,Sophia Gail MONTGOMERY,,Ilca 6,18.0,G,82,,276.0,241,World Championship 2023,Race 7 Silver,0
,,Louise CERVERA,,Ilca 6,1.0,G,58,,186.0,130,World Championship 2023,Race 7 Silver,0
,,Eve McMAHON,,Ilca 6,2.0,G,56,,157.0,101,World Championship 2023,Race 7 Silver,0
,,Greta PILKINGTON,,Ilca 6,32.0,G,84,,310.0,254,World Championship 2023,Race 7 Silver,0
,,Daniela RIVERA,,Ilca 6,23.0,G,87,,313.0,271,World Championship 2023,Race 7 Silver,0
,,Lin PLETIKOS,,Ilca 6,16.0,G,77,,252.0,212,World Championship 2023,Race 7 Silver,0
,,Lara HIMMES HIMMES,,Ilca 6,20.0,G,89,,330.0,274,World Championship 2023,Race 7 Silver,0
,,Pernelle MICHON,,Ilca 6,3.0,G,65,,222.0,166,World Championship 2023,Race 7 Silver,0
,,Viktorija ANDRULYTE,,Ilca 6,12.0,G,66,,214.0,166,World Championship 2023,Race 7 Silver,0
,,Martina REINO CACHO,,Ilca 6,4.0,G,61,,198.0,142,World Championship 2023,Race 7 Silver,0
,,YAMAMOTO Yuuri,,Ilca 6,38.0,G,105,,464.0,410,World Championship 2023,Race 7 Silver,0
,,Elena VOROBEVA,,Ilca 6,14.0,G,59,,175.0,136,World Championship 2023,Race 7 Silver,0
,,Estere Paula KUMPINA,,Ilca 6,56.0,G,110,,534.0,478,World Championship 2023,Race 7 Silver,0
,,GU Min,,Ilca 6,29.0,G,79,,280.0,224,World Championship 2023,Race 7 Silver,0
,,Alessia PALANTI,,Ilca 6,56.0,G,108,,477.0,421,World Championship 2023,Race 7 Silver,0
,,CHEN Pin-Chieh,,Ilca 6,45.0,G,104,,463.8,410,World Championship 2023,Race 7 Silver,0
,,Olivia CHRISTIE,,Ilca 6,22.0,G,71,,250.0,195,World Championship 2023,Race 7 Silver,0
