Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
,,Mathieu DALE,,Ilca 7,50,G,126,,552,487,World Championship 2023,Race 8 Silver
,,Uffe TOMASGAARD,,Ilca 7,48,G,79,,266,218,World Championship 2023,Race 8 Silver
,,Kenneth FREDERIKSEN,,Ilca 7,18,G,85,,280,234,World Championship 2023,Race 8 Silver
,,Thad LETTSOME,,Ilca 7,43,G,113,,431,377,World Championship 2023,Race 8 Silver
,,Georgios PAPADAKOS,,Ilca 7,7,G,78,,271,218,World Championship 2023,Race 8 Silver
,,Cesare BARABINO,,Ilca 7,31,G,83,,278,223,World Championship 2023,Race 8 Silver
,,Anastasios PANAGIOTIDIS,,Ilca 7,11,G,96,,353,283,World Championship 2023,Race 8 Silver
,,Paul HAMEETEMAN,,Ilca 7,25,G,88,,319,249,World Championship 2023,Race 8 Silver
,,Leo BARRETO HASCHKE,,Ilca 7,5,G,92,,333,263,World Championship 2023,Race 8 Silver
,,Nico NAUJOCK,,Ilca 7,42,G,81,,292,222,World Championship 2023,Race 8 Silver
,,Antonios BOUGIOURIS,,Ilca 7,27,G,112,,441,371,World Championship 2023,Race 8 Silver
,,Nikola BANJAC,,Ilca 7,56,G,121,,512,442,World Championship 2023,Race 8 Silver
,,Ricardo SEGUEL LACAMARA,,Ilca 7,39,G,105,,388,318,World Championship 2023,Race 8 Silver
,,Bruno FONTES FERREIRA da SILVA,,Ilca 7,1,G,72,,178,139,World Championship 2023,Race 8 Silver
,,Lourenco MATEUS,,Ilca 7,10,G,80,,292,222,World Championship 2023,Race 8 Silver
,,Jeremy MOUTOUT,,Ilca 7,30,G,117,,466,396,World Championship 2023,Race 8 Silver
,,Jules MITCHELL,,Ilca 7,51,G,125,,553,487,World Championship 2023,Race 8 Silver
,,Aleksi TAPPER,,Ilca 7,16,G,91,,317,256,World Championship 2023,Race 8 Silver
,,Joshua HIGGINS,,Ilca 7,61,G,123,,525,460,World Championship 2023,Race 8 Silver
,,Justin BARTH,,Ilca 7,22,G,73,,216,167,World Championship 2023,Race 8 Silver
,,Vejas STRELCIUNAS,,Ilca 7,28,G,103,,361,313,World Championship 2023,Race 8 Silver
,,Santiago SAMPAIO,,Ilca 7,14,G,74,,247,177,World Championship 2023,Race 8 Silver
,,Stefano CAIAFA,,Ilca 7,64,G,131,,582,516,World Championship 2023,Race 8 Silver
,,Peter RAJSKY,,Ilca 7,66,G,138,,643,573,World Championship 2023,Race 8 Silver
,,NANRI Kenji,,Ilca 7,29,G,107,,384,324,World Championship 2023,Race 8 Silver
,,Luke DEEGAN,,Ilca 7,45,G,89,,300,250,World Championship 2023,Race 8 Silver
,,Martins ATILLA,,Ilca 7,44,G,122,,517,448,World Championship 2023,Race 8 Silver
,,Malcolm Benn SMITH,,Ilca 7,60,G,120,,493,433,World Championship 2023,Race 8 Silver
,,Leo BOUCHER,,Ilca 7,9,G,87,,304,248,World Championship 2023,Race 8 Silver
,,Filipe ANDRE,,Ilca 7,63,G,127,,566,499,World Championship 2023,Race 8 Silver
,,Maor BEN HAROSH,,Ilca 7,15,G,98,,359,289,World Championship 2023,Race 8 Silver
,,Ilija MARKOVIC,,Ilca 7,24,G,99,,366,296,World Championship 2023,Race 8 Silver
,,Hamdi SLIMANI,,Ilca 7,57,G,136,,615,545,World Championship 2023,Race 8 Silver
,,Alessio SPADONI,,Ilca 7,70,G,129,,583,513,World Championship 2023,Race 8 Silver
,,Chusit PUNJAMALA,,Ilca 7,34,G,102,,382,312,World Championship 2023,Race 8 Silver
,,CHEN Huichao,,Ilca 7,19,G,97,,358,288,World Championship 2023,Race 8 Silver
,,Bruno GASPIC,,Ilca 7,6,G,70,,172,116,World Championship 2023,Race 8 Silver
,,Pablo BERTRAN,,Ilca 7,54,G,130,,583,516,World Championship 2023,Race 8 Silver
,,Matteo PAULON,,Ilca 7,33,G,90,,321,251,World Championship 2023,Race 8 Silver
,,James JUHASZ,,Ilca 7,21,G,104,,382,318,World Championship 2023,Race 8 Silver
,,Karl-Martin RAMMO,,Ilca 7,70,G,128,,583,513,World Championship 2023,Race 8 Silver
,,Guthrie BRAUN,,Ilca 7,40,G,100,,354,296,World Championship 2023,Race 8 Silver
,,Willem WIERSEMA,,Ilca 7,8,G,71,,187,138,World Championship 2023,Race 8 Silver
,,Piotr MALINOWSKI,,Ilca 7,35,G,111,,417,347,World Championship 2023,Race 8 Silver
,,HUANG Yang,,Ilca 7,55,G,124,,537,469,World Championship 2023,Race 8 Silver
,,Daniel ESCUDERO,,Ilca 7,12,G,94,,350,280,World Championship 2023,Race 8 Silver
,,Felipe MALLMANN FRAQUELLI,,Ilca 7,32,G,115,,451,389,World Championship 2023,Race 8 Silver
,,Campbell PATTON,,Ilca 7,41,G,86,,289,235,World Championship 2023,Race 8 Silver
,,Wonn Kye LEE,,Ilca 7,53,G,114,,439,382,World Championship 2023,Race 8 Silver
,,Matias DYCK CORDOVA,,Ilca 7,23,G,93,,345,275,World Championship 2023,Race 8 Silver
,,Josep CAZADOR RIBERA,,Ilca 7,13,G,108,,395,325,World Championship 2023,Race 8 Silver
,,Philipp Andreas GROCHTMANN,,Ilca 7,38,G,84,,290,232,World Championship 2023,Race 8 Silver
,,Joao ARTUR,,Ilca 7,58,G,135,,598,531,World Championship 2023,Race 8 Silver
,,Radvilas JANULIONIS,,Ilca 7,59,G,119,,472,402,World Championship 2023,Race 8 Silver
,,Mohit SAINI,,Ilca 7,49,G,109,,386,330,World Championship 2023,Race 8 Silver
,,Clemens KUEBBER,,Ilca 7,52,G,116,,452,392,World Championship 2023,Race 8 Silver
,,Eroni LEILUA,,Ilca 7,47,G,118,,465,402,World Championship 2023,Race 8 Silver
,,Ludvig LINDQVIST,,Ilca 7,3,G,95,,330,280,World Championship 2023,Race 8 Silver
,,Gauthier VERHULST,,Ilca 7,4,G,75,,231,178,World Championship 2023,Race 8 Silver
,,Trent HARDWICK,,Ilca 7,65,G,137,,624,556,World Championship 2023,Race 8 Silver
,,Chapman PETERSEN,,Ilca 7,17,G,76,,245,197,World Championship 2023,Race 8 Silver
,,Agustin VIDAL,,Ilca 7,36,G,82,,275,223,World Championship 2023,Race 8 Silver
,,Gerardo BENITEZ,,Ilca 7,62,G,134,,588,524,World Championship 2023,Race 8 Silver
,,Renzo SANGUINETI,,Ilca 7,26,G,110,,416,346,World Championship 2023,Race 8 Silver
,,CUI Yinsheng,,Ilca 7,2,G,77,,282,212,World Championship 2023,Race 8 Silver
,,Adil ELAMRATI,,Ilca 7,70,G,132,,591,521,World Championship 2023,Race 8 Silver
,,Caleb ARMIT,,Ilca 7,37,G,101,,366,310,World Championship 2023,Race 8 Silver
,,Martin ARUJA,,Ilca 7,46,G,133,,593,523,World Championship 2023,Race 8 Silver
,,Luka ZABUKOVEC,,Ilca 7,20,G,106,,390,320,World Championship 2023,Race 8 Silver
,,Uffe TOMASGAARD,,Ilca 7,21,G,79,,266,218,World Championship 2023,Race 4 Yellow
,,Nooa LAUKKANEN,,Ilca 7,27,G,28,,257,215,World Championship 2023,Race 4 Yellow
,,Trent HARDWICK,,Ilca 7,57,G,137,,624,556,World Championship 2023,Race 4 Yellow
,,Ludvig LINDQVIST,,Ilca 7,15,G,95,,330,280,World Championship 2023,Race 4 Yellow
,,Ilija MARKOVIC,,Ilca 7,33,G,99,,366,296,World Championship 2023,Race 4 Yellow
,,Philip WALKENBACH,,Ilca 7,37,G,69,,490,422,World Championship 2023,Race 4 Yellow
,,NANRI Kenji,,Ilca 7,51,G,107,,384,324,World Championship 2023,Race 4 Yellow
,,Luke DEEGAN,,Ilca 7,30,G,89,,300,250,World Championship 2023,Race 4 Yellow
,,Cesare BARABINO,,Ilca 7,22,G,83,,278,223,World Championship 2023,Race 4 Yellow
,,Pedro Luis FERNANDEZ GAMBOA,,Ilca 7,14,G,55,,392,322,World Championship 2023,Race 4 Yellow
,,Luke ELLIOTT,,Ilca 7,5,G,20,,253,183,World Championship 2023,Race 4 Yellow
,,Guthrie BRAUN,,Ilca 7,26,G,100,,354,296,World Championship 2023,Race 4 Yellow
,,Paul HAMEETEMAN,,Ilca 7,41,G,88,,319,249,World Championship 2023,Race 4 Yellow
,,Vishnu SARAVANAN,,Ilca 7,48,G,37,,291,243,World Championship 2023,Race 4 Yellow
,,Dimitri PERONI,,Ilca 7,13,G,30,,289,219,World Championship 2023,Race 4 Yellow
,,Hamdi SLIMANI,,Ilca 7,58,G,136,,615,545,World Championship 2023,Race 4 Yellow
,,Campbell PATTON,,Ilca 7,54,G,86,,289,235,World Championship 2023,Race 4 Yellow
,,Agustin VIDAL,,Ilca 7,52,G,82,,275,223,World Championship 2023,Race 4 Yellow
,,Dimitrios PAPADIMITRIOU,,Ilca 7,19,G,50,,365,309,World Championship 2023,Race 4 Yellow
,,Zan Luka ZELKO,,Ilca 7,6,G,41,,319,262,World Championship 2023,Race 4 Yellow
,,Felipe MALLMANN FRAQUELLI,,Ilca 7,36,G,115,,451,389,World Championship 2023,Race 4 Yellow
,,SEGAWA Kazumasa,,Ilca 7,70,G,54,,385,315,World Championship 2023,Race 4 Yellow
,,Finn LYNCH,,Ilca 7,70,G,23,,261,191,World Championship 2023,Race 4 Yellow
,,Piotr MALINOWSKI,,Ilca 7,45,G,111,,417,347,World Championship 2023,Race 4 Yellow
,,Eduardo MARQUES,,Ilca 7,25,G,24,,240,194,World Championship 2023,Race 4 Yellow
,,Joel RODRIGUEZ PEREZ,,Ilca 7,24,G,13,,202,155,World Championship 2023,Race 4 Yellow
,,Tonci STIPANOVIC,,Ilca 7,70,G,21,,255,185,World Championship 2023,Race 4 Yellow
,,Clemens KUEBBER,,Ilca 7,43,G,116,,452,392,World Championship 2023,Race 4 Yellow
,,Jules MITCHELL,,Ilca 7,59,G,125,,553,487,World Championship 2023,Race 4 Yellow
,,CHEN Huichao,,Ilca 7,28,G,97,,358,288,World Championship 2023,Race 4 Yellow
,,Eroni LEILUA,,Ilca 7,46,G,118,,465,402,World Championship 2023,Race 4 Yellow
,,Thomas SAUNDERS,,Ilca 7,3,G,11,,184,150,World Championship 2023,Race 4 Yellow
,,Thomas van OFWEGEN,,Ilca 7,23,G,45,,347,283,World Championship 2023,Race 4 Yellow
,,Nikola BANJAC,,Ilca 7,34,G,121,,512,442,World Championship 2023,Race 4 Yellow
,,Willem WIERSEMA,,Ilca 7,35,G,71,,187,138,World Championship 2023,Race 4 Yellow
,,Alexandre KOWALSKI,,Ilca 7,17,G,42,,336,273,World Championship 2023,Race 4 Yellow
,,Hermann TOMASGAARD,,Ilca 7,11,G,9,,200,156,World Championship 2023,Race 4 Yellow
,,Ryan LO,,Ilca 7,12,G,26,,258,205,World Championship 2023,Race 4 Yellow
,,Radvilas JANULIONIS,,Ilca 7,49,G,119,,472,402,World Championship 2023,Race 4 Yellow
,,Leo BARRETO HASCHKE,,Ilca 7,55,G,92,,333,263,World Championship 2023,Race 4 Yellow
,,Santiago SAMPAIO,,Ilca 7,44,G,74,,247,177,World Championship 2023,Race 4 Yellow
,,Jeremy MOUTOUT,,Ilca 7,70,G,117,,466,396,World Championship 2023,Race 4 Yellow
,,BEZY Nicholas Brian,,Ilca 7,70,G,58,,396,326,World Championship 2023,Race 4 Yellow
,,Bruno FONTES FERREIRA da SILVA,,Ilca 7,31,G,72,,178,139,World Championship 2023,Race 4 Yellow
,,Wonn Kye LEE,,Ilca 7,53,G,114,,439,382,World Championship 2023,Race 4 Yellow
,,Luke RUITENBERG,,Ilca 7,39,G,61,,403,335,World Championship 2023,Race 4 Yellow
,,Johan Lundgaard SCHUBERT,,Ilca 7,42,G,32,,281,226,World Championship 2023,Race 4 Yellow
,,Martin ARUJA,,Ilca 7,70,G,133,,593,523,World Championship 2023,Race 4 Yellow
,,Khairulnizam MOHD AFENDY,,Ilca 7,2,G,48,,371,304,World Championship 2023,Race 4 Yellow
,,Lourenco MATEUS,,Ilca 7,40,G,80,,292,222,World Championship 2023,Race 4 Yellow
,,Ricardo SEGUEL LACAMARA,,Ilca 7,70,G,105,,388,318,World Championship 2023,Race 4 Yellow
,,Just van AANHOLT,,Ilca 7,20,G,62,,405,338,World Championship 2023,Race 4 Yellow
,,Anastasios PANAGIOTIDIS,,Ilca 7,50,G,96,,353,283,World Championship 2023,Race 4 Yellow
,,Ethan McAULLAY,,Ilca 7,7,G,17,,231,180,World Championship 2023,Race 4 Yellow
,,Niels BROEKHUIZEN,,Ilca 7,8,G,51,,382,312,World Championship 2023,Race 4 Yellow
,,Juan Pablo CARDOZO,,Ilca 7,10,G,59,,400,330,World Championship 2023,Race 4 Yellow
,,Clemente SEGUEL LACAMARA,,Ilca 7,32,G,56,,393,323,World Championship 2023,Race 4 Yellow
,,George GAUTREY,,Ilca 7,4,G,3,,171,101,World Championship 2023,Race 4 Yellow
,,Karl-Martin RAMMO,,Ilca 7,70,G,128,,583,513,World Championship 2023,Race 4 Yellow
,,Milivoj DUKIC,,Ilca 7,16,G,33,,278,226,World Championship 2023,Race 4 Yellow
,,Philipp BUHL,,Ilca 7,1,G,12,,201,152,World Championship 2023,Race 4 Yellow
,,Daniel WHITELEY,,Ilca 7,70,G,27,,277,207,World Championship 2023,Race 4 Yellow
,,Josep CAZADOR RIBERA,,Ilca 7,47,G,108,,395,325,World Championship 2023,Race 4 Yellow
,,Juan MAEGLI,,Ilca 7,9,G,25,,260,202,World Championship 2023,Race 4 Yellow
,,Ryan ANDERSON,,Ilca 7,29,G,66,,465,395,World Championship 2023,Race 4 Yellow
,,Daniel ESCUDERO,,Ilca 7,70,G,94,,350,280,World Championship 2023,Race 4 Yellow
,,Francisco Julio RENNA,,Ilca 7,38,G,60,,393,330,World Championship 2023,Race 4 Yellow
,,Martins ATILLA,,Ilca 7,56,G,122,,517,448,World Championship 2023,Race 4 Yellow
,,Duko BOS,,Ilca 7,18,G,7,,165,131,World Championship 2023,Race 4 Yellow
,,HUANG Yang,,Ilca 7,68,G,124,,537,469,World Championship 2023,Race 3 Blue
,,Finn ALEXANDER,,Ilca 7,48,G,35,,281,228,World Championship 2023,Race 3 Blue
,,Adil ELAMRATI,,Ilca 7,69,G,132,,591,521,World Championship 2023,Race 3 Blue
,,Filip JURISIC,,Ilca 7,20,G,22,,244,189,World Championship 2023,Race 3 Blue
,,Michael BECKETT,,Ilca 7,3,G,2,,166,96,World Championship 2023,Race 3 Blue
,,Francisco GUARAGNA RIGONAT,,Ilca 7,9,G,38,,321,251,World Championship 2023,Race 3 Blue
,,Yigit Yalcin CITAK,,Ilca 7,18,G,39,,324,254,World Championship 2023,Race 3 Blue
,,Jean Baptiste BERNAZ,,Ilca 7,2,G,4,,150,113,World Championship 2023,Race 3 Blue
,,Vejas STRELCIUNAS,,Ilca 7,27,G,103,,361,313,World Championship 2023,Race 3 Blue
,,Renzo SANGUINETI,,Ilca 7,43,G,110,,416,346,World Championship 2023,Race 3 Blue
,,Elliot HANSON,,Ilca 7,7,G,10,,238,168,World Championship 2023,Race 3 Blue
,,Stefano PESCHIERA,,Ilca 7,25,G,14,,225,155,World Championship 2023,Race 3 Blue
,,Leo BOUCHER,,Ilca 7,42,G,87,,304,248,World Championship 2023,Race 3 Blue
,,Georgios PAPADAKOS,,Ilca 7,39,G,78,,271,218,World Championship 2023,Race 3 Blue
,,Sebastian KEMPE,,Ilca 7,24,G,68,,481,412,World Championship 2023,Race 3 Blue
,,Peter RAJSKY,,Ilca 7,66,G,138,,643,573,World Championship 2023,Race 3 Blue
,,Nico NAUJOCK,,Ilca 7,34,G,81,,292,222,World Championship 2023,Race 3 Blue
,,Maor BEN HAROSH,,Ilca 7,57,G,98,,359,289,World Championship 2023,Race 3 Blue
,,Gauthier VERHULST,,Ilca 7,53,G,75,,231,178,World Championship 2023,Race 3 Blue
,,Viktor TEPLY,,Ilca 7,14,G,57,,395,325,World Championship 2023,Race 3 Blue
,,Theo PEYRE,,Ilca 7,46,G,67,,467,400,World Championship 2023,Race 3 Blue
,,Valtteri UUSITALO,,Ilca 7,13,G,31,,295,225,World Championship 2023,Race 3 Blue
,,Malcolm Benn SMITH,,Ilca 7,52,G,120,,493,433,World Championship 2023,Race 3 Blue
,,Thad LETTSOME,,Ilca 7,45,G,113,,431,377,World Championship 2023,Race 3 Blue
,,Emil BENGTSON,,Ilca 7,15,G,29,,286,216,World Championship 2023,Race 3 Blue
,,Justin BARTH,,Ilca 7,36,G,73,,216,167,World Championship 2023,Race 3 Blue
,,Antonios BOUGIOURIS,,Ilca 7,37,G,112,,441,371,World Championship 2023,Race 3 Blue
,,Aleksi TAPPER,,Ilca 7,61,G,91,,317,256,World Championship 2023,Race 3 Blue
,,William de SMET,,Ilca 7,12,G,15,,226,156,World Championship 2023,Race 3 Blue
,,Pablo BERTRAN,,Ilca 7,63,G,130,,583,516,World Championship 2023,Race 3 Blue
,,Kaarle TAPPER,,Ilca 7,32,G,18,,231,181,World Championship 2023,Race 3 Blue
,,James JUHASZ,,Ilca 7,64,G,104,,382,318,World Championship 2023,Race 3 Blue
,,Kenneth FREDERIKSEN,,Ilca 7,31,G,85,,280,234,World Championship 2023,Race 3 Blue
,,Filipe ANDRE,,Ilca 7,67,G,127,,566,499,World Championship 2023,Race 3 Blue
,,Facundo Mario OLEZZA BAZAN,,Ilca 7,11,G,43,,345,275,World Championship 2023,Race 3 Blue
,,Pavlos KONTIDES,,Ilca 7,19,G,6,,198,128,World Championship 2023,Race 3 Blue
