Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
KONTIDES Pavlos (CYPPK1),7,Ilca 7,"3
3.0",G,1,,59,42,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
HANSON Elliot (GBREH20),7,Ilca 7,"14
14.0",G,2,,62,43,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
BECKETT Michael (GBRMB112),7,Ilca 7,"6
6.0",G,3,,76,50,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
BUHL Philipp (GERPB8),7,Ilca 7,"1
1.0",G,4,,83,54,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
WEARN Matt (AUSMW34),7,Ilca 7,"2
2.0",G,5,,104,60,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
BLANCO Joaquin (ESPJB21),7,Ilca 7,"2
2.0",G,6,,91,72,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
CHIAVARINI Lorenzo Brand (GBRLC21M) 94,7,Ilca 7,"7
7.0",G,7,,87,75,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
WILLIM Nik Aaron (GERNW5),7,Ilca 7,"16
16.0",G,8,,105,77,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
GAUTREY George (NZLGG34),7,Ilca 7,"9
9.0",G,9,,104,81,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
BERNAZ Jean baptiste (FRAJB13),7,Ilca 7,"1
1.0",G,10,,104,82,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
LO Ryan (SINRL7),7,Ilca 7,"8
8.0",G,11,,100,72,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
ALEXANDER Finn (AUSFA3),7,Ilca 7,"3
3.0",G,12,,116,81,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
LYNCH Finn (IRLFL10),7,Ilca 7,"10
10.0",G,13,,113,83,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
RODRIGUEZ Joel (ESPJR44),7,Ilca 7,"9
9.0",G,14,,106,85,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
JURISIC Filip (CROFJ1),7,Ilca 7,"10
10.0",G,15,,110,87,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
WHALEY Sam (GBRSW88),7,Ilca 7,"11
11.0",G,16,,132,88,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
STIPANOVIÄ‡ Tonci  (CROTS1),7,Ilca 7,"7
7.0",G,17,,113,92,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1"
