Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
TITA Ruggero BANTI Caterina,7,Nacra,1,G,1,,42,36,Semaine Olympique Francaise De Voile 2022,R1
GIMSON John BURNET Anna,7,Nacra,3,G,2,,70,54,Semaine Olympique Francaise De Voile 2022,R1
KURTBAY Sinem KESKINEN Akseli,7,Nacra,(14.0),G,3,,86,72,Semaine Olympique Francaise De Voile 2022,R1
WATERHOUSE Jason DARMANIN Lisa,7,Nacra,4,G,4,,118,97,Semaine Olympique Francaise De Voile 2022,R1
WILKINSON Micah DAWSON Erica,7,Nacra,7,G,5,,121,105,Semaine Olympique Francaise De Voile 2022,R1
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra,DNF,G,6,,149,116,Semaine Olympique Francaise De Voile 2022,R1
MAJDALANI Mateo BOSCO Eugenia,7,Nacra,9,G,7,,149,133,Semaine Olympique Francaise De Voile 2022,R1
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra,6,G,8,,152,136,Semaine Olympique Francaise De Voile 2022,R1
VAN DER MEER Laila BOUWER Bjarne,7,Nacra,2,G,9,,158,136,Semaine Olympique Francaise De Voile 2022,R1
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra,8,G,10,,179,156,Semaine Olympique Francaise De Voile 2022,R1
JARUDD Emil JONSSON Hanna,7,Nacra,5,G,11,,170,149,Semaine Olympique Francaise De Voile 2022,R1
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra,13,G,12,,172,155,Semaine Olympique Francaise De Voile 2022,R1
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra,16,G,13,,195,176,Semaine Olympique Francaise De Voile 2022,R1
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra,10,G,14,,210,186,Semaine Olympique Francaise De Voile 2022,R1
LIDDELL Jake COPELAND Lucy,7,Nacra,11,G,15,,226,202,Semaine Olympique Francaise De Voile 2022,R1
BESSON Billy ANCIAN Noa,7,Nacra,21,G,16,,244,211,Semaine Olympique Francaise De Voile 2022,R1
LANGE Santiago TRAVASCIO Victoria,7,Nacra,18,G,17,,240,212,Semaine Olympique Francaise De Voile 2022,R1
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra,12,G,18,,246,213,Semaine Olympique Francaise De Voile 2022,R1
BILLY Margaux MAURIN Leo,7,Nacra,19,G,19,,269,246,Semaine Olympique Francaise De Voile 2022,R1
LIU Justin LIM Denise,7,Nacra,17,G,20,,299,266,Semaine Olympique Francaise De Voile 2022,R1
