Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Odile van AANHOLTElise de RUYTER,4,49erFX,19.0,G,1,,119.2,90.2,European Championship 2021,Q1
Enia NINCEVICMihaela de MICHELI VITTURI,4,49erFX,14.0,G,2,,145.0,123.0,European Championship 2021,Q1
Georgia LEWIN-LAFRANCEAntonia LEWIN-LAFRANCE,4,49erFX,11.0,G,3,,168.6,130.6,European Championship 2021,Q1
Antonia SCHULTHEISVictoria SCHULTHEIS,4,49erFX,1.0,G,4,,172.0,134.0,European Championship 2021,Q1
Johanne SCHMIDTAndrea SCHMIDT,4,49erFX,18.0,G,5,,172.0,134.0,European Championship 2021,Q1
Aleksandra MELZACKASandra JANKOWIAK,4,49erFX,13.0,G,6,,180.0,142.0,European Championship 2021,Q1
Jana GERMANIGiorgia BERTUZZI,4,49erFX,20.0,G,7,,173.0,145.0,European Championship 2021,Q1
Lara GRANIERAmélie RIOU,4,49erFX,5.0,G,8,,190.0,152.0,European Championship 2021,Q1
Maru SCHEELFreya FEILCKE,4,49erFX,4.0,G,9,,205.0,178.0,European Championship 2021,Q1
Mathilde LOVADINAMarine RIOU,4,49erFX,2.0,G,10,,206.5,182.5,European Championship 2021,Q1
Alexandra STALDERSilvia SPERI,4,49erFX,(25.0),G,11,,201.0,176.0,European Championship 2021,Q1
Megan BRICKWOODStephanie ORTON,4,49erFX,10.0,G,12,,217.0,185.0,European Championship 2021,Q1
Carlotta OMARISveva CARRARO,4,49erFX,3.0,G,13,,217.0,189.0,European Championship 2021,Q1
Isabelle FELLOWSNicola BONIFACE,4,49erFX,8.0,G,14,,238.0,205.0,European Championship 2021,Q1
Svea KARSENBARGCecile JANMAAT,4,49erFX,24.0,G,15,,247.0,209.0,European Championship 2021,Q1
Laura SCHÖFEGGERLisa FARTHOFER,4,49erFX,17.0,G,16,,242.0,212.0,European Championship 2021,Q1
Helena WOLFFLaura ZEEBERG,4,49erFX,30.0,G,17,,255.0,222.0,European Championship 2021,Q1
Margherita PORROMatilda DISTEFANO,4,49erFX,16.0,G,18,,261.0,223.0,European Championship 2021,Q1
Sophie STEINLEINBente BATZING,4,49erFX,27.0,G,19,,257.0,225.0,European Championship 2021,Q1
