Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Peter BURLINGBlair TUKE,14,49er,1.0,G,1,,53.0,38.0,World Championship 2020,Q1
Diego BOTINIago LÓPEZ MARRA,14,49er,4.0,G,2,,81.0,58.0,World Championship 2020,Q1
Erik HEILThomas PLOESSEL,14,49er,8.0,G,3,,85.0,60.0,World Championship 2020,Q1
Benjamin BILDSTEINDavid HUSSL,14,49er,2.0,G,4,,81.0,61.0,World Championship 2020,Q1
William PHILLIPSSam PHILLIPS,14,49er,(13.0),G,5,,101.0,88.0,World Championship 2020,Q1
Logan DUNNING BECKOscar GUNN,14,49er,8.0,G,6,,105.0,90.0,World Championship 2020,Q1
Jonas WARRERJakob PRECHT JENSEN,14,49er,14.0,G,7,,115.0,92.0,World Championship 2020,Q1
Dylan FLETCHER-SCOTTStuart BITHELL,14,49er,1.0,G,8,,125.0,98.0,World Championship 2020,Q1
Justus SCHMIDTMax BOEHME,14,49er,13.0,G,9,,123.0,105.0,World Championship 2020,Q1
Sime FANTELAMihovil FANTELA,14,49er,10.0,G,10,,126.0,106.0,World Championship 2020,Q1
Bart LAMBRIEXPim van VUGT,14,49er,3.0,G,11,,117.0,92.0,World Championship 2020,Q1
Sebastien SCHNEITERLucien CUJEAN,14,49er,14.0,G,12,,117.0,97.0,World Championship 2020,Q1
Marco SOFFIATTIGabriel BORGES,14,49er,4.0,G,13,,125.0,107.0,World Championship 2020,Q1
Andrew MOLLERUSIan MACDIARMID,14,49er,5.0,G,14,,129.0,108.0,World Championship 2020,Q1
Thomas NEEDHAMJoel TURNER,14,49er,7.0,G,15,,133.0,110.0,World Championship 2020,Q1
Mads Emil LÜBECKNikolaj HOFFMANN BUHL,14,49er,6.0,G,16,,134.0,112.0,World Championship 2020,Q1
Łukasz PRZYBYTEKPaweł KOŁODZIŃSKI,14,49er,11.0,G,17,,147.0,123.0,World Championship 2020,Q1
Erwan FISCHERClément PEQUIN,14,49er,12.0,G,18,,149.0,125.0,World Championship 2020,Q1
Isaac McHARDIEWilliam McKENZIE,14,49er,5.0,G,19,,146.0,126.0,World Championship 2020,Q1
Nevin SNOWDane WILSON,14,49er,4.0,G,20,,153.0,128.0,World Championship 2020,Q1
Ian BARROWSMitchell KISS,14,49er,10.0,G,21,,155.5,130.5,World Championship 2020,Q1
Daniel NYBORGSebastian WRIGHT OLSEN,14,49er,2.0,G,22,,158.0,133.0,World Championship 2020,Q1
Markus SOMERVILLEJack SIMPSON,14,49er,9.0,G,23,,172.5,148.5,World Championship 2020,Q1
James GROGANSimon HOFFMAN,14,49er,6.0,G,24,,175.0,150.0,World Championship 2020,Q1
Harry MELGESFinn ROWE,14,49er,10.0,G,25,,177.0,153.0,World Championship 2020,Q1
Judge RYANHans HENKEN,14,49er,14.0,G,26,,91.0,76.0,World Championship 2020,Q1
Dominik BUKSAKSzymon WIERZBICKI,14,49er,16.0,G,27,,113.0,85.0,World Championship 2020,Q1
Mikołaj STANIULKuba SZTORCH,14,49er,(17.0),G,28,,106.0,89.0,World Championship 2020,Q1
Jakob MEGGENDORFERAndreas SPRANGER,14,49er,2.0,G,29,,118.0,96.0,World Championship 2020,Q1
Ryan SEATONSéafra GUILFOYLE,14,49er,(23.0),G,30,,123.0,100.0,World Championship 2020,Q1
David GILMOURLachy GILMOUR,14,49er,19.0,G,31,,125.0,105.0,World Championship 2020,Q1
Jim COLLEYShaun CONNOR,14,49er,11.0,G,32,,133.0,106.0,World Championship 2020,Q1
Leo TAKAHASHIIbuki KOIZUMI,14,49er,9.0,G,33,,131.0,113.0,World Championship 2020,Q1
Jack HAWKINSChris THOMAS,14,49er,7.0,G,34,,130.0,114.0,World Championship 2020,Q1
Yannick LEFEBVRETom PELSMAEKERS,14,49er,(23.0),G,35,,138.0,115.0,World Championship 2020,Q1
Tim FISCHERFabian GRAF,14,49er,13.0,G,36,,135.0,116.0,World Championship 2020,Q1
Jorge LIMAJosé COSTA,14,49er,3.0,G,37,,142.0,117.0,World Championship 2020,Q1
Fritiof HEDSTRÖMOtto HAMEL,14,49er,20.0,G,38,,144.0,117.0,World Championship 2020,Q1
William JONESEvan DEPAUL,14,49er,8.0,G,39,,141.0,118.0,World Championship 2020,Q1
Keanu PRETTNERJakob FLACHBERGER,14,49er,18.0,G,40,,141.0,119.0,World Championship 2020,Q1
Chris TAYLORRhos HAWES,14,49er,5.0,G,41,,148.0,120.0,World Championship 2020,Q1
Max STINGELELinov SCHEEL,14,49er,20.0,G,42,,149.0,121.0,World Championship 2020,Q1
Juuso ROIHUHenri ROIHU,14,49er,11.0,G,43,,145.0,122.0,World Championship 2020,Q1
Robert DICKSONSeán WADDILOVE,14,49er,1.0,G,44,,146.0,124.0,World Championship 2020,Q1
Kévin FISCHERYann JAUVIN,14,49er,15.0,G,45,,158.0,130.0,World Championship 2020,Q1
Lucas RUALEmile AMOROS,14,49er,19.0,G,46,,164.0,136.0,World Championship 2020,Q1
Shingen FURUYAShinji HACHIYAMA,14,49er,7.0,G,47,,169.0,141.0,World Championship 2020,Q1
Simone FERRARESELeonardo CHISTÈ,14,49er,15.0,G,48,,163.0,141.0,World Championship 2020,Q1
Oliver MANTONJack LLOYD,14,49er,17.0,G,49,,179.0,155.0,World Championship 2020,Q1
Nils CARSTENSENJan FRIGGE,14,49er,12.0,G,50,,185.0,162.0,World Championship 2020,Q1
Michael HANSENMathias SLETTEN,14,49er,6.0,G,51,,202.0,174.0,World Championship 2020,Q1
David O'CONNORFang WARREN,14,49er,3.0,G,52,,227.0,199.0,World Championship 2020,Q1
Uberto CRIVELLI VISCONTIGianmarco TOGNI,14,49er,21.0,G,53,,124.0,101.0,World Championship 2020,Q1
Jackson KEONScott McKENZIE,14,49er,15.0,G,54,,126.0,106.0,World Championship 2020,Q1
Matt JERWOODMax PAUL,14,49er,(25.0),G,55,,151.0,126.0,World Championship 2020,Q1
