Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
John GIMSONAnna BURNET,,Nacra17,3.0,G,1,,69.0,61.0,World Championship 2021,Q1
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,4.0,G,2,,80.0,70.0,World Championship 2021,Q1
Paul KOHLHOFFAlica STUHLEMMER,,Nacra17,6.0,G,3,,90.0,77.0,World Championship 2021,Q1
Tim MOURNIACLou BERTHOMIEU,,Nacra17,1.0,G,4,,101.0,89.0,World Championship 2021,Q1
Sinem KURTBAYAkseli KESKINEN,,Nacra17,10.0,G,5,,117.0,101.0,World Championship 2021,Q1
Vittorio BISSAROMaelle FRASCARI,,Nacra17,2.0,G,6,,121.0,109.0,World Championship 2021,Q1
Mateo MAJDALANIEugenia BOSCO,,Nacra17,9.0,G,7,,122.0,110.0,World Championship 2021,Q1
Laila van der MEERBjarne BOUWER,,Nacra17,5.0,G,8,,148.0,134.0,World Championship 2021,Q1
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,15.0,G,9,,151.0,135.0,World Championship 2021,Q1
Emil JÄRUDDHanna JONSSON,,Nacra17,7.0,G,10,,151.0,136.0,World Championship 2021,Q1
Laura FARESEMatthäus ZÖCHLING,,Nacra17,11.0,G,11,,144.0,130.0,World Championship 2021,Q1
Ravi PARENTSara STONE,,Nacra17,8.0,G,12,,149.0,133.0,World Championship 2021,Q1
Ida SVENSSONMarcus DACKHAMMAR,,Nacra17,12.0,G,13,,155.0,141.0,World Championship 2021,Q1
Carson CRAINCaroline ATWOOD,,Nacra17,13.0,G,14,,218.0,203.0,World Championship 2021,Q1
Ruben BOOTHRita BOOTH,,Nacra17,14.0,G,15,,219.0,204.0,World Championship 2021,Q1
John GIMSONAnna BURNET,,Nacra17,5.0,G,1,,69.0,61.0,World Championship 2021,Q2
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,6.0,G,2,,80.0,70.0,World Championship 2021,Q2
Paul KOHLHOFFAlica STUHLEMMER,,Nacra17,1.0,G,3,,90.0,77.0,World Championship 2021,Q2
Tim MOURNIACLou BERTHOMIEU,,Nacra17,2.0,G,4,,101.0,89.0,World Championship 2021,Q2
Sinem KURTBAYAkseli KESKINEN,,Nacra17,4.0,G,5,,117.0,101.0,World Championship 2021,Q2
Vittorio BISSAROMaelle FRASCARI,,Nacra17,(12.0),G,6,,121.0,109.0,World Championship 2021,Q2
Mateo MAJDALANIEugenia BOSCO,,Nacra17,11.0,G,7,,122.0,110.0,World Championship 2021,Q2
Laila van der MEERBjarne BOUWER,,Nacra17,9.0,G,8,,148.0,134.0,World Championship 2021,Q2
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,10.0,G,9,,151.0,135.0,World Championship 2021,Q2
Emil JÄRUDDHanna JONSSON,,Nacra17,14.0,G,10,,151.0,136.0,World Championship 2021,Q2
Laura FARESEMatthäus ZÖCHLING,,Nacra17,8.0,G,11,,144.0,130.0,World Championship 2021,Q2
Ravi PARENTSara STONE,,Nacra17,7.0,G,12,,149.0,133.0,World Championship 2021,Q2
Ida SVENSSONMarcus DACKHAMMAR,,Nacra17,3.0,G,13,,155.0,141.0,World Championship 2021,Q2
Carson CRAINCaroline ATWOOD,,Nacra17,(15.0),G,14,,218.0,203.0,World Championship 2021,Q2
Ruben BOOTHRita BOOTH,,Nacra17,13.0,G,15,,219.0,204.0,World Championship 2021,Q2
John GIMSONAnna BURNET,,Nacra17,1.0,G,1,,69.0,61.0,World Championship 2021,Q3
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,2.0,G,2,,80.0,70.0,World Championship 2021,Q3
Paul KOHLHOFFAlica STUHLEMMER,,Nacra17,6.0,G,3,,90.0,77.0,World Championship 2021,Q3
Tim MOURNIACLou BERTHOMIEU,,Nacra17,5.0,G,4,,101.0,89.0,World Championship 2021,Q3
Sinem KURTBAYAkseli KESKINEN,,Nacra17,8.0,G,5,,117.0,101.0,World Championship 2021,Q3
Vittorio BISSAROMaelle FRASCARI,,Nacra17,7.0,G,6,,121.0,109.0,World Championship 2021,Q3
Mateo MAJDALANIEugenia BOSCO,,Nacra17,(12.0),G,7,,122.0,110.0,World Championship 2021,Q3
Laila van der MEERBjarne BOUWER,,Nacra17,3.0,G,8,,148.0,134.0,World Championship 2021,Q3
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,10.0,G,9,,151.0,135.0,World Championship 2021,Q3
Emil JÄRUDDHanna JONSSON,,Nacra17,4.0,G,10,,151.0,136.0,World Championship 2021,Q3
Laura FARESEMatthäus ZÖCHLING,,Nacra17,11.0,G,11,,144.0,130.0,World Championship 2021,Q3
Ravi PARENTSara STONE,,Nacra17,13.0,G,12,,149.0,133.0,World Championship 2021,Q3
Ida SVENSSONMarcus DACKHAMMAR,,Nacra17,9.0,G,13,,155.0,141.0,World Championship 2021,Q3
Carson CRAINCaroline ATWOOD,,Nacra17,15.0,G,14,,218.0,203.0,World Championship 2021,Q3
Ruben BOOTHRita BOOTH,,Nacra17,14.0,G,15,,219.0,204.0,World Championship 2021,Q3
John GIMSONAnna BURNET,,Nacra17,4.0,G,1,,69.0,61.0,World Championship 2021,Q4
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,5.0,G,2,,80.0,70.0,World Championship 2021,Q4
Paul KOHLHOFFAlica STUHLEMMER,,Nacra17,(13.0),G,3,,90.0,77.0,World Championship 2021,Q4
Tim MOURNIACLou BERTHOMIEU,,Nacra17,(12.0),G,4,,101.0,89.0,World Championship 2021,Q4
Sinem KURTBAYAkseli KESKINEN,,Nacra17,1.0,G,5,,117.0,101.0,World Championship 2021,Q4
Vittorio BISSAROMaelle FRASCARI,,Nacra17,2.0,G,6,,121.0,109.0,World Championship 2021,Q4
Mateo MAJDALANIEugenia BOSCO,,Nacra17,3.0,G,7,,122.0,110.0,World Championship 2021,Q4
Laila van der MEERBjarne BOUWER,,Nacra17,11.0,G,8,,148.0,134.0,World Championship 2021,Q4
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,9.0,G,9,,151.0,135.0,World Championship 2021,Q4
Emil JÄRUDDHanna JONSSON,,Nacra17,8.0,G,10,,151.0,136.0,World Championship 2021,Q4
Laura FARESEMatthäus ZÖCHLING,,Nacra17,10.0,G,11,,144.0,130.0,World Championship 2021,Q4
