Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Ruggero TITACaterina BANTI,,Nacra17,1.0,G,1,,46.0,26.0,World Championship 2022,Q1
Gianluigi UGOLINIMaria GIUBILEI,,Nacra17,3.0,G,2,,115.0,86.0,World Championship 2022,Q1
Sinem KURTBAYAkseli KESKINEN,,Nacra17,5.0,G,3,,115.0,101.0,World Championship 2022,Q1
John GIMSONAnna BURNET,,Nacra17,4.0,G,4,,122.0,104.0,World Championship 2022,Q1
Jason WATERHOUSELisa DARMANIN,,Nacra17,9.0,G,5,,157.0,136.0,World Championship 2022,Q1
Vittorio BISSAROMaelle FRASCARI,,Nacra17,8.0,G,6,,168.0,142.0,World Championship 2022,Q1
Emil JÄRUDDHanna JONSSON,,Nacra17,2.0,G,7,,165.0,146.0,World Championship 2022,Q1
Laila van der MEERBjarne BOUWER,,Nacra17,10.0,G,8,,175.0,147.0,World Championship 2022,Q1
Micah WILKINSONErica DAWSON,,Nacra17,7.0,G,9,,174.0,150.0,World Championship 2022,Q1
Mateo MAJDALANIEugenia BOSCO,,Nacra17,20.0,G,10,,188.0,163.0,World Championship 2022,Q1
Billy BESSONNoa ANCIAN,,Nacra17,16.0,G,11,,210.0,189.0,World Championship 2022,Q1
Tim MOURNIACLou BERTHOMIEU,,Nacra17,12.0,G,12,,233.0,198.0,World Championship 2022,Q1
Ida SVENSSONMarcus DACKHAMMAR,,Nacra17,14.0,G,13,,241.0,206.0,World Championship 2022,Q1
Natacha Violet SAOUMA-PEDERSENMathias BRUUN BORRESKOV,,Nacra17,13.0,G,14,,234.0,210.0,World Championship 2022,Q1
Laura FARESEMatthäus ZÖCHLING,,Nacra17,11.0,G,15,,241.0,214.0,World Championship 2022,Q1
Sarah NEWBERRYDavid LIEBENBERG,,Nacra17,(35.0),G,16,,251.0,216.0,World Championship 2022,Q1
Samuel ALBRECHTGabriela NICOLINO de SÁ,,Nacra17,15.0,G,17,,258.0,223.0,World Championship 2022,Q1
Riley GIBBSLara DALLMAN-WEISS,,Nacra17,22.0,G,18,,254.0,225.0,World Championship 2022,Q1
Brin LIDDELLRhiannan BROWN,,Nacra17,21.0,G,19,,282.0,258.0,World Championship 2022,Q1
