Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Lander BULTYNCK,,ilca 7,1.0,0,GERAL,1,,18.0,12.0,CAMPEONATO ABERTO BELGA 2023,1
Lander BULTYNCK,,ilca 7,2.0,0,GERAL,1,,18.0,12.0,CAMPEONATO ABERTO BELGA 2023,2
Lander BULTYNCK,,ilca 7,6.0,1,GERAL,1,,18.0,12.0,CAMPEONATO ABERTO BELGA 2023,3
Lander BULTYNCK,,ilca 7,1.0,0,GERAL,1,,18.0,12.0,CAMPEONATO ABERTO BELGA 2023,4
Lander BULTYNCK,,ilca 7,2.0,0,GERAL,1,,18.0,12.0,CAMPEONATO ABERTO BELGA 2023,5
Lander BULTYNCK,,ilca 7,6.0,0,GERAL,1,,18.0,12.0,CAMPEONATO ABERTO BELGA 2023,6
Arthur van DAMME,,ilca 7,2.0,0,GERAL,2,,17.0,13.0,CAMPEONATO ABERTO BELGA 2023,1
Arthur van DAMME,,ilca 7,4.0,1,GERAL,2,,17.0,13.0,CAMPEONATO ABERTO BELGA 2023,2
Arthur van DAMME,,ilca 7,4.0,0,GERAL,2,,17.0,13.0,CAMPEONATO ABERTO BELGA 2023,3
Arthur van DAMME,,ilca 7,2.0,0,GERAL,2,,17.0,13.0,CAMPEONATO ABERTO BELGA 2023,4
Arthur van DAMME,,ilca 7,3.0,0,GERAL,2,,17.0,13.0,CAMPEONATO ABERTO BELGA 2023,5
Arthur van DAMME,,ilca 7,2.0,0,GERAL,2,,17.0,13.0,CAMPEONATO ABERTO BELGA 2023,6
Oscar van DAMME,,ilca 7,3.0,0,GERAL,3,,19.0,14.0,CAMPEONATO ABERTO BELGA 2023,1
Oscar van DAMME,,ilca 7,5.0,1,GERAL,3,,19.0,14.0,CAMPEONATO ABERTO BELGA 2023,2
Oscar van DAMME,,ilca 7,3.0,0,GERAL,3,,19.0,14.0,CAMPEONATO ABERTO BELGA 2023,3
Oscar van DAMME,,ilca 7,3.0,0,GERAL,3,,19.0,14.0,CAMPEONATO ABERTO BELGA 2023,4
Oscar van DAMME,,ilca 7,4.0,0,GERAL,3,,19.0,14.0,CAMPEONATO ABERTO BELGA 2023,5
Oscar van DAMME,,ilca 7,1.0,0,GERAL,3,,19.0,14.0,CAMPEONATO ABERTO BELGA 2023,6
Tomas GUNST,,ilca 7,7.0,1,GERAL,4,,24.0,17.0,CAMPEONATO ABERTO BELGA 2023,1
Tomas GUNST,,ilca 7,3.0,0,GERAL,4,,24.0,17.0,CAMPEONATO ABERTO BELGA 2023,2
Tomas GUNST,,ilca 7,5.0,0,GERAL,4,,24.0,17.0,CAMPEONATO ABERTO BELGA 2023,3
Tomas GUNST,,ilca 7,5.0,0,GERAL,4,,24.0,17.0,CAMPEONATO ABERTO BELGA 2023,4
Tomas GUNST,,ilca 7,1.0,0,GERAL,4,,24.0,17.0,CAMPEONATO ABERTO BELGA 2023,5
Tomas GUNST,,ilca 7,3.0,0,GERAL,4,,24.0,17.0,CAMPEONATO ABERTO BELGA 2023,6
Michel MAJON,,ilca 7,4.0,0,GERAL,5,,26.0,20.0,CAMPEONATO ABERTO BELGA 2023,1
Michel MAJON,,ilca 7,6.0,1,GERAL,5,,26.0,20.0,CAMPEONATO ABERTO BELGA 2023,2
Michel MAJON,,ilca 7,2.0,0,GERAL,5,,26.0,20.0,CAMPEONATO ABERTO BELGA 2023,3
Michel MAJON,,ilca 7,4.0,0,GERAL,5,,26.0,20.0,CAMPEONATO ABERTO BELGA 2023,4
Michel MAJON,,ilca 7,5.0,0,GERAL,5,,26.0,20.0,CAMPEONATO ABERTO BELGA 2023,5
Michel MAJON,,ilca 7,5.0,0,GERAL,5,,26.0,20.0,CAMPEONATO ABERTO BELGA 2023,6
Nicolas DUMONCEAU,,ilca 7,5.0,0,GERAL,6,,32.0,23.0,CAMPEONATO ABERTO BELGA 2023,1
Nicolas DUMONCEAU,,ilca 7,1.0,0,GERAL,6,,32.0,23.0,CAMPEONATO ABERTO BELGA 2023,2
Nicolas DUMONCEAU,,ilca 7,1.0,0,GERAL,6,,32.0,23.0,CAMPEONATO ABERTO BELGA 2023,3
Nicolas DUMONCEAU,,ilca 7,7.0,0,GERAL,6,,32.0,23.0,CAMPEONATO ABERTO BELGA 2023,4
Nicolas DUMONCEAU,,ilca 7,9.0,1,GERAL,6,,32.0,23.0,CAMPEONATO ABERTO BELGA 2023,5
Nicolas DUMONCEAU,,ilca 7,9.0,0,GERAL,6,,32.0,23.0,CAMPEONATO ABERTO BELGA 2023,6
Eric BONHOMME,,ilca 7,8.0,1,GERAL,7,,44.0,36.0,CAMPEONATO ABERTO BELGA 2023,1
Eric BONHOMME,,ilca 7,8.0,0,GERAL,7,,44.0,36.0,CAMPEONATO ABERTO BELGA 2023,2
Eric BONHOMME,,ilca 7,8.0,0,GERAL,7,,44.0,36.0,CAMPEONATO ABERTO BELGA 2023,3
Eric BONHOMME,,ilca 7,6.0,0,GERAL,7,,44.0,36.0,CAMPEONATO ABERTO BELGA 2023,4
Eric BONHOMME,,ilca 7,7.0,0,GERAL,7,,44.0,36.0,CAMPEONATO ABERTO BELGA 2023,5
Eric BONHOMME,,ilca 7,7.0,0,GERAL,7,,44.0,36.0,CAMPEONATO ABERTO BELGA 2023,6
Ron LENSEN,,ilca 7,6.0,0,GERAL,8,,49.0,38.0,CAMPEONATO ABERTO BELGA 2023,1
Ron LENSEN,,ilca 7,7.0,0,GERAL,8,,49.0,38.0,CAMPEONATO ABERTO BELGA 2023,2
Ron LENSEN,,ilca 7,7.0,0,GERAL,8,,49.0,38.0,CAMPEONATO ABERTO BELGA 2023,3
Ron LENSEN,,ilca 7,8.0,0,GERAL,8,,49.0,38.0,CAMPEONATO ABERTO BELGA 2023,4
